Season,Basin,Name,Wind1,Wind2,Wind3,Wind4,Speeds
1980,EP,AGATHA,100,95,90,85,High
1980,EP,blas,50,50,50,45,Low
1980,EP,Celia,65,65,65,65,Medi
1980,EP,darby,45,45,35,30,Low
1980,EP,estelle,40,35,35,25,Low
1980,EP,frank,45,40,35,35,Low
1980,EP,georgette,65,55,50,45,Low
1980,EP,Howard,90,85,80,80,Medi
1980,EP,Isis,85,80,80,75,Medi
1980,EP,JAVIER,100,100,100,95,High
1980,EP,KAY,120,115,115,105,High
1980,EP,lester,35,35,35,35,Low
1980,EP,madeline,45,45,35,30,Low
1980,EP,newton,35,35,35,35,Low
1980,NA,ALLEN,165,155,155,155,High
1980,NA,Bonnie,85,85,85,75,Medi
1980,NA,Charley,70,70,70,65,Medi
1980,NA,danielle,50,40,35,30,Low
1980,NA,Earl,65,65,65,65,Medi
1980,NA,FRANCES,100,100,100,90,High
1980,NA,Georges,70,70,70,65,Medi
1980,NA,hermine,60,60,60,55,Low
1980,NA,Ivan,90,90,90,90,Medi
1980,NA,Jeanne,85,75,70,65,Medi
1980,NA,Karl,75,75,75,70,Medi
1980,SI,AMY,115,115,115,115,High
1980,SI,BRIAN,100,100,100,100,High
1980,SI,clara,60,55,55,50,Low
1980,SI,DEAN,110,110,100,90,High
1980,SI,ENID,110,100,95,90,High
1980,SI,FRED,105,105,100,100,High
1980,SI,Gloria,90,90,90,90,Medi
1980,SI,VIOLA/CLAUDE,110,110,110,110,High
1980,SI,Wilf/Danitza,70,70,70,65,Medi
1980,SP,ofa,55,45,45,40,Low
1980,SP,paul,50,45,45,45,Low
1980,SP,peni,65,50,45,40,Low
1980,SP,rae,40,30,30,30,Low
1980,SP,ruth,55,55,50,50,Low
1980,SP,Simon,90,90,85,85,Medi
1980,SP,sina,65,65,55,55,Low
1980,SP,tia,55,45,40,35,Low
1980,SP,val,55,40,40,30,Low
1980,SP,wally,35,35,35,30,Low
1980,WP,BETTY,100,100,100,100,High
1980,WP,carmen,60,55,45,45,Low
1980,WP,cary,45,40,40,40,Low
1980,WP,Dinah,90,90,85,80,Medi
