ID,shape,color,area,conv
1,square,black,41,1
2,square,black,37,1
3,square,black,19,0
4,square,black,21,0
5,square,black,14,0
6,square,black,58,0
7,square,black,49,0
8,square,black,38,1
9,square,black,58,0
10,square,black,10,1
11,square,black,5,0
12,square,black,13,1
13,square,black,40,1
14,square,black,8,0
15,square,black,32,1
16,square,black,9,1
17,square,black,17,0
18,square,black,3,0
19,square,black,20,0
20,square,black,33,0
21,square,black,3,0
22,square,black,17,1
23,square,black,68,0
24,square,black,16,0
25,square,black,20,0
26,square,black,3,0
27,square,black,75,1
28,square,black,7,0
29,square,black,6,0
30,square,black,3,0
31,square,black,19,1
32,square,black,66,0
33,square,black,20,0
34,square,black,38,0
35,square,black,42,0
36,square,black,50,0
37,square,black,16,0
38,square,black,57,1
39,square,black,54,0
40,square,black,38,0
41,square,black,46,1
42,square,black,18,1
43,square,black,58,1
44,square,black,41,0
45,square,black,66,0
46,square,black,52,1
47,square,black,40,1
48,square,black,58,0
49,square,black,16,1
50,square,black,19,0
51,square,black,59,1
52,square,black,19,1
53,square,black,41,1
54,square,black,71,1
55,square,black,16,0
56,square,black,48,0
57,square,black,40,1
58,square,black,33,1
59,square,black,45,1
60,square,black,22,0
61,square,black,55,1
62,square,black,15,1
63,square,black,75,1
64,square,black,26,1
65,square,black,8,0
66,square,black,75,0
67,square,black,48,0
68,square,black,43,1
69,square,black,43,0
70,square,black,20,1
71,square,black,48,0
72,square,black,50,1
73,square,black,27,0
74,square,black,31,1
75,square,black,9,1
76,square,black,61,0
77,square,black,51,1
78,square,black,25,0
79,square,black,4,0
80,square,black,15,0
81,square,black,46,1
82,square,black,45,0
83,square,black,32,1
84,square,black,51,0
85,square,black,46,0
86,square,black,23,0
87,square,black,53,1
88,square,black,31,0
89,square,black,53,1
90,square,black,18,0
91,square,black,21,0
92,square,black,51,1
93,square,black,47,0
94,square,black,45,1
95,square,black,37,0
96,square,black,43,0
97,square,black,44,1
98,square,black,34,1
99,square,black,16,0
100,square,black,33,0
101,square,black,25,0
102,square,black,50,1
103,square,black,8,0
104,square,black,18,0
105,square,black,37,0
106,square,black,43,1
107,square,black,14,0
108,square,black,13,0
109,square,black,26,1
110,square,black,21,1
111,square,black,67,0
112,square,black,18,1
113,square,black,55,1
114,square,black,56,0
115,square,black,44,1
116,square,black,46,1
117,square,black,35,1
118,square,black,21,0
119,square,black,60,1
120,square,black,34,1
121,square,black,6,1
122,square,black,4,1
123,square,black,62,0
124,square,black,23,1
125,square,black,23,0
126,square,black,48,0
127,square,black,3,0
128,square,black,5,0
129,square,black,62,0
130,square,black,14,0
131,square,black,48,1
132,square,black,21,0
133,square,black,15,0
134,square,black,20,0
135,square,black,27,0
136,square,black,63,0
137,square,black,41,0
138,square,black,20,0
139,square,black,15,0
140,square,black,21,0
141,square,black,49,1
142,square,black,38,1
143,square,black,63,1
144,square,black,81,0
145,square,black,23,0
146,square,black,10,0
147,square,black,17,1
148,square,black,38,1
149,square,black,57,0
150,square,black,23,1
151,square,black,38,0
152,square,black,20,0
153,square,black,32,1
154,square,black,8,0
155,square,black,59,0
