"ID","shape","color","area","conv","probability","sampwt"
16569,"circle","black",20,1,0.01,100
476,"square","black",19,1,0.01,100
10175,"square","gray",29,1,0.01,100
16614,"circle","black",19,0,0.01,100
7185,"square","black",4,0,0.01,100
17445,"circle","black",27,0,0.01,100
8050,"square","black",34,0,0.01,100
18713,"circle","black",19,1,0.01,100
19824,"circle","gray",4,0,0.01,100
16214,"circle","black",28,1,0.01,100
13857,"square","gray",31,0,0.01,100
4963,"square","black",32,1,0.01,100
13834,"square","gray",21,0,0.01,100
633,"square","black",15,0,0.01,100
6339,"square","black",14,0,0.01,100
10817,"square","gray",31,1,0.01,100
17405,"circle","black",17,0,0.01,100
12601,"square","gray",32,0,0.01,100
15712,"circle","black",21,0,0.01,100
5144,"square","black",97,0,0.01,100
4257,"square","black",31,1,0.01,100
16309,"circle","black",39,0,0.01,100
1865,"square","black",16,0,0.01,100
13247,"square","gray",33,0,0.01,100
5676,"square","black",52,1,0.01,100
5334,"square","black",13,1,0.01,100
3114,"square","black",28,1,0.01,100
7143,"square","black",34,0,0.01,100
4459,"square","black",43,0,0.01,100
3506,"square","black",69,0,0.01,100
19134,"circle","gray",8,0,0.01,100
2472,"square","black",55,1,0.01,100
13162,"square","gray",26,1,0.01,100
17817,"circle","black",13,0,0.01,100
6644,"square","black",53,0,0.01,100
6289,"square","black",45,1,0.01,100
19492,"circle","gray",7,1,0.01,100
7368,"square","black",35,0,0.01,100
18725,"circle","black",23,0,0.01,100
15328,"circle","black",22,1,0.01,100
1293,"square","black",14,1,0.01,100
10886,"square","gray",36,0,0.01,100
563,"square","black",28,0,0.01,100
3718,"square","black",63,0,0.01,100
1391,"square","black",71,1,0.01,100
4239,"square","black",52,1,0.01,100
9181,"square","gray",30,0,0.01,100
7598,"square","black",9,0,0.01,100
8508,"square","black",29,0,0.01,100
9555,"square","gray",17,0,0.01,100
15488,"circle","black",16,1,0.01,100
10776,"square","gray",26,1,0.01,100
1686,"square","black",31,0,0.01,100
282,"square","black",51,1,0.01,100
3943,"square","black",39,1,0.01,100
4657,"square","black",24,1,0.01,100
1245,"square","black",73,0,0.01,100
17489,"circle","black",18,0,0.01,100
16463,"circle","black",17,0,0.01,100
7752,"square","black",67,1,0.01,100
2346,"square","black",20,0,0.01,100
6315,"square","black",25,1,0.01,100
11954,"square","gray",17,0,0.01,100
19700,"circle","gray",9,0,0.01,100
8220,"square","black",17,0,0.01,100
16532,"circle","black",13,1,0.01,100
16485,"circle","black",23,1,0.01,100
3306,"square","black",28,1,0.01,100
18870,"circle","black",14,1,0.01,100
11940,"square","gray",32,1,0.01,100
14432,"square","gray",30,0,0.01,100
15729,"circle","black",16,0,0.01,100
12376,"square","gray",28,1,0.01,100
10733,"square","gray",41,0,0.01,100
7429,"square","black",26,0,0.01,100
7808,"square","black",16,1,0.01,100
7791,"square","black",38,1,0.01,100
16919,"circle","black",24,0,0.01,100
4966,"square","black",26,0,0.01,100
12572,"square","gray",34,0,0.01,100
13510,"square","gray",22,0,0.01,100
3784,"square","black",54,1,0.01,100
15288,"circle","black",10,0,0.01,100
19277,"circle","gray",15,1,0.01,100
16923,"circle","black",17,0,0.01,100
8409,"square","black",15,1,0.01,100
6918,"square","black",14,0,0.01,100
18921,"circle","black",17,1,0.01,100
7708,"square","black",30,1,0.01,100
1415,"square","black",25,0,0.01,100
17849,"circle","black",32,1,0.01,100
2545,"square","black",20,1,0.01,100
15945,"circle","black",31,0,0.01,100
13400,"square","gray",26,0,0.01,100
14402,"square","gray",30,0,0.01,100
8873,"square","black",21,0,0.01,100
1412,"square","black",58,0,0.01,100
7912,"square","black",19,0,0.01,100
2880,"square","black",31,0,0.01,100
5587,"square","black",65,0,0.01,100
7475,"square","black",40,1,0.01,100
11930,"square","gray",31,1,0.01,100
10932,"square","gray",38,1,0.01,100
19528,"circle","gray",8,0,0.01,100
12850,"square","gray",19,1,0.01,100
17323,"circle","black",17,1,0.01,100
815,"square","black",19,1,0.01,100
6957,"square","black",67,1,0.01,100
16018,"circle","black",11,1,0.01,100
15097,"circle","black",26,1,0.01,100
16866,"circle","black",19,0,0.01,100
11230,"square","gray",33,1,0.01,100
14543,"square","gray",15,0,0.01,100
2331,"square","black",37,1,0.01,100
14151,"square","gray",28,1,0.01,100
11782,"square","gray",18,0,0.01,100
16023,"circle","black",26,0,0.01,100
8647,"square","black",22,0,0.01,100
4577,"square","black",79,1,0.01,100
1775,"square","black",35,0,0.01,100
4374,"square","black",61,1,0.01,100
17518,"circle","black",26,1,0.01,100
8494,"square","black",3,0,0.01,100
16261,"circle","black",16,1,0.01,100
4045,"square","black",60,0,0.01,100
7825,"square","black",59,1,0.01,100
5401,"square","black",14,0,0.01,100
19111,"circle","gray",12,0,0.01,100
2781,"square","black",11,0,0.01,100
13878,"square","gray",15,0,0.01,100
12817,"square","gray",38,1,0.01,100
4053,"square","black",72,1,0.01,100
1008,"square","black",105,1,0.01,100
4543,"square","black",43,0,0.01,100
14330,"square","gray",22,0,0.01,100
2069,"square","black",16,0,0.01,100
9968,"square","gray",33,1,0.01,100
9049,"square","gray",24,0,0.01,100
10078,"square","gray",37,0,0.01,100
16859,"circle","black",22,0,0.01,100
