"","Brand","Temp","M.user","Soft","Fr"
"1","X","Low","N","Hard",68
"2","M","Low","N","Hard",42
"3","X","High","N","Hard",42
"4","M","High","N","Hard",30
"5","X","Low","Y","Hard",37
"6","M","Low","Y","Hard",52
"7","X","High","Y","Hard",24
"8","M","High","Y","Hard",43
"9","X","Low","N","Medium",66
"10","M","Low","N","Medium",50
"11","X","High","N","Medium",33
"12","M","High","N","Medium",23
"13","X","Low","Y","Medium",47
"14","M","Low","Y","Medium",55
"15","X","High","Y","Medium",23
"16","M","High","Y","Medium",47
"17","X","Low","N","Soft",63
"18","M","Low","N","Soft",53
"19","X","High","N","Soft",29
"20","M","High","N","Soft",27
"21","X","Low","Y","Soft",57
"22","M","Low","Y","Soft",49
"23","X","High","Y","Soft",19
"24","M","High","Y","Soft",29
