"YEAR" "UNEMPLOYMENT" "GDPGROWTH" "INFLATION" "SURPLUS" "PARTY"
"1" 1960 5.5 2.5 1.4 0.1 "R"
"2" 1961 6.7 2.3 0.7 -0.6 "R"
"3" 1962 5.5 6.1 1.3 -1.3 "D"
"4" 1963 5.7 4.4 1.6 -0.8 "D"
"5" 1964 5.2 5.8 1 -0.9 "D"
"6" 1965 4.5 6.4 1.9 -0.2 "D"
"7" 1966 3.8 6.5 3.5 -0.5 "D"
"8" 1967 3.8 2.5 3 -1.1 "D"
"9" 1968 3.6 4.8 4.7 -2.9 "D"
"10" 1969 3.5 3.1 6.2 0.3 "D"
"11" 1970 4.9 0.2 5.6 -0.3 "R"
"12" 1971 5.9 3.4 3.3 -2.1 "R"
"13" 1972 5.6 5.3 3.4 -2 "R"
"14" 1973 4.9 5.8 8.7 -1.1 "R"
"15" 1974 5.6 -0.5 12.3 -0.4 "R"
"16" 1975 8.5 -0.2 6.9 -3.4 "R"
"17" 1976 7.7 5.3 4.9 -4.2 "R"
"18" 1977 7.1 4.6 6.7 -2.7 "R"
"19" 1978 6.1 5.6 9 -2.7 "D"
"20" 1979 5.8 3.2 13.3 -1.6 "D"
"21" 1980 7.1 -0.2 12.5 -2.7 "D"
"22" 1981 7.6 2.5 8.9 -2.6 "D"
"23" 1982 9.7 -1.9 3.8 -4 "R"
"24" 1983 9.6 4.5 3.8 -6 "R"
"25" 1984 7.5 7.2 3.9 -4.8 "R"
"26" 1985 7.2 4.1 3.8 -5.1 "R"
"27" 1986 7 3.5 1.1 -5 "R"
"28" 1987 6.2 3.4 4.4 -3.2 "R"
"29" 1988 5.5 4.1 4.4 -3.1 "R"
"30" 1989 5.3 3.5 4.6 -2.8 "R"
"31" 1990 5.6 1.9 6.1 -3.9 "R"
"32" 1991 6.8 -0.2 3.1 -4.5 "R"
"33" 1992 7.5 3.3 2.9 -4.7 "R"
"34" 1993 6.9 2.7 2.7 -3.9 "R"
"35" 1994 6.1 4 2.7 -2.9 "D"
"36" 1995 5.6 2.5 2.5 -2.2 "D"
"37" 1996 5.4 3.7 3.3 -1.4 "D"
"38" 1997 4.9 4.5 1.7 -0.3 "D"
"39" 1998 4.5 4.2 1.6 0.8 "D"
"40" 1999 4.2 4.5 2.7 1.4 "D"
"41" 2000 4 3.7 3.4 2.4 "D"
"42" 2001 4.7 0.8 1.6 1.3 "D"
"43" 2002 5.8 1.6 2.4 -1.5 "R"
"44" 2003 6 2.5 1.9 -3.5 "R"
"45" 2004 5.5 3.6 3.3 -3.6 "R"
"46" 2005 5.1 3.1 3.4 -2.6 "R"
"47" 2006 4.6 2.7 2.5 -1.9 "R"
"48" 2007 4.6 1.9 4.1 -1.2 "R"
"49" 2008 5.8 0 0.1 -3.2 "R"
"50" 2009 9.3 -2.6 2.7 -10 "R"
"51" 2010 9.6 2.9 1.5 -8.9 "D"
