Date,overall_miles,overall_MPG,interval_miles,interval_MPG,interval_gallons,interval_days,interval_mpg,overall_miles_lag,overall_miles_diff_lag,interval_gallons_lag,interval_gallons_diff_lag,interval_miles_lag,Year,Month,day_of_week,rol_avg_int_miles_2,rol_avg_int_gallons_2,gallons_ewm_3,miles_ewm_3,gallons_rol_std_3,miles_rol_std_3
2017-12-28,1207,51.1,602.3,66.6,9.46,,63.67,,,,,,2017,12,4,602.3,9.46,9.46,602.3,0,0
2018-01-14,1735,53.4,528.1,59.5,9.57,17,55.18,1207,-528,9.46,0.11,602.3,2018,1,7,565.2,9.515,9.533333333,552.8333333,0.077781746,52.46732316
2018-02-02,2353,58.3,618.3,78.7,8.62,19,71.73,1735,-618,9.57,-0.95,528.1,2018,2,5,582.9,9.216666667,9.011428571,590.2428571,0.599601058,52.48251409
2018-02-18,2998,60.5,644.3,70.1,9.9,16,65.08,2353,-645,8.62,1.29,618.3,2018,2,7,598.25,9.3875,9.485333333,619.0733333,0.68549565,48.46991998
2018-03-03,3587,61,588.7,63.6,9.91,13,59.40,2998,-589,9.9,0.01,644.3,2018,3,6,594.85,9.5,9.704516129,603.3967742,0.537678702,38.12436864
2018-03-04,3799,60.3,212,50.7,4.41,1,48.07,3587,-212,9.91,-5.51,588.7,2018,3,7,518.28,8.482,7.015238095,404.5920635,3.289180105,243.0266088
2018-03-30,4487,63.7,687.6,92,8.14,26,84.47,3799,-688,4.41,3.74,212,2018,3,5,550.18,8.196,7.582047244,547.2102362,2.408658162,243.5852558
2018-04-05,5035,63.9,548,65.9,8.82,6,62.13,4487,-548,8.14,0.68,687.6,2018,4,4,536.12,8.236,8.20345098,547.6066667,1.858743485,171.5620171
2018-07-02,6506,75,1471.7,182.8,8.59,88,171.33,5035,-1471,8.82,-0.23,548,2018,7,1,1471.7,8.59,8.397103718,1010.557534,1.332978436,579.2377818
2018-08-05,7104,75.6,597.2,82.8,7.4,34,80.70,6506,-598,8.59,-1.2,1471.7,2018,8,7,1034.45,7.995,7.898064516,803.6767351,1.122440446,481.2137911
2018-08-10,7538,74.9,434.2,66.1,6.9,5,62.93,7104,-434,7.4,-0.5,597.2,2018,8,5,834.3666667,7.63,7.398788471,618.8481192,1.001525228,408.518765
2018-10-04,8662,79.7,1124,138.2,8.78,55,128.02,7538,-1124,6.9,1.89,434.2,2018,10,4,718.4666667,7.693333333,8.089562882,871.4857387,1.103114033,423.2237035
2018-10-07,9027,78.7,364.8,61,6.22,3,58.65,8662,-365,8.78,-2.56,1124,2018,10,7,641,7.3,7.154667318,618.1119399,1.385339756,431.0718606
2018-11-21,9946,81.2,919.3,118.3,8.43,45,109.05,9027,-919,6.22,2.21,364.8,2018,11,3,802.7,7.81,7.792372581,768.7151621,1.252769229,356.2584043
2018-11-24,10217,80.4,271,58.2,5.01,3,54.09,9946,-271,8.43,-3.42,919.3,2018,11,6,669.775,7.11,6.401143834,519.8499863,1.920378873,395.4164011
2018-12-31,11033,81.7,815.7,103,8.34,37,97.81,10217,-816,5.01,3.33,271,2018,12,1,668.6666667,7.26,7.370586709,667.7772503,1.803767988,333.1634608
2019-01-18,11623,81.2,589.6,73,8.83,18,66.77,11033,-590,8.34,0.49,815.7,2019,1,5,648.9,7.6525,8.100298922,628.6883269,1.557394758,240.3955019
2019-02-20,12295,81.7,671.9,90.8,8.08,33,83.16,11623,-672,8.83,-0.75,589.6,2019,2,3,692.4,8.416666667,8.090149422,650.2942459,1.101310347,172.0319713
2019-03-30,13031,82.4,735.7,96.2,8.24,38,89.28,12295,-736,8.08,0.16,671.9,2019,3,6,703.8,8.16,8.165074854,692.9972044,0.7841305,132.4112983
2019-04-05,13623,81.6,592.1,67.9,9.24,6,64.08,13031,-592,8.24,1.01,735.7,2019,4,5,666.5666667,8.52,8.70253794,642.5485541,0.860656246,112.178229
2019-04-19,14162,81.1,538.8,69.1,8.38,14,64.30,13623,-539,9.24,-0.87,592.1,2019,4,5,634.625,8.485,8.541268893,590.6742523,0.639824799,101.6286593
2019-05-05,14683,80.9,521.3,77.1,7.01,16,74.37,14162,-521,8.38,-1.37,538.8,2019,5,7,596.975,8.2175,7.775634264,555.9871179,1.041144638,83.48044827
2019-05-10,15256,80.1,572.5,63,9.68,5,59.14,14683,-573,7.01,2.67,521.3,2019,5,5,592.08,8.51,8.727817245,564.2435599,1.379119079,59.88944006
2019-06-02,15921,79.8,665,74.7,9.33,23,71.28,15256,-665,9.68,-0.35,572.5,2019,6,7,577.94,8.728,9.028908641,614.621783,1.042577881,74.83528653
2019-06-25,16559,80.3,638.4,96,7.12,23,89.66,15921,-638,9.33,-2.21,665,2019,6,2,599.3,8.285,8.074454292,626.5108918,1.382012627,54.88338771
2019-07-20,17302,80.5,743.2,85.4,9.21,25,80.69,16559,-743,7.12,2.09,638.4,2019,7,6,682.2,8.553333333,8.642227154,684.8554468,1.199386698,81.31558055
2019-08-06,17792,80.1,489.6,66,7.74,17,63.26,17302,-490,9.21,-1.47,743.2,2019,8,2,623.7333333,8.023333333,8.191113574,587.2277227,1.01218546,132.6758096
2019-09-26,18870,81.6,1078.2,120.9,9.51,51,113.38,17792,-1078,7.74,1.77,489.6,2019,9,4,783.9,8.625,8.850556789,832.7138622,1.079146759,314.9549204
2019-09-27,19286,80.9,415.7,57.8,7.46,1,55.72,18870,-416,9.51,-2.05,1078.2,2019,9,5,661.1666667,8.236666667,8.155278393,624.2069307,1.143414593,338.8377361
2019-11-23,20264,82.3,977.4,122.1,8.68,57,112.60,19286,-978,7.46,1.22,415.7,2019,11,6,823.7666667,8.55,8.417639197,800.8034655,0.870027731,322.7770278
2019-12-07,20706,81.9,441.9,67.7,6.94,14,63.67,20264,-442,8.68,-1.74,977.4,2019,12,6,709.65,7.81,7.678819598,621.3517327,1.094191813,316.854685
2019-12-09,21136,81,430,52.6,8.72,2,49.31,20706,-430,6.94,1.78,441.9,2019,12,1,616.4333333,8.113333333,8.199409799,525.6758663,1.002571243,252.8423477
2019-12-30,21822,80.9,686.5,79.9,9.22,21,74.46,21136,-686,8.72,0.5,430,2019,12,1,633.95,8.39,8.7097049,606.0879332,0.945079988,204.1170672
