"","CageID","Date","Days_in_Trt","weeks_of_age","Tot_Consumed_g","Consumption","Production","Side","Tier","Distance_from_door","Treatment","Position","Block"
"1",3844,2008-05-23,-10,18.2857,1094,72.933,NA,1,1,1,16.5,"front","1.1.front"
"2",3844,2008-06-19,17,22.1429,1406,93.733,0.85714,1,1,1,16.5,"front","1.1.front"
"3",3844,2008-07-25,53,27.2857,1425,95,1,1,1,1,16.5,"front","1.1.front"
"4",3844,2008-08-18,77,30.7143,1389,92.6,1.02857,1,1,1,16.5,"front","1.1.front"
"5",3844,2008-09-11,101,34.1429,1729,115.267,0.97143,1,1,1,16.5,"front","1.1.front"
"6",3844,2008-10-10,130,38.2857,1726,115.067,0.91429,1,1,1,16.5,"front","1.1.front"
"7",3844,2008-11-06,157,42.1429,1451,96.733,0.88571,1,1,1,16.5,"front","1.1.front"
"8",3844,2008-12-09,190,46.8571,1441,96.067,0.91429,1,1,1,16.5,"front","1.1.front"
"9",3844,2009-01-01,213,50.1429,1580,105.333,1.05714,1,1,1,16.5,"front","1.1.front"
"10",3844,2009-01-29,241,54.1429,1480,98.667,0.77143,1,1,1,16.5,"front","1.1.front"
"11",3844,2009-02-26,269,58.1429,1611,107.4,0.82857,1,1,1,16.5,"front","1.1.front"
"12",3844,2009-03-30,301,62.7143,1429,95.267,0.82857,1,1,1,16.5,"front","1.1.front"
"13",3844,2009-04-23,325,66.1429,1521,101.4,0.8,1,1,1,16.5,"front","1.1.front"
"14",3848,2008-05-23,-10,18.2857,1350,90,NA,1,1,2,21.5,"front","1.1.front"
"15",3848,2008-06-19,17,22.1429,1049,69.933,0.74286,1,1,2,21.5,"front","1.1.front"
"16",3848,2008-07-25,53,27.2857,1423,94.867,0.94286,1,1,2,21.5,"front","1.1.front"
"17",3848,2008-08-18,77,30.7143,1336,89.067,1.02857,1,1,2,21.5,"front","1.1.front"
"18",3848,2008-09-11,101,34.1429,1428,95.2,0.91429,1,1,2,21.5,"front","1.1.front"
"19",3848,2008-10-10,130,38.2857,1554,103.6,0.97143,1,1,2,21.5,"front","1.1.front"
"20",3848,2008-11-06,157,42.1429,1327,88.467,1,1,1,2,21.5,"front","1.1.front"
"21",3848,2008-12-09,190,46.8571,1441,96.067,0.82857,1,1,2,21.5,"front","1.1.front"
"22",3848,2009-01-01,213,50.1429,1276,85.067,0.97143,1,1,2,21.5,"front","1.1.front"
"23",3848,2009-01-29,241,54.1429,1456,97.067,0.91429,1,1,2,21.5,"front","1.1.front"
"24",3848,2009-02-26,269,58.1429,1438,95.867,0.8,1,1,2,21.5,"front","1.1.front"
"25",3848,2009-03-30,301,62.7143,1397,93.133,0.85714,1,1,2,21.5,"front","1.1.front"
"26",3848,2009-04-23,325,66.1429,1205,80.333,0.82857,1,1,2,21.5,"front","1.1.front"
"27",3852,2008-05-23,-10,18.2857,955,63.667,NA,1,1,3,11.5,"front","1.1.front"
"28",3852,2008-06-19,17,22.1429,1395,93,0.85714,1,1,3,11.5,"front","1.1.front"
"29",3852,2008-07-25,53,27.2857,1595,106.333,0.94286,1,1,3,11.5,"front","1.1.front"
"30",3852,2008-08-18,77,30.7143,1300,86.667,0.91429,1,1,3,11.5,"front","1.1.front"
"31",3852,2008-09-11,101,34.1429,1423,94.867,0.91429,1,1,3,11.5,"front","1.1.front"
"32",3852,2008-10-10,130,38.2857,1433,95.533,1.02857,1,1,3,11.5,"front","1.1.front"
"33",3852,2008-11-06,157,42.1429,1268,84.533,0.97143,1,1,3,11.5,"front","1.1.front"
"34",3852,2008-12-09,190,46.8571,1391,92.733,0.97143,1,1,3,11.5,"front","1.1.front"
"35",3852,2009-01-01,213,50.1429,1437,95.8,0.97143,1,1,3,11.5,"front","1.1.front"
"36",3852,2009-01-29,241,54.1429,1315,87.667,0.88571,1,1,3,11.5,"front","1.1.front"
"37",3852,2009-02-26,269,58.1429,1495,99.667,0.74286,1,1,3,11.5,"front","1.1.front"
"38",3852,2009-03-30,301,62.7143,1448,96.533,0.88571,1,1,3,11.5,"front","1.1.front"
"39",3852,2009-04-23,325,66.1429,1433,95.533,0.85714,1,1,3,11.5,"front","1.1.front"
"40",3856,2008-05-23,-10,18.2857,1008,67.2,NA,1,1,4,19,"front","1.1.front"
"41",3856,2008-06-19,17,22.1429,1048,69.867,0.85714,1,1,4,19,"front","1.1.front"
"42",3856,2008-07-25,53,27.2857,1291,86.067,0.97143,1,1,4,19,"front","1.1.front"
"43",3856,2008-08-18,77,30.7143,1215,81,0.91429,1,1,4,19,"front","1.1.front"
"44",3856,2008-09-11,101,34.1429,1330,88.667,1,1,1,4,19,"front","1.1.front"
"45",3856,2008-10-10,130,38.2857,1495,99.667,1,1,1,4,19,"front","1.1.front"
"46",3856,2008-11-06,157,42.1429,1363,90.867,1.02857,1,1,4,19,"front","1.1.front"
"47",3856,2008-12-09,190,46.8571,1282,85.467,0.82857,1,1,4,19,"front","1.1.front"
"48",3856,2009-01-01,213,50.1429,1304,86.933,0.91429,1,1,4,19,"front","1.1.front"
"49",3856,2009-01-29,241,54.1429,1094,72.933,0.85714,1,1,4,19,"front","1.1.front"
"50",3856,2009-02-26,269,58.1429,1438,95.867,0.77143,1,1,4,19,"front","1.1.front"
"51",3856,2009-03-30,301,62.7143,972,64.8,0.71429,1,1,4,19,"front","1.1.front"
"52",3856,2009-04-23,325,66.1429,1009,67.267,0.6,1,1,4,19,"front","1.1.front"
"53",3860,2008-05-23,-10,18.2857,1170,78,NA,1,1,5,24,"front","1.1.front"
"54",3860,2008-06-19,17,22.1429,1565,104.333,0.8,1,1,5,24,"front","1.1.front"
"55",3860,2008-07-25,53,27.2857,1414,94.267,0.94286,1,1,5,24,"front","1.1.front"
"56",3860,2008-08-18,77,30.7143,1467,97.8,0.91429,1,1,5,24,"front","1.1.front"
"57",3860,2008-09-11,101,34.1429,1470,98,0.91429,1,1,5,24,"front","1.1.front"
"58",3860,2008-10-10,130,38.2857,1554,103.6,0.82857,1,1,5,24,"front","1.1.front"
"59",3860,2008-11-06,157,42.1429,1456,97.067,0.97143,1,1,5,24,"front","1.1.front"
"60",3860,2008-12-09,190,46.8571,1506,100.4,0.77143,1,1,5,24,"front","1.1.front"
"61",3860,2009-01-01,213,50.1429,1210,80.667,0.97143,1,1,5,24,"front","1.1.front"
"62",3860,2009-01-29,241,54.1429,1568,104.533,0.82857,1,1,5,24,"front","1.1.front"
"63",3860,2009-02-26,269,58.1429,1571,104.733,0.94286,1,1,5,24,"front","1.1.front"
"64",3860,2009-03-30,301,62.7143,1532,102.133,0.8,1,1,5,24,"front","1.1.front"
"65",3860,2009-04-23,325,66.1429,1509,100.6,0.8,1,1,5,24,"front","1.1.front"
"66",3864,2008-05-23,-10,18.2857,1125,75,NA,1,1,6,14,"front","1.1.front"
"67",3864,2008-06-19,17,22.1429,1250,83.333,0.68571,1,1,6,14,"front","1.1.front"
"68",3864,2008-07-25,53,27.2857,1578,105.2,0.94286,1,1,6,14,"front","1.1.front"
"69",3864,2008-08-18,77,30.7143,1429,95.267,0.88571,1,1,6,14,"front","1.1.front"
"70",3864,2008-09-11,101,34.1429,1474,98.267,0.94286,1,1,6,14,"front","1.1.front"
"71",3864,2008-10-10,130,38.2857,1614,107.6,0.94286,1,1,6,14,"front","1.1.front"
"72",3864,2008-11-06,157,42.1429,1467,97.8,0.94286,1,1,6,14,"front","1.1.front"
"73",3864,2008-12-09,190,46.8571,1193,79.533,0.85714,1,1,6,14,"front","1.1.front"
"74",3864,2009-01-01,213,50.1429,1455,97,0.82857,1,1,6,14,"front","1.1.front"
"75",3864,2009-01-29,241,54.1429,1299,86.6,0.82857,1,1,6,14,"front","1.1.front"
"76",3864,2009-02-26,269,58.1429,1471,98.067,0.85714,1,1,6,14,"front","1.1.front"
"77",3864,2009-03-30,301,62.7143,1359,90.6,0.8,1,1,6,14,"front","1.1.front"
"78",3864,2009-04-23,325,66.1429,1391,92.733,0.74286,1,1,6,14,"front","1.1.front"
"79",3868,2008-05-23,-10,18.2857,1153,76.867,NA,1,1,7,21.5,"back","1.1.back"
"80",3868,2008-06-19,17,22.1429,1340,89.333,0.88571,1,1,7,21.5,"back","1.1.back"
"81",3868,2008-07-25,53,27.2857,1432,95.467,0.88571,1,1,7,21.5,"back","1.1.back"
"82",3868,2008-08-18,77,30.7143,1317,87.8,0.97143,1,1,7,21.5,"back","1.1.back"
"83",3868,2008-09-11,101,34.1429,1358,90.533,1,1,1,7,21.5,"back","1.1.back"
"84",3868,2008-10-10,130,38.2857,1651,110.067,0.97143,1,1,7,21.5,"back","1.1.back"
"85",3868,2008-11-06,157,42.1429,1393,92.867,0.97143,1,1,7,21.5,"back","1.1.back"
"86",3868,2008-12-09,190,46.8571,1410,94,0.91429,1,1,7,21.5,"back","1.1.back"
"87",3868,2009-01-01,213,50.1429,1364,90.933,0.91429,1,1,7,21.5,"back","1.1.back"
"88",3868,2009-01-29,241,54.1429,1320,88,0.82857,1,1,7,21.5,"back","1.1.back"
"89",3868,2009-02-26,269,58.1429,1413,94.2,0.97143,1,1,7,21.5,"back","1.1.back"
"90",3868,2009-03-30,301,62.7143,1406,93.733,0.8,1,1,7,21.5,"back","1.1.back"
"91",3868,2009-04-23,325,66.1429,1246,83.067,0.94286,1,1,7,21.5,"back","1.1.back"
"92",3872,2008-05-23,-10,18.2857,977,65.133,NA,1,1,8,16.5,"back","1.1.back"
"93",3872,2008-06-19,17,22.1429,1303,86.867,0.77143,1,1,8,16.5,"back","1.1.back"
"94",3872,2008-07-25,53,27.2857,1347,89.8,0.94286,1,1,8,16.5,"back","1.1.back"
"95",3872,2008-08-18,77,30.7143,1055,70.333,0.97143,1,1,8,16.5,"back","1.1.back"
"96",3872,2008-09-11,101,34.1429,1290,86,0.97143,1,1,8,16.5,"back","1.1.back"
"97",3872,2008-10-10,130,38.2857,1051,70.067,0.8,1,1,8,16.5,"back","1.1.back"
"98",3872,2008-11-06,157,42.1429,1174,78.267,0.97143,1,1,8,16.5,"back","1.1.back"
"99",3872,2008-12-09,190,46.8571,1135,75.667,0.82857,1,1,8,16.5,"back","1.1.back"
"100",3872,2009-01-01,213,50.1429,1130,75.333,1,1,1,8,16.5,"back","1.1.back"
"101",3872,2009-01-29,241,54.1429,997,66.467,0.88571,1,1,8,16.5,"back","1.1.back"
"102",3872,2009-02-26,269,58.1429,1333,88.867,0.82857,1,1,8,16.5,"back","1.1.back"
"103",3872,2009-03-30,301,62.7143,1130,75.333,0.82857,1,1,8,16.5,"back","1.1.back"
"104",3872,2009-04-23,325,66.1429,973,64.867,0.82857,1,1,8,16.5,"back","1.1.back"
"105",3876,2008-05-23,-10,18.2857,1159,77.267,NA,1,1,9,19,"back","1.1.back"
"106",3876,2008-06-19,17,22.1429,1135,75.667,0.85714,1,1,9,19,"back","1.1.back"
"107",3876,2008-07-25,53,27.2857,1454,96.933,0.71429,1,1,9,19,"back","1.1.back"
"108",3876,2008-08-18,77,30.7143,1272,84.8,0.91429,1,1,9,19,"back","1.1.back"
"109",3876,2008-09-11,101,34.1429,1403,93.533,0.97143,1,1,9,19,"back","1.1.back"
