"","Treatment","Block","Days_in_Trt","Predicted_Production","Predicted_Production_bc"
"1",16.5,"1.1.front",-10,0.954485066452036,-0.0446858136886429
"2",21.5,"1.1.front",-10,0.960246108619753,-0.0391216304298928
"3",11.5,"1.1.front",-10,0.948696141999468,-0.0502499969473929
"4",19,"1.1.front",-10,0.957369045541228,-0.0419037220592678
"5",24,"1.1.front",-10,0.963116309352048,-0.0363395388005178
"6",14,"1.1.front",-10,0.951594116973548,-0.0474679053180179
"7",16.5,"1.1.back",-10,0.910037948008316,-0.0867128457244028
"8",21.5,"1.1.back",-10,0.916021152618927,-0.0811486624656528
"9",11.5,"1.1.back",-10,0.90402318662632,-0.0922770289831528
"10",19,"1.1.back",-10,0.913033461280498,-0.0839307540950278
"11",24,"1.1.back",-10,0.919001088080365,-0.0783665708362778
"12",14,"1.1.back",-10,0.907034545787692,-0.0894949373537778
"13",16.5,"1.2.front",-10,0.946559983784998,-0.0522963988341627
"14",21.5,"1.2.front",-10,0.952359273822734,-0.0467322155754126
"15",11.5,"1.2.front",-10,0.940732201363663,-0.0578605820929127
"16",19,"1.2.front",-10,0.949463162054964,-0.0495143072047876
"17",24,"1.2.front",-10,0.955248374738629,-0.0439501239460376
"18",14,"1.2.front",-10,0.943649682610686,-0.0550784904635377
"19",16.5,"1.2.back",-10,0.930202222439067,-0.0678446727669143
"20",21.5,"1.2.back",-10,0.936082293085849,-0.0622804895081643
"21",11.5,"1.2.back",-10,0.924292340335617,-0.0734088560256643
"22",19,"1.2.back",-10,0.933145953648242,-0.0650625811375393
"23",24,"1.2.back",-10,0.939011300794079,-0.0594983978787893
"24",14,"1.2.back",-10,0.927251038579114,-0.0706267643962893
"25",16.5,"1.3.front",-10,0.962190694735956,-0.0372374628241993
"26",21.5,"1.3.front",-10,0.967915087513438,-0.0316732795654493
"27",11.5,"1.3.front",-10,0.956438995662063,-0.0428016460829493
"28",19,"1.3.front",-10,0.965056278077251,-0.0344553711948243
"29",24,"1.3.front",-10,0.970767174860742,-0.0288911879360743
"30",14,"1.3.front",-10,0.959318284993638,-0.0400195544535743
"31",16.5,"1.3.back",-10,0.902501372105561,-0.0936801724540694
"32",21.5,"1.3.back",-10,0.908524177176426,-0.0881159891953194
"33",11.5,"1.3.back",-10,0.896446321561241,-0.0992443557128194
"34",19,"1.3.back",-10,0.905516770445897,-0.0908980808246944
"35",24,"1.3.back",-10,0.91152366079015,-0.0853338975659443
"36",14,"1.3.back",-10,0.899477912654182,-0.0964622640834444
"37",16.5,"1.4.front",-10,0.938854653484945,-0.059647363446712
"38",21.5,"1.4.front",-10,0.944691682515921,-0.0540831801879619
"39",11.5,"1.4.front",-10,0.932988521013936,-0.065211546705462
"40",19,"1.4.front",-10,0.94177677660026,-0.0568652718173369
"41",24,"1.4.front",-10,0.947599428900149,-0.0513010885585869
"42",14,"1.4.front",-10,0.935925254711121,-0.062429455076087
"43",16.5,"1.4.back",-10,0.91672008563953,-0.0804967802902496
"44",21.5,"1.4.back",-10,0.922668665213064,-0.0749325970314996
"45",11.5,"1.4.back",-10,0.910740542989947,-0.0860609635489997
"46",19,"1.4.back",-10,0.919698213243622,-0.0777146886608746
"47",24,"1.4.back",-10,0.925631505532901,-0.0721505054021246
"48",14,"1.4.back",-10,0.913734217500006,-0.0832788719196247
"49",16.5,"2.1.front",-10,0.927205850031121,-0.0706693089598474
"50",21.5,"2.1.front",-10,0.933100993053017,-0.0651051257010974
"51",11.5,"2.1.front",-10,0.921280644801272,-0.0762334922185974
"52",19,"2.1.front",-10,0.930157148336241,-0.0678872173304724
"53",24,"2.1.front",-10,0.936037445073587,-0.0623230340717223
"54",14,"2.1.front",-10,0.924247036391707,-0.0734514005892224
"55",16.5,"2.1.back",-10,0.89301921907109,-0.102380379254136
"56",21.5,"2.1.back",-10,0.89909269286452,-0.0968161959953861
"57",11.5,"2.1.back",-10,0.886912603384761,-0.107944562512886
"58",19,"2.1.back",-10,0.896060062170744,-0.0995982876247611
"59",24,"2.1.back",-10,0.902117182869096,-0.0940341043660111
"60",14,"2.1.back",-10,0.889970090772924,-0.105162470883511
"61",16.5,"2.2.front",-10,0.90395662787152,-0.0923384369349646
"62",21.5,"2.2.front",-10,0.909971740551048,-0.0867742536762146
"63",11.5,"2.2.front",-10,0.897909404312568,-0.0979026201937147
"64",19,"2.2.front",-10,0.906968163437631,-0.0895563453055896
"65",24,"2.2.front",-10,0.912967427225882,-0.0839921620468396
"66",14,"2.2.front",-10,0.900937064840319,-0.0951205285643397
"67",16.5,"2.2.back",-10,0.934261170815361,-0.0640067685428757
"68",21.5,"2.2.back",-10,0.940120961653391,-0.0584425852841257
"69",11.5,"2.2.back",-10,0.928371903595691,-0.0695709518016257
"70",19,"2.2.back",-10,0.937194720813833,-0.0612246769135007
"71",24,"2.2.back",-10,0.943039952247941,-0.0556604936547507
"72",14,"2.2.back",-10,0.931320251929192,-0.0667888601722507
"73",16.5,"2.3.front",-10,0.901232791856312,-0.0948483869456034
"74",21.5,"2.3.front",-10,0.907262320623546,-0.0892842036868534
"75",11.5,"2.3.front",-10,0.895170899648483,-0.100412570204353
"76",19,"2.3.front",-10,0.904251566574797,-0.0920662953162284
"77",24,"2.3.front",-10,0.910265122916398,-0.0865021120574784
"78",14,"2.3.front",-10,0.898205926537249,-0.0976304785749784
"79",16.5,"2.3.back",-10,0.876927250004997,-0.116977242696307
"80",21.5,"2.3.back",-10,0.883088943422987,-0.111413059437557
"81",11.5,"2.3.back",-10,0.8707308126105,-0.122541425955058
"82",19,"2.3.back",-10,0.880012400143302,-0.114195151066932
"83",24,"2.3.back",-10,0.886156957468748,-0.108630967808182
"84",14,"2.3.back",-10,0.873833414180019,-0.119759334325683
"85",16.5,"2.4.front",-10,0.932457671597145,-0.0657136980547776
"86",21.5,"2.4.front",-10,0.938326453860531,-0.0601495147960275
"87",11.5,"2.4.front",-10,0.926559264716794,-0.0712778813135276
"88",19,"2.4.front",-10,0.935395735582539,-0.0629316064254025
"89",24,"2.4.front",-10,0.941249885843116,-0.0573674231666525
"90",14,"2.4.front",-10,0.929512201667722,-0.0684957896841526
"91",16.5,"2.4.back",-10,0.936694993166067,-0.0616990955550205
"92",21.5,"2.4.back",-10,0.942542699034632,-0.0561349122962705
"93",11.5,"2.4.back",-10,0.930818009335325,-0.0672632788137705
"94",19,"2.4.back",-10,0.939622476217549,-0.0589170039256455
"95",24,"2.4.back",-10,0.94545571986714,-0.0533528206668955
"96",14,"2.4.back",-10,0.933760190828434,-0.0644811871843955
"97",16.5,"1.1.front",17,0.944986790087208,-0.0538011364449784
"98",21.5,"1.1.front",17,0.950634311184984,-0.048390080593083
"99",11.5,"1.1.front",17,0.939312206699816,-0.0592121922968739
"100",19,"1.1.front",17,0.947813907204942,-0.0510956085190307
"101",24,"1.1.front",17,0.953448053609259,-0.0456845526671353
"102",14,"1.1.front",17,0.942152907570166,-0.0565066643709262
"103",16.5,"1.1.back",17,0.90515914789362,-0.0912284204964141
"104",21.5,"1.1.back",17,0.91100298154351,-0.0858173646445186
"105",11.5,"1.1.back",17,0.899285051136204,-0.0966394763483095
"106",19,"1.1.back",17,0.908084815937006,-0.0885228925704664
"107",24,"1.1.back",17,0.913913706941077,-0.0831118367185709
"108",14,"1.1.back",17,0.90222591429934,-0.0939339484223618
"109",16.5,"1.2.front",17,0.935902593979056,-0.0624509492506701
"110",21.5,"1.2.front",17,0.941593578648472,-0.0570398933987747
"111",11.5,"1.2.front",17,0.930183859798508,-0.0678620051025656
"112",19,"1.2.front",17,0.938751527650115,-0.0597454213247224
"113",24,"1.2.front",17,0.94442880077409,-0.0543343654728269
"114",14,"1.2.front",17,0.933046723113979,-0.0651564771766178
"115",16.5,"1.2.back",17,0.92195093317036,-0.0756054725816723
"116",21.5,"1.2.back",17,0.927710155398277,-0.0701944167297769
"117",11.5,"1.2.back",17,0.916162858058825,-0.0810165284335678
"118",19,"1.2.back",17,0.924834121678805,-0.0728999446557246
"119",24,"1.2.back",17,0.930579091767773,-0.0674888888038291
"120",14,"1.2.back",17,0.919060531642685,-0.0783110005076201
"121",16.5,"1.3.front",17,0.94880401154174,-0.0501465622012272
"122",21.5,"1.3.front",17,0.954433490716148,-0.0447355063493318
"123",11.5,"1.3.front",17,0.94314775182399,-0.0555576180531227
"124",19,"1.3.front",17,0.951622072939221,-0.0474410342752795
"125",24,"1.3.front",17,0.957238315555948,-0.042029978423384
"126",14,"1.3.front",17,0.945979255177251,-0.052852090127175
"127",16.5,"1.3.back",17,0.89752038754576,-0.0982595425361693
"128",21.5,"1.3.back",17,0.903403644729955,-0.0928484866842738
"129",11.5,"1.3.back",17,0.891606194030751,-0.103670598388065
"130",19,"1.3.back",17,0.900465850309364,-0.0955540146102215
"131",24,"1.3.back",17,0.906333835375536,-0.0901429587583261
"132",14,"1.3.back",17,0.894567190937616,-0.100965070462117
"133",16.5,"1.4.front",17,0.928658217335944,-0.0693010918582867
"134",21.5,"1.4.front",17,0.934384406013333,-0.0638900360063913
"135",11.5,"1.4.front",17,0.922903713664629,-0.0747121477101822
"136",19,"1.4.front",17,0.931524822747581,-0.066595563932339
"137",24,"1.4.front",17,0.937237022786257,-0.0611845080804435
"138",14,"1.4.front",17,0.925784533368648,-0.0720066197842344
"139",16.5,"1.4.back",17,0.905365719828798,-0.0910376205532472
"140",21.5,"1.4.back",17,0.911208495602245,-0.0856265647013517
"141",11.5,"1.4.back",17,0.899492698870531,-0.0964486764051426
"142",19,"1.4.back",17,0.908290856725318,-0.0883320926272994
"143",24,"1.4.back",17,0.9141186986257,-0.082921036775404
"144",14,"1.4.back",17,0.902433021861742,-0.0937431484791949
"145",16.5,"2.1.front",17,0.922226118914609,-0.0753475346622398
"146",21.5,"2.1.front",17,0.927983977417845,-0.0699364788103444
"147",11.5,"2.1.front",17,0.916439429873492,-0.0807585905141353
"148",19,"2.1.front",17,0.925108622805731,-0.0726420067362921
"149",24,"2.1.front",17,0.930852240115305,-0.0672309508843967
"150",14,"2.1.front",17,0.919336407590319,-0.0780530625881876
"151",16.5,"2.1.back",17,0.887898212837317,-0.107048563941606
"152",21.5,"2.1.back",17,0.893831989540237,-0.10163750808971
"153",11.5,"2.1.back",17,0.881932621893879,-0.112459619793501
"154",19,"2.1.back",17,0.890869043507135,-0.104343036015658
"155",24,"2.1.back",17,0.896787118607869,-0.0989319801637626
"156",14,"2.1.back",17,0.884919428861971,-0.109754091867553
"157",16.5,"2.2.front",17,0.899206229573316,-0.0967118934083829
