hours,handwarmer,bag,oxygen,log_oxygen,log_hours,squared_hours,rep
0,1,pics,23.32,1.367728546,-0.301029996,0,1
1,1,pics,20.45,1.310693312,0.176091259,1,1
2,1,pics,18.49,1.266936911,0.397940009,4,1
3,1,pics,16.7,1.222716471,0.544068044,9,1
4,1,pics,15.14,1.180125875,0.653212514,16,1
5,1,pics,14.43,1.159266331,0.740362689,25,1
6,1,pics,12.52,1.097604329,0.812913357,36,1
7,1,pics,11.2,1.049218023,0.875061263,49,1
8,1,pics,10.34,1.014520539,0.929418926,64,1
9,1,pics,9.28,0.967547976,0.977723605,81,1
10,1,pics,8.53,0.930949031,1.021189299,100,1
11,1,pics,7.76,0.889861721,1.06069784,121,1
12,1,pics,7.15,0.854306042,1.096910013,144,1
24,1,pics,2.87,0.457881897,1.389166084,576,1
48,1,pics,1.66,0.220108088,1.685741739,2304,1
0,1,pics,23.08,1.363235804,-0.301029996,0,2
1,1,pics,19.86,1.297979244,0.176091259,1,2
2,1,pics,17.58,1.245018871,0.397940009,4,2
3,1,pics,15.55,1.191730393,0.544068044,9,2
4,1,pics,13.8,1.139879086,0.653212514,16,2
5,1,pics,12.23,1.087426457,0.740362689,25,2
6,1,pics,10.94,1.039017322,0.812913357,36,2
7,1,pics,9.67,0.985426474,0.875061263,49,2
8,1,pics,8.63,0.936010796,0.929418926,64,2
9,1,pics,7.82,0.893206753,0.977723605,81,2
10,1,pics,6.98,0.843855423,1.021189299,100,2
11,1,pics,6.27,0.797267541,1.06069784,121,2
12,1,pics,5.67,0.753583059,1.096910013,144,2
24,1,pics,2.08,0.318063335,1.389166084,576,2
48,1,pics,1.49,0.173186268,1.685741739,2304,2
0,1,pics,23.24,1.366236124,-0.301029996,0,3
1,1,pics,20.91,1.320354033,0.176091259,1,3
2,1,pics,18.8,1.274157849,0.397940009,4,3
3,1,pics,16.33,1.212986185,0.544068044,9,3
4,1,pics,14.53,1.162265614,0.653212514,16,3
5,1,pics,13.22,1.121231455,0.740362689,25,3
6,1,pics,11.52,1.061452479,0.812913357,36,3
7,1,pics,10.14,1.006037955,0.875061263,49,3
8,1,pics,9.21,0.96425963,0.929418926,64,3
9,1,pics,7.94,0.899820502,0.977723605,81,3
10,1,pics,7.19,0.85672889,1.021189299,100,3
11,1,pics,6.36,0.803457116,1.06069784,121,3
12,1,pics,5.82,0.764922985,1.096910013,144,3
24,1,pics,1.86,0.269512944,1.389166084,576,3
48,1,pics,2.16,0.334453751,1.685741739,2304,3
0,1,pics,23.19,1.365300749,-0.301029996,0,4
1,1,pics,21.19,1.326130957,0.176091259,1,4
2,1,pics,18.93,1.277150614,0.397940009,4,4
3,1,pics,16.71,1.22297645,0.544068044,9,4
4,1,pics,14.86,1.172018809,0.653212514,16,4
5,1,pics,13.16,1.119255889,0.740362689,25,4
