"","date","state","fips","cases","deaths"
"1","2020-01-25","California",6,1,0
"2","2020-01-26","California",6,2,0
"3","2020-01-27","California",6,2,0
"4","2020-01-28","California",6,2,0
"5","2020-01-29","California",6,2,0
"6","2020-01-30","California",6,2,0
"7","2020-01-31","California",6,3,0
"8","2020-02-01","California",6,3,0
"9","2020-02-02","California",6,6,0
"10","2020-02-03","California",6,6,0
"11","2020-02-04","California",6,6,0
"12","2020-02-05","California",6,6,0
"13","2020-02-06","California",6,6,0
"14","2020-02-07","California",6,6,0
"15","2020-02-08","California",6,6,0
"16","2020-02-09","California",6,6,0
"17","2020-02-10","California",6,7,0
"18","2020-02-11","California",6,7,0
"19","2020-02-12","California",6,7,0
"20","2020-02-12","Texas",48,1,0
"21","2020-02-13","California",6,7,0
"22","2020-02-13","Texas",48,2,0
"23","2020-02-14","California",6,7,0
"24","2020-02-14","Texas",48,2,0
"25","2020-02-15","California",6,7,0
"26","2020-02-15","Texas",48,2,0
"27","2020-02-16","California",6,7,0
"28","2020-02-16","Texas",48,2,0
"29","2020-02-17","California",6,7,0
"30","2020-02-17","Texas",48,2,0
"31","2020-02-18","California",6,7,0
"32","2020-02-18","Texas",48,2,0
"33","2020-02-19","California",6,7,0
"34","2020-02-19","Texas",48,2,0
"35","2020-02-20","California",6,8,0
"36","2020-02-20","Texas",48,2,0
"37","2020-02-21","California",6,9,0
"38","2020-02-21","Texas",48,4,0
"39","2020-02-22","California",6,9,0
"40","2020-02-22","Texas",48,4,0
"41","2020-02-23","California",6,9,0
"42","2020-02-23","Texas",48,4,0
"43","2020-02-24","California",6,11,0
"44","2020-02-24","Texas",48,10,0
"45","2020-02-25","California",6,11,0
"46","2020-02-25","Texas",48,10,0
"47","2020-02-26","California",6,26,0
"48","2020-02-26","Texas",48,10,0
"49","2020-02-27","California",6,26,0
"50","2020-02-27","Texas",48,10,0
"51","2020-02-28","California",6,27,0
"52","2020-02-28","Texas",48,11,0
"53","2020-02-29","California",6,28,0
"54","2020-02-29","Texas",48,11,0
"55","2020-03-01","California",6,33,0
"56","2020-03-01","Texas",48,11,0
"57","2020-03-02","California",6,38,0
"58","2020-03-02","Texas",48,11,0
"59","2020-03-03","California",6,45,0
"60","2020-03-03","Texas",48,11,0
"61","2020-03-04","California",6,55,1
"62","2020-03-04","Texas",48,12,0
"63","2020-03-05","California",6,67,1
"64","2020-03-05","Texas",48,16,0
"65","2020-03-06","California",6,81,1
"66","2020-03-06","Indiana",18,1,0
"67","2020-03-06","Texas",48,19,0
"68","2020-03-07","California",6,100,1
"69","2020-03-07","Indiana",18,1,0
"70","2020-03-07","Texas",48,19,0
"71","2020-03-08","California",6,112,1
"72","2020-03-08","Indiana",18,2,0
"73","2020-03-08","Texas",48,23,0
"74","2020-03-09","California",6,172,2
"75","2020-03-09","Indiana",18,4,0
"76","2020-03-09","Texas",48,24,0
"77","2020-03-10","California",6,179,3
"78","2020-03-10","Indiana",18,6,0
"79","2020-03-10","Texas",48,31,0
"80","2020-03-11","California",6,202,4
"81","2020-03-11","Indiana",18,11,0
"82","2020-03-11","Texas",48,33,0
"83","2020-03-12","California",6,252,4
"84","2020-03-12","Indiana",18,12,0
"85","2020-03-12","Texas",48,41,0
"86","2020-03-13","California",6,320,5
"87","2020-03-13","Indiana",18,12,0
"88","2020-03-13","Texas",48,58,0
"89","2020-03-14","California",6,381,5
"90","2020-03-14","Indiana",18,15,0
"91","2020-03-14","Texas",48,69,0
"92","2020-03-15","California",6,478,6
"93","2020-03-15","Indiana",18,19,0
"94","2020-03-15","Texas",48,80,0
"95","2020-03-16","California",6,588,11
"96","2020-03-16","Indiana",18,24,1
"97","2020-03-16","Texas",48,87,1
"98","2020-03-17","California",6,732,14
"99","2020-03-17","Indiana",18,30,2
"100","2020-03-17","Texas",48,106,1
"101","2020-03-18","California",6,893,17
"102","2020-03-18","Indiana",18,39,2
"103","2020-03-18","Texas",48,166,2
"104","2020-03-19","California",6,1067,19
"105","2020-03-19","Indiana",18,56,2
"106","2020-03-19","Texas",48,248,4
"107","2020-03-20","California",6,1283,24
"108","2020-03-20","Indiana",18,81,5
"109","2020-03-20","Texas",48,386,5
"110","2020-03-21","California",6,1544,28
"111","2020-03-21","Indiana",18,128,6
"112","2020-03-21","Texas",48,547,5
"113","2020-03-22","California",6,1851,35
"114","2020-03-22","Indiana",18,204,9
"115","2020-03-22","Texas",48,639,7
"116","2020-03-23","California",6,2240,39
"117","2020-03-23","Indiana",18,264,12
"118","2020-03-23","Texas",48,728,7
"119","2020-03-24","California",6,2644,52
"120","2020-03-24","Indiana",18,371,17
"121","2020-03-24","Texas",48,857,11
"122","2020-03-25","California",6,3183,68
"123","2020-03-25","Indiana",18,484,19
"124","2020-03-25","Texas",48,1132,13
"125","2020-03-26","California",6,4060,83
"126","2020-03-26","Indiana",18,661,23
"127","2020-03-26","Texas",48,1542,21
"128","2020-03-27","California",6,4915,104
"129","2020-03-27","Indiana",18,992,32
"130","2020-03-27","Texas",48,1971,25
"131","2020-03-28","California",6,5566,122
"132","2020-03-28","Indiana",18,1239,38
"133","2020-03-28","Texas",48,2381,30
"134","2020-03-29","California",6,6321,132
"135","2020-03-29","Indiana",18,1522,40
"136","2020-03-29","Texas",48,2722,35
"137","2020-03-30","California",6,7421,147
"138","2020-03-30","Indiana",18,1797,44
"139","2020-03-30","Texas",48,3065,46
"140","2020-03-31","California",6,8583,184
"141","2020-03-31","Indiana",18,2177,61
"142","2020-03-31","Texas",48,3588,57
"143","2020-04-01","California",6,9857,212
"144","2020-04-01","Indiana",18,2578,80
"145","2020-04-01","Texas",48,4402,65
"146","2020-04-02","California",6,11190,247
"147","2020-04-02","Indiana",18,3056,94
"148","2020-04-02","Texas",48,4952,80
"149","2020-04-03","California",6,12569,282
"150","2020-04-03","Indiana",18,3455,118
"151","2020-04-03","Texas",48,5773,98
"152","2020-04-04","California",6,13796,323
"153","2020-04-04","Indiana",18,3975,136
"154","2020-04-04","Texas",48,6566,124
"155","2020-04-05","California",6,15202,351
"156","2020-04-05","Indiana",18,4437,151
"157","2020-04-05","Texas",48,7117,136
"158","2020-04-06","California",6,16361,386
"159","2020-04-06","Indiana",18,4986,171
"160","2020-04-06","Texas",48,8150,159
"161","2020-04-07","California",6,17540,447
"162","2020-04-07","Indiana",18,5544,208
"163","2020-04-07","Texas",48,8968,177
"164","2020-04-08","California",6,19043,506
"165","2020-04-08","Indiana",18,5986,246
"166","2020-04-08","Texas",48,9897,195
"167","2020-04-09","California",6,20191,548
"168","2020-04-09","Indiana",18,6400,295
"169","2020-04-09","Texas",48,11372,228
"170","2020-04-10","California",6,21366,594
"171","2020-04-10","Indiana",18,6960,353
"172","2020-04-10","Texas",48,12291,249
"173","2020-04-11","California",6,22421,632
"174","2020-04-11","Indiana",18,7494,389
"175","2020-04-11","Texas",48,13208,265
"176","2020-04-12","California",6,23323,676
"177","2020-04-12","Indiana",18,7990,405
"178","2020-04-12","Texas",48,13776,288
"179","2020-04-13","California",6,24334,725
"180","2020-04-13","Indiana",18,8300,414
"181","2020-04-13","Texas",48,14487,320
"182","2020-04-14","California",6,25758,778
"183","2020-04-14","Indiana",18,8598,458
"184","2020-04-14","Texas",48,15303,365
"185","2020-04-15","California",6,27107,885
"186","2020-04-15","Indiana",18,9030,511
"187","2020-04-15","Texas",48,16106,395
"188","2020-04-16","California",6,28142,971
"189","2020-04-16","Indiana",18,9619,554
"190","2020-04-16","Texas",48,16928,428
"191","2020-04-17","California",6,29398,1050
"192","2020-04-17","Indiana",18,10235,599
"193","2020-04-17","Texas",48,18131,461
"194","2020-04-18","California",6,30829,1146
"195","2020-04-18","Indiana",18,10730,633
"196","2020-04-18","Texas",48,18927,487
"197","2020-04-19","California",6,31544,1176
"198","2020-04-19","Indiana",18,11301,652
"199","2020-04-19","Texas",48,19441,503
"200","2020-04-20","California",6,33862,1223
"201","2020-04-20","Indiana",18,11784,666
"202","2020-04-20","Texas",48,20035,523
"203","2020-04-21","California",6,35844,1316
"204","2020-04-21","Indiana",18,12214,731
"205","2020-04-21","Texas",48,20949,552
"206","2020-04-22","California",6,37573,1425
"207","2020-04-22","Indiana",18,12575,764
"208","2020-04-22","Texas",48,21769,571
"209","2020-04-23","California",6,39534,1548
"210","2020-04-23","Indiana",18,13196,811
"211","2020-04-23","Texas",48,22706,601
"212","2020-04-24","California",6,41368,1619
"213","2020-04-24","Indiana",18,13848,851
"214","2020-04-24","Texas",48,23650,625
"215","2020-04-25","California",6,42590,1692
"216","2020-04-25","Indiana",18,14567,897
"217","2020-04-25","Texas",48,24494,662
"218","2020-04-26","California",6,43691,1716
"219","2020-04-26","Indiana",18,15187,928
"220","2020-04-26","Texas",48,25209,676
"221","2020-04-27","California",6,45208,1800
"222","2020-04-27","Indiana",18,16137,932
"223","2020-04-27","Texas",48,25963,699
"224","2020-04-28","California",6,46570,1884
"225","2020-04-28","Indiana",18,16783,992
"226","2020-04-28","Texas",48,26868,738
"227","2020-04-29","California",6,48904,1961
"228","2020-04-29","Indiana",18,17409,1065
"229","2020-04-29","Texas",48,27839,776
"230","2020-04-30","California",6,50470,2057
"231","2020-04-30","Indiana",18,18099,1114
"232","2020-04-30","Texas",48,29072,828
"233","2020-05-01","California",6,52318,2147
"234","2020-05-01","Indiana",18,18941,1175
"235","2020-05-01","Texas",48,30342,853
"236","2020-05-02","California",6,53753,2213
"237","2020-05-02","Indiana",18,19629,1229
"238","2020-05-02","Texas",48,31433,875
"239","2020-05-03","California",6,55072,2235
"240","2020-05-03","Indiana",18,20267,1246
"241","2020-05-03","Texas",48,32299,890
"242","2020-05-04","California",6,56333,2297
"243","2020-05-04","Indiana",18,20855,1264
"244","2020-05-04","Texas",48,33134,914
"245","2020-05-05","California",6,58848,2386
"246","2020-05-05","Indiana",18,21423,1326
"247","2020-05-05","Texas",48,34286,955
"248","2020-05-06","California",6,60787,2478
"249","2020-05-06","Indiana",18,22286,1377
"250","2020-05-06","Texas",48,35441,985
"251","2020-05-07","California",6,62481,2561
"252","2020-05-07","Indiana",18,22942,1414
"253","2020-05-07","Texas",48,36682,1016
"254","2020-05-08","California",6,64616,2650
"255","2020-05-08","Indiana",18,23620,1447
"256","2020-05-08","Texas",48,37943,1059
"257","2020-05-09","California",6,66824,2732
"258","2020-05-09","Indiana",18,24239,1490
"259","2020-05-09","Texas",48,38849,1086
"260","2020-05-10","California",6,68051,2769
"261","2020-05-10","Indiana",18,24633,1508
"262","2020-05-10","Texas",48,40037,1110
"263","2020-05-11","California",6,69514,2820
"264","2020-05-11","Indiana",18,25134,1540
"265","2020-05-11","Texas",48,40988,1137
"266","2020-05-12","California",6,71150,2902
"267","2020-05-12","Indiana",18,25676,1578
"268","2020-05-12","Texas",48,42348,1169
"269","2020-05-13","California",6,73218,3014
"270","2020-05-13","Indiana",18,26044,1619
"271","2020-05-13","Texas",48,43822,1205
"272","2020-05-14","California",6,74947,3039
"273","2020-05-14","Indiana",18,26627,1646
"274","2020-05-14","Texas",48,45169,1256
"275","2020-05-15","California",6,77015,3192
"276","2020-05-15","Indiana",18,27281,1691
"277","2020-05-15","Texas",48,46987,1300
"278","2020-05-16","California",6,78933,3254
"279","2020-05-16","Indiana",18,27919,1741
"280","2020-05-16","Texas",48,47866,1330
"281","2020-05-17","California",6,80366,3290
"282","2020-05-17","Indiana",18,28419,1751
"283","2020-05-17","Texas",48,48828,1356
"284","2020-05-18","California",6,81943,3322
"285","2020-05-18","Indiana",18,28897,1765
"286","2020-05-18","Texas",48,49788,1362
"287","2020-05-19","California",6,83981,3422
"288","2020-05-19","Indiana",18,29402,1824
"289","2020-05-19","Texas",48,51080,1405
"290","2020-05-20","California",6,86125,3514
"291","2020-05-20","Indiana",18,29986,1864
"292","2020-05-20","Texas",48,52369,1443
"293","2020-05-21","California",6,88488,3624
"294","2020-05-21","Indiana",18,30673,1913
"295","2020-05-21","Texas",48,53441,1480
"296","2020-05-22","California",6,90801,3690
"297","2020-05-22","Indiana",18,31165,1941
"298","2020-05-22","Texas",48,54369,1498
"299","2020-05-23","California",6,92815,3768
"300","2020-05-23","Indiana",18,31674,1964
"301","2020-05-23","Texas",48,55451,1522
"302","2020-05-24","California",6,94743,3790
"303","2020-05-24","Indiana",18,32151,1976
"304","2020-05-24","Texas",48,56050,1533
"305","2020-05-25","California",6,97017,3808
"306","2020-05-25","Indiana",18,32489,1984
"307","2020-05-25","Texas",48,56490,1536
"308","2020-05-26","California",6,99924,3859
"309","2020-05-26","Indiana",18,32856,2004
"310","2020-05-26","Texas",48,57573,1552
"311","2020-05-27","California",6,101873,3961
"312","2020-05-27","Indiana",18,33242,2030
"313","2020-05-27","Texas",48,59105,1598
"314","2020-05-28","California",6,104071,4042
"315","2020-05-28","Indiana",18,33885,2068
"316","2020-05-28","Texas",48,60820,1618
"317","2020-05-29","California",6,107043,4144
"318","2020-05-29","Indiana",18,34399,2110
"319","2020-05-29","Texas",48,62073,1645
"320","2020-05-30","California",6,110100,4214
"321","2020-05-30","Indiana",18,35064,2125
"322","2020-05-30","Texas",48,63396,1676
"323","2020-05-31","California",6,113114,4242
"324","2020-05-31","Indiana",18,35429,2134
"325","2020-05-31","Texas",48,64974,1683
"326","2020-06-01","California",6,115643,4287
"327","2020-06-01","Indiana",18,35684,2142
"328","2020-06-01","Texas",48,66081,1695
"329","2020-06-02","California",6,118081,4360
"330","2020-06-02","Indiana",18,36129,2197
"331","2020-06-02","Texas",48,67966,1732
"332","2020-06-03","California",6,120407,4422
"333","2020-06-03","Indiana",18,36609,2207
"334","2020-06-03","Texas",48,69546,1766
"335","2020-06-04","California",6,122917,4484
"336","2020-06-04","Indiana",18,37005,2231
"337","2020-06-04","Texas",48,71330,1793
"338","2020-06-05","California",6,126510,4550
"339","2020-06-05","Indiana",18,37499,2258
"340","2020-06-05","Texas",48,73323,1821
"341","2020-06-06","California",6,129147,4626
"342","2020-06-06","Indiana",18,37928,2292
"343","2020-06-06","Texas",48,75077,1840
"344","2020-06-07","California",6,131997,4653
"345","2020-06-07","Indiana",18,38328,2303
"346","2020-06-07","Texas",48,75948,1846
"347","2020-06-08","California",6,134287,4679
"348","2020-06-08","Indiana",18,38553,2316
"349","2020-06-08","Texas",48,77326,1856
"350","2020-06-09","California",6,137245,4775
"351","2020-06-09","Indiana",18,38985,2339
"352","2020-06-09","Texas",48,79271,1886
"353","2020-06-10","California",6,140139,4869
"354","2020-06-10","Indiana",18,39297,2355
"355","2020-06-10","Texas",48,81771,1916
"356","2020-06-11","California",6,143709,4941
"357","2020-06-11","Indiana",18,39714,2380
"358","2020-06-11","Texas",48,83772,1942
"359","2020-06-12","California",6,147285,4986
"360","2020-06-12","Indiana",18,40114,2396
"361","2020-06-12","Texas",48,86031,1965
"362","2020-06-13","California",6,150434,5059
"363","2020-06-13","Indiana",18,40535,2413
"364","2020-06-13","Texas",48,88120,1989
"365","2020-06-14","California",6,152953,5089
"366","2020-06-14","Indiana",18,40901,2422
"367","2020-06-14","Texas",48,89542,1995
"368","2020-06-15","California",6,155662,5120
"369","2020-06-15","Indiana",18,41422,2433
"370","2020-06-15","Texas",48,91726,2018
"371","2020-06-16","California",6,159131,5202
"372","2020-06-16","Indiana",18,41780,2447
"373","2020-06-16","Texas",48,95973,2057
"374","2020-06-17","California",6,163381,5283
"375","2020-06-17","Indiana",18,42036,2475
"376","2020-06-17","Texas",48,99466,2099
"377","2020-06-18","California",6,167135,5359
"378","2020-06-18","Indiana",18,42480,2491
"379","2020-06-18","Texas",48,102677,2137
"380","2020-06-19","California",6,170843,5425
"381","2020-06-19","Indiana",18,42801,2516
"382","2020-06-19","Texas",48,107322,2168
"383","2020-06-20","California",6,174854,5495
"384","2020-06-20","Indiana",18,43135,2536
"385","2020-06-20","Texas",48,111594,2186
"386","2020-06-21","California",6,178807,5517
"387","2020-06-21","Indiana",18,43496,2540
"388","2020-06-21","Texas",48,114886,2195
"389","2020-06-22","California",6,184620,5561
"390","2020-06-22","Indiana",18,43709,2553
"391","2020-06-22","Texas",48,119646,2213
"392","2020-06-23","California",6,191039,5637
"393","2020-06-23","Indiana",18,43967,2569
"394","2020-06-23","Texas",48,124726,2246
"395","2020-06-24","California",6,195889,5728
"396","2020-06-24","Indiana",18,44260,2578
"397","2020-06-24","Texas",48,131310,2292
"398","2020-06-25","California",6,201413,5810
"399","2020-06-25","Indiana",18,44779,2586
"400","2020-06-25","Texas",48,136783,2321
"401","2020-06-26","California",6,207027,5872
"402","2020-06-26","Indiana",18,45269,2595
"403","2020-06-26","Texas",48,142582,2362
"404","2020-06-27","California",6,211453,5902
"405","2020-06-27","Indiana",18,45707,2616
"406","2020-06-27","Texas",48,148639,2398
"407","2020-06-28","California",6,216955,5937
"408","2020-06-28","Indiana",18,46071,2619
"409","2020-06-28","Texas",48,152866,2408
"410","2020-06-29","California",6,223995,5979
"411","2020-06-29","Indiana",18,46370,2624
"412","2020-06-29","Texas",48,158756,2430
"413","2020-06-30","California",6,232153,6083
"414","2020-06-30","Indiana",18,46740,2640
"415","2020-06-30","Texas",48,166703,2482
"416","2020-07-01","California",6,239764,6168
"417","2020-07-01","Indiana",18,47116,2650
"418","2020-07-01","Texas",48,174826,2518
"419","2020-07-02","California",6,248198,6263
"420","2020-07-02","Indiana",18,47553,2662
"421","2020-07-02","Texas",48,182260,2562
"422","2020-07-03","California",6,256298,6315
"423","2020-07-03","Indiana",18,48099,2682
"424","2020-07-03","Texas",48,190049,2609
"425","2020-07-04","California",6,265176,6329
"426","2020-07-04","Indiana",18,48628,2687
"427","2020-07-04","Texas",48,195707,2646
"428","2020-07-05","California",6,271587,6369
"429","2020-07-05","Indiana",18,49203,2693
"430","2020-07-05","Texas",48,200137,2666
"431","2020-07-06","California",6,277869,6452
"432","2020-07-06","Indiana",18,49560,2698
"433","2020-07-06","Texas",48,209350,2726
"434","2020-07-07","California",6,287766,6563
"435","2020-07-07","Indiana",18,49859,2717
"436","2020-07-07","Texas",48,219164,2816
"437","2020-07-08","California",6,296304,6708
"438","2020-07-08","Indiana",18,50309,2732
"439","2020-07-08","Texas",48,229116,2935
"440","2020-07-09","California",6,303516,6825
"441","2020-07-09","Indiana",18,50829,2739
"442","2020-07-09","Texas",48,240025,3037
"443","2020-07-10","California",6,311505,6936
"444","2020-07-10","Indiana",18,51567,2748
"445","2020-07-10","Texas",48,249948,3129
"446","2020-07-11","California",6,320030,7012
"447","2020-07-11","Indiana",18,52358,2756
"448","2020-07-11","Texas",48,258280,3206
"449","2020-07-12","California",6,327676,7042
"450","2020-07-12","Indiana",18,52892,2760
"451","2020-07-12","Texas",48,264811,3246
"452","2020-07-13","California",6,336206,7086
"453","2020-07-13","Indiana",18,53327,2762
"454","2020-07-13","Texas",48,273732,3313
"455","2020-07-14","California",6,346593,7227
"456","2020-07-14","Indiana",18,54001,2775
"457","2020-07-14","Texas",48,284638,3449
"458","2020-07-15","California",6,355497,7368
"459","2020-07-15","Indiana",18,54698,2785
"460","2020-07-15","Texas",48,296478,3590
"461","2020-07-16","California",6,364761,7490
"462","2020-07-16","Indiana",18,55413,2795
"463","2020-07-16","Texas",48,311516,3744
"464","2020-07-17","California",6,374922,7607
"465","2020-07-17","Indiana",18,56160,2803
"466","2020-07-17","Texas",48,321254,3889
"467","2020-07-18","California",6,383194,7697
"468","2020-07-18","Indiana",18,57045,2820
"469","2020-07-18","Texas",48,330059,3972
"470","2020-07-19","California",6,391460,7710
"471","2020-07-19","Indiana",18,57965,2822
"472","2020-07-19","Texas",48,338036,4033
"473","2020-07-20","California",6,400195,7764
"474","2020-07-20","Indiana",18,58607,2825
"475","2020-07-20","Texas",48,345672,4160
"476","2020-07-21","California",6,410366,7883
"477","2020-07-21","Indiana",18,59344,2846
"478","2020-07-21","Texas",48,355594,4319
"479","2020-07-22","California",6,422528,8038
"480","2020-07-22","Indiana",18,60126,2863
"481","2020-07-22","Texas",48,366561,4522
"482","2020-07-23","California",6,433175,8190
"483","2020-07-23","Indiana",18,61079,2880
"484","2020-07-23","Texas",48,376104,4714
"485","2020-07-24","California",6,443096,8325
"486","2020-07-24","Indiana",18,62081,2884
"487","2020-07-24","Texas",48,383662,4876
"488","2020-07-25","California",6,453327,8428
"489","2020-07-25","Indiana",18,63030,2895
"490","2020-07-25","Texas",48,391609,5002
"491","2020-07-26","California",6,459338,8451
"492","2020-07-26","Indiana",18,63881,2903
"493","2020-07-26","Texas",48,395738,5090
"494","2020-07-27","California",6,467103,8544
"495","2020-07-27","Indiana",18,64417,2906
"496","2020-07-27","Texas",48,402295,6292
"497","2020-07-28","California",6,474951,8716
"498","2020-07-28","Indiana",18,65258,2924
"499","2020-07-28","Texas",48,412849,6518
"500","2020-07-29","California",6,486039,8884
"501","2020-07-29","Indiana",18,65918,2932
"502","2020-07-29","Texas",48,421891,6834
"503","2020-07-30","California",6,494269,9009
"504","2020-07-30","Indiana",18,66883,2946
"505","2020-07-30","Texas",48,432134,6987
"506","2020-07-31","California",6,502273,9222
"507","2020-07-31","Indiana",18,67800,2965
"508","2020-07-31","Texas",48,443090,7273
"509","2020-08-01","California",6,509507,9365
"510","2020-08-01","Indiana",18,68773,2971
"511","2020-08-01","Texas",48,448224,7477
"512","2020-08-02","California",6,515937,9399
"513","2020-08-02","Indiana",18,69531,2975
"514","2020-08-02","Texas",48,454759,7520
"515","2020-08-03","California",6,522235,9500
"516","2020-08-03","Indiana",18,70111,2980
"517","2020-08-03","Texas",48,463541,7697
"518","2020-08-04","California",6,527258,9696
"519","2020-08-04","Indiana",18,70944,2996
"520","2020-08-04","Texas",48,473105,7951
"521","2020-08-05","California",6,532776,9866
"522","2020-08-05","Indiana",18,71685,3007
"523","2020-08-05","Texas",48,482467,8152
"524","2020-08-06","California",6,541013,10014
"525","2020-08-06","Indiana",18,72741,3013
"526","2020-08-06","Texas",48,490102,8400
"527","2020-08-07","California",6,548142,10197
"528","2020-08-07","Indiana",18,73986,3023
"529","2020-08-07","Texas",48,498266,8680
"530","2020-08-08","California",6,556158,10299
"531","2020-08-08","Indiana",18,75025,3036
"532","2020-08-08","Texas",48,504605,8885
"533","2020-08-09","California",6,563244,10365
"534","2020-08-09","Indiana",18,76071,3041
"535","2020-08-09","Texas",48,510392,8984
"536","2020-08-10","California",6,574267,10460
"537","2020-08-10","Indiana",18,76734,3044
"538","2020-08-10","Texas",48,517182,9064
"539","2020-08-11","California",6,586078,10654
"540","2020-08-11","Indiana",18,77625,3069
"541","2020-08-11","Texas",48,524898,9311
"542","2020-08-12","California",6,595097,10808
"543","2020-08-12","Indiana",18,78337,3086
"544","2020-08-12","Texas",48,531825,9645
"545","2020-08-13","California",6,603212,10995
"546","2020-08-13","Indiana",18,79404,3105
"547","2020-08-13","Texas",48,538805,9879
"548","2020-08-14","California",6,613243,11146
"549","2020-08-14","Indiana",18,80507,3113
"550","2020-08-14","Texas",48,547670,10195
"551","2020-08-15","California",6,621981,11229
"552","2020-08-15","Indiana",18,81561,3128
"553","2020-08-15","Texas",48,555343,10379
"554","2020-08-16","California",6,628508,11245
"555","2020-08-16","Indiana",18,82304,3133
"556","2020-08-16","Texas",48,563464,10498
"557","2020-08-17","California",6,634991,11334
"558","2020-08-17","Indiana",18,82909,3135
"559","2020-08-17","Texas",48,569058,10559
"560","2020-08-18","California",6,640499,11523
"561","2020-08-18","Indiana",18,83799,3165
"562","2020-08-18","Texas",48,577220,10798
"563","2020-08-19","California",6,646742,11686
"564","2020-08-19","Indiana",18,84308,3180
"565","2020-08-19","Texas",48,582623,11043
"566","2020-08-20","California",6,653401,11801
"567","2020-08-20","Indiana",18,85257,3191
"568","2020-08-20","Texas",48,587900,11248
"569","2020-08-21","California",6,659991,11984
"570","2020-08-21","Indiana",18,86312,3208
"571","2020-08-21","Texas",48,593405,11483
"572","2020-08-22","California",6,665325,12137
"573","2020-08-22","Indiana",18,87325,3218
"574","2020-08-22","Texas",48,599156,11650
"575","2020-08-23","California",6,669944,12152
"576","2020-08-23","Indiana",18,87942,3220
"577","2020-08-23","Texas",48,602144,11760
"578","2020-08-24","California",6,676236,12250
"579","2020-08-24","Indiana",18,89602,3225
"580","2020-08-24","Texas",48,607621,11824
"581","2020-08-25","California",6,682320,12409
"582","2020-08-25","Indiana",18,90460,3241
"583","2020-08-25","Texas",48,613326,12012
