"","subj","trial","condition","word","color","RT"
"1",1,0,"Congruent","red","red",1484
"2",1,1,"Incongruent","green","blue",1316
"3",1,2,"Incongruent","blue","green",628
"4",1,3,"Congruent","green","green",511
"5",1,4,"Congruent","blue","blue",509
"6",1,5,"Incongruent","red","blue",903
"7",1,6,"Incongruent","blue","red",759
"8",1,7,"Incongruent","red","green",1133
"9",1,8,"Incongruent","green","red",678
"10",1,9,"Incongruent","red","green",785
"11",1,10,"Incongruent","blue","green",899
"12",1,11,"Congruent","red","red",603
"13",1,12,"Incongruent","green","red",961
"14",1,13,"Congruent","green","green",1098
"15",1,14,"Incongruent","blue","red",666
"16",1,15,"Incongruent","blue","green",885
"17",1,16,"Incongruent","green","blue",487
"18",1,17,"Incongruent","red","blue",525
"19",1,18,"Congruent","green","green",660
"20",1,19,"Incongruent","red","green",833
"21",1,20,"Congruent","blue","blue",609
"22",1,21,"Congruent","blue","blue",532
"23",1,22,"Incongruent","green","red",672
"24",1,23,"Incongruent","red","blue",806
"25",1,24,"Incongruent","green","blue",770
"26",1,25,"Congruent","green","green",634
"27",1,26,"Incongruent","blue","red",906
"28",1,27,"Congruent","blue","blue",577
"29",1,28,"Incongruent","green","blue",660
"30",1,29,"Congruent","red","red",573
"31",1,30,"Incongruent","blue","red",992
"32",1,31,"Incongruent","red","blue",555
"33",1,32,"Incongruent","green","red",727
"34",1,33,"Congruent","blue","blue",583
"35",1,34,"Incongruent","blue","green",1177
"36",1,35,"Incongruent","green","blue",903
"37",1,36,"Incongruent","red","green",773
"38",1,37,"Congruent","red","red",413
"39",1,38,"Incongruent","blue","green",863
"40",1,39,"Incongruent","red","blue",738
"41",1,40,"Incongruent","green","red",567
"42",1,41,"Incongruent","red","green",922
"43",1,42,"Incongruent","blue","red",660
"44",1,43,"Congruent","green","green",592
"45",1,44,"Incongruent","blue","green",593
"46",1,45,"Congruent","red","red",743
"47",1,46,"Incongruent","red","blue",420
"48",1,47,"Congruent","green","green",547
"49",1,48,"Incongruent","green","blue",483
"50",1,49,"Incongruent","red","green",787
"51",1,50,"Incongruent","blue","red",881
"52",1,51,"Congruent","blue","blue",650
"53",1,52,"Incongruent","red","blue",1092
"54",1,53,"Incongruent","green","blue",620
"55",1,54,"Congruent","green","green",995
"56",1,55,"Incongruent","green","red",583
"57",1,56,"Congruent","red","red",609
"58",1,57,"Congruent","blue","blue",414
"59",1,58,"Incongruent","blue","red",965
"60",1,59,"Incongruent","blue","green",722
"61",1,60,"Incongruent","red","green",762
"62",1,61,"Congruent","red","red",645
"63",1,62,"Incongruent","green","red",873
"64",11,0,"Congruent","red","red",1147
"65",11,1,"Incongruent","red","green",535
"66",11,2,"Incongruent","blue","red",571
"67",11,3,"Congruent","blue","blue",514
"68",11,4,"Congruent","green","green",451
"69",11,5,"Incongruent","green","red",1018
"70",11,6,"Incongruent","green","blue",433
"71",11,7,"Incongruent","red","blue",444
"72",11,8,"Incongruent","blue","green",517
"73",11,9,"Incongruent","green","blue",482
"74",11,10,"Congruent","blue","blue",484
"75",11,11,"Incongruent","red","blue",524
"76",11,12,"Congruent","green","green",553
"77",11,13,"Incongruent","green","blue",498
"78",11,14,"Incongruent","blue","green",651
"79",11,15,"Incongruent","red","green",529
"80",11,16,"Congruent","green","green",387
"82",11,18,"Incongruent","red","blue",576
"83",11,19,"Incongruent","red","green",701
"84",11,20,"Incongruent","blue","red",588
"85",11,21,"Incongruent","blue","green",635
"86",11,22,"Incongruent","red","green",541
"87",11,23,"Congruent","red","red",616
"88",11,24,"Incongruent","blue","red",439
"89",11,25,"Congruent","red","red",375
"90",11,26,"Incongruent","green","red",377
"91",11,27,"Congruent","green","green",374
"92",11,28,"Incongruent","blue","green",482
"93",11,29,"Incongruent","red","green",362
"94",11,30,"Congruent","green","green",345
"95",11,31,"Incongruent","blue","green",349
"96",11,32,"Incongruent","red","green",365
"97",11,33,"Incongruent","green","red",642
"98",11,34,"Congruent","green","green",663
"99",11,35,"Congruent","blue","blue",548
"100",11,36,"Congruent","red","red",503
"101",11,37,"Incongruent","blue","red",473
"102",11,38,"Incongruent","blue","green",487
"103",11,39,"Congruent","blue","blue",674
"104",11,40,"Incongruent","blue","red",656
"105",11,41,"Incongruent","red","green",502
"106",11,42,"Incongruent","green","blue",641
"107",11,43,"Incongruent","green","red",634
"108",11,44,"Incongruent","red","blue",624
"109",11,45,"Congruent","blue","blue",539
"110",11,46,"Incongruent","green","blue",726
"111",11,47,"Congruent","red","red",563
"112",11,48,"Incongruent","red","blue",575
"113",11,49,"Congruent","red","red",616
"114",11,50,"Incongruent","blue","red",448
"115",11,51,"Incongruent","green","red",365
"116",11,52,"Incongruent","green","blue",469
"117",11,53,"Congruent","blue","blue",397
"118",11,54,"Incongruent","red","blue",444
"119",11,55,"Congruent","blue","blue",451
"120",11,56,"Incongruent","red","blue",427
"121",11,57,"Incongruent","blue","green",515
"122",11,58,"Incongruent","green","red",651
"125",11,61,"Congruent","green","green",749
"126",11,62,"Incongruent","green","blue",727
"127",15,0,"Congruent","red","red",1663
"128",15,1,"Congruent","green","green",702
"129",15,2,"Incongruent","blue","red",591
"130",15,3,"Incongruent","green","blue",643
"131",15,4,"Congruent","blue","blue",650
"132",15,5,"Incongruent","red","blue",399
"133",15,6,"Incongruent","red","green",626
"134",15,7,"Incongruent","blue","green",482
"135",15,8,"Incongruent","red","green",811
"136",15,9,"Incongruent","green","red",575
"137",15,10,"Congruent","blue","blue",418
"138",15,11,"Congruent","green","green",458
"139",15,12,"Incongruent","green","blue",483
"140",15,13,"Incongruent","red","blue",455
"141",15,14,"Incongruent","blue","red",559
"142",15,15,"Incongruent","red","blue",587
"143",15,16,"Incongruent","green","blue",466
"144",15,17,"Incongruent","blue","green",447
"145",15,18,"Congruent","blue","blue",434
"146",15,19,"Congruent","blue","blue",376
"147",15,20,"Incongruent","red","green",655
"148",15,21,"Incongruent","blue","green",417
"149",15,22,"Incongruent","green","red",712
"150",15,23,"Congruent","green","green",698
"151",15,24,"Congruent","green","green",489
"152",15,25,"Incongruent","red","blue",625
"153",15,26,"Incongruent","red","green",926
"154",15,27,"Incongruent","green","blue",571
"155",15,28,"Incongruent","blue","green",849
"156",15,29,"Congruent","red","red",508
"157",15,30,"Congruent","red","red",613
"158",15,31,"Congruent","blue","blue",588
"159",15,32,"Incongruent","green","blue",614
"161",15,34,"Incongruent","red","blue",1099
"162",15,35,"Incongruent","green","blue",456
"163",15,36,"Incongruent","blue","red",597
"164",15,37,"Incongruent","red","blue",598
"165",15,38,"Congruent","blue","blue",572
"166",15,39,"Incongruent","green","red",631
"167",15,40,"Congruent","green","green",676
"168",15,41,"Incongruent","green","blue",768
"169",15,42,"Incongruent","blue","red",541
"170",15,43,"Incongruent","red","green",538
"171",15,44,"Incongruent","blue","green",510
"172",15,45,"Congruent","red","red",501
"173",15,46,"Incongruent","green","red",598
"174",15,47,"Congruent","red","red",388
"175",15,48,"Congruent","green","green",505
"176",15,49,"Incongruent","blue","green",484
"177",15,50,"Incongruent","red","green",611
"178",15,51,"Incongruent","blue","green",513
"179",15,52,"Congruent","blue","blue",562
"180",15,53,"Incongruent","blue","red",516
"181",15,54,"Congruent","red","red",637
"182",15,55,"Incongruent","blue","red",516
"183",15,56,"Incongruent","green","red",434
"184",15,57,"Incongruent","red","green",465
"185",15,58,"Incongruent","green","red",538
"186",15,59,"Congruent","red","red",554
"187",15,60,"Incongruent","blue","red",329
"188",15,61,"Incongruent","red","blue",355
"189",15,62,"Congruent","green","green",419
"190",18,0,"Incongruent","red","green",2021
"191",18,1,"Congruent","red","red",834
"193",18,3,"Congruent","blue","blue",755
"194",18,4,"Congruent","green","green",778
"196",18,6,"Incongruent","green","red",1048
"197",18,7,"Incongruent","red","green",1039
"198",18,8,"Incongruent","green","blue",777
"199",18,9,"Incongruent","green","blue",560
"200",18,10,"Congruent","blue","blue",595
"201",18,11,"Incongruent","blue","green",1503
"202",18,12,"Incongruent","blue","red",961
"203",18,13,"Incongruent","blue","red",551
"204",18,14,"Incongruent","red","blue",750
"205",18,15,"Incongruent","red","blue",481
"206",18,16,"Congruent","green","green",650
"207",18,17,"Incongruent","green","red",799
"208",18,18,"Incongruent","red","green",1023
"209",18,19,"Congruent","green","green",623
"210",18,20,"Incongruent","green","blue",914
"211",18,21,"Incongruent","blue","green",739
"213",18,23,"Incongruent","red","green",707
"214",18,24,"Congruent","red","red",457
"215",18,25,"Congruent","green","green",664
"216",18,26,"Incongruent","blue","red",585
"217",18,27,"Congruent","blue","blue",564
"218",18,28,"Incongruent","green","red",1341
"219",18,29,"Congruent","red","red",733
"220",18,30,"Congruent","green","green",518
"223",18,33,"Incongruent","blue","green",959
"224",18,34,"Incongruent","green","blue",574
"225",18,35,"Incongruent","red","blue",496
"226",18,36,"Incongruent","blue","green",737
"227",18,37,"Congruent","blue","blue",507
"228",18,38,"Incongruent","green","blue",613
"229",18,39,"Congruent","red","red",536
"230",18,40,"Congruent","blue","blue",551
"231",18,41,"Incongruent","green","red",1060
"234",18,44,"Congruent","green","green",641
"235",18,45,"Incongruent","red","blue",598
"236",18,46,"Congruent","red","red",525
"237",18,47,"Incongruent","blue","red",1566
"238",18,48,"Incongruent","red","green",569
"239",18,49,"Incongruent","blue","green",538
"240",18,50,"Congruent","blue","blue",501
"241",18,51,"Incongruent","green","red",525
"243",18,53,"Congruent","green","green",1950
"244",18,54,"Incongruent","red","blue",680
"245",18,55,"Incongruent","green","blue",741
"246",18,56,"Congruent","blue","blue",372
"247",18,57,"Incongruent","green","blue",378
"248",18,58,"Incongruent","blue","red",624
"249",18,59,"Incongruent","red","blue",437
"250",18,60,"Congruent","red","red",627
"251",18,61,"Incongruent","red","green",824
"252",18,62,"Incongruent","green","red",1146
"253",19,0,"Congruent","red","red",1494
"254",19,1,"Incongruent","blue","green",626
"255",19,2,"Incongruent","green","blue",373
"256",19,3,"Congruent","green","green",484
"257",19,4,"Incongruent","red","green",453
"258",19,5,"Congruent","blue","blue",535
"259",19,6,"Incongruent","blue","green",543
"260",19,7,"Incongruent","red","green",414
"261",19,8,"Incongruent","red","blue",420
"263",19,10,"Incongruent","blue","red",1070
"264",19,11,"Congruent","green","green",526
"265",19,12,"Incongruent","green","red",659
"266",19,13,"Incongruent","blue","green",733
"267",19,14,"Incongruent","red","green",582
"268",19,15,"Incongruent","blue","red",632
"269",19,16,"Congruent","red","red",654
"270",19,17,"Congruent","green","green",556
"272",19,19,"Incongruent","blue","green",1799
"273",19,20,"Incongruent","green","blue",607
"274",19,21,"Congruent","green","green",599
"275",19,22,"Incongruent","red","blue",665
"276",19,23,"Incongruent","red","green",516
"277",19,24,"Incongruent","green","red",398
"278",19,25,"Congruent","red","red",462
"279",19,26,"Congruent","green","green",561
"280",19,27,"Incongruent","blue","red",848
"281",19,28,"Incongruent","red","blue",347
"282",19,29,"Incongruent","blue","green",425
"283",19,30,"Incongruent","green","red",592
"284",19,31,"Incongruent","red","green",434
"285",19,32,"Congruent","red","red",660
"286",19,33,"Incongruent","blue","red",490
"287",19,34,"Incongruent","green","red",426
"288",19,35,"Incongruent","green","blue",592
"289",19,36,"Congruent","red","red",549
"290",19,37,"Congruent","green","green",408
"291",19,38,"Incongruent","blue","red",759
"292",19,39,"Incongruent","green","red",478
"293",19,40,"Incongruent","blue","red",372
"294",19,41,"Congruent","blue","blue",485
"295",19,42,"Incongruent","red","blue",535
"296",19,43,"Incongruent","blue","green",479
"297",19,44,"Congruent","red","red",495
"298",19,45,"Incongruent","red","green",784
"299",19,46,"Congruent","blue","blue",425
"300",19,47,"Incongruent","blue","red",473
"301",19,48,"Incongruent","green","blue",833
"302",19,49,"Incongruent","red","blue",448
"303",19,50,"Congruent","blue","blue",387
"304",19,51,"Congruent","red","red",522
"305",19,52,"Incongruent","blue","green",744
"306",19,53,"Incongruent","green","blue",479
"307",19,54,"Congruent","blue","blue",488
"308",19,55,"Incongruent","green","blue",415
"309",19,56,"Incongruent","red","blue",454
"310",19,57,"Incongruent","green","blue",336
"311",19,58,"Congruent","blue","blue",377
"312",19,59,"Incongruent","green","red",527
"313",19,60,"Congruent","green","green",359
"314",19,61,"Incongruent","red","blue",828
"315",19,62,"Incongruent","red","green",551
"316",24,0,"Congruent","blue","blue",1523
"317",24,1,"Congruent","red","red",599
"318",24,2,"Incongruent","green","red",566
"319",24,3,"Incongruent","red","blue",683
"320",24,4,"Incongruent","blue","red",648
"321",24,5,"Incongruent","blue","red",519
"322",24,6,"Incongruent","green","blue",463
"323",24,7,"Congruent","green","green",559
"324",24,8,"Incongruent","green","red",729
"325",24,9,"Incongruent","blue","green",921
"326",24,10,"Incongruent","red","green",619
"327",24,11,"Incongruent","green","blue",481
"329",24,13,"Incongruent","red","blue",813
"330",24,14,"Incongruent","blue","green",708
"331",24,15,"Congruent","blue","blue",719
"332",24,16,"Incongruent","green","blue",724
"333",24,17,"Congruent","red","red",661
