Country Ch.Mort.Rank Child.Mortality Literacy.Fem Literacy.Ad Drinking.Water Polio.Vacc Tetanus.Vacc.Preg Urban.Pop Foreign.Aid
Afgh 4 257 32       32 12 31 37 20 5
Egypt 58 78 61     51 87 77 55 45 4 
Alger 92 39 66      62 78 75 34 57 1
Angol 2 292 52      42 32 42 28 32 10
EqGuin 18 173 76   79 95 64 63 44 22
Arg 117 25 100      96 71 90 63 88 0
Arm 108 30 99      100 NA 97 NA 69 8
Aserb 85 44 99     100 NA 97 NA 56 3
Eth 16 177 54      36 25 67 36 16 15
Baham 123 23 99     98 NA 85 75 87 0
Bahr 127 22 89      85 96 98 54 91 1
Banglad 44 112 53   38 97 66 72 19 4
Barb 152 12 99      97 100 85 100 48 0
Beliz 85 44 100     80 89 85 88 47 4
Benin 31 140 53     37 50 80 75 39 14
Bhut 36 127 50      42 58 86 70 6 25
Boliv 51 102 84     83 63 76 52 62 12
Botsu 80 50 74      70 93 81 61 63 2
Braz 79 52 100      83 76 73 45 79 0
Brun 154 11 89      88 NA 100 50 70 0
Bulg 136 19 99      98 NA 94 NA 69 0
BurFas 23 158 30    19 42 48 27 16 20
Burun 17 176 47     35 52 63 33 8 29
Chile 149 13 100    95 95 92 64 84 0
China 82 47 81      82 67 96 13 31 0
CosRic 146 15 100   95 96 75 64 50 0
DomRep 74 56 100    82 65 48 96 63 1
Djib 24 157 55    46 90 49 39 NA NA
Ecuad 88 40 96      90 68 89 25 60 1
Ivory 25 150 60    40 42 55 22 44 13
ElSalv 88 40 95     72 69 100 69 45 3
Esto 145 16 100     98 100 93 NA 73 NA
Fidji 121 24 95    92 100 99 100 41 2
Gabun 28 145 72     63 68 41 4 51 4
Gambia 49 107 47    39 48 97 92 30 13
Georg 113 29 99     99 NA 82 NA 59 9
Ghana 47 110 71     65 65 52 9 36 10
Greece 161 9 97     97 NA 95 NA 59 NA
Guat 74 56 78       56 77 73 81 39 1
Guinea 11 210 44    36 46 48 43 30 11
Guinea-B 6 223 63   55 59 58 43 22 45
Guay 56 83 99       98 61 83 56 36 18
Haiti 34 134 88     45 37 34 49 4 41
Hondur 97 35 100    73 87 94 99 44 12
India 46 111 58    52 81 90 78 27 1
Indon 67 71 87      84 62 90 75 36 1
Iraq 39 122 63      58 78 95 65 75 2
Iran 96 37 76       69 90 97 50 60 0
Isr 161 9 96        95 NA 93 NA 90 0
Ital 164 7 99       98 NA 98 NA 67 0
Jam 154 11 110      85 86 92 82 54 3 
Yem 50 105 49       33 61 59 55 34 4
Jord 117 25 85      87 98 99 41 72 8
Serb 127 22 98     98 99 94 65 57 0
Kamb 19 170 66      65 36 76 36 21 21
Camer 51 102 69     63 50 46 12 46 5
CapeV 65 73 79     72 51 73 4 56 30
Kas 84 45 99       100 84 98 60 60 0
Qatar 132 21 101    79 NA 92 NA 92 0
Kenia 55 90 81      78 53 43 21 30 9
Kirg 80 50 96       97 71 81 52 39 9
Columb 104 31 100   91 85 93 57 73 0
Kom 39 122 78       57 53 57 34 31 18
Congo 48 108 81      75 34 47 55 59 7
CongoDR 12 207 78   77 42 36 20 29 4
CoreaR 164 7 98     98 93 58 95 29 0
Croat 154 11 99     98 99 91 91 56 0
Cuba 159 10 99      96 93 93 61 76 0
Kuw 147 14 91       79 99 100 21 100 0
Laos 35 128 64      57 44 33 45 21 18
Les 32 139 77       71 62 58 10 25 8
Latv 133 20 100   100 100 77 64 73 0
Liban 88 40 95      92 94 94 66 87 2
Liber 5 235 41      38 46 45 35 48 11
Liby 70 61 72       76 97 96 45 86 0
Lith 139 18 99       99 NA 93 NA 72 NA
Mad 21 164 53       46 34 73 33 27 9
Malaw 8 217 58      56 37 82 56 14 26
Malay 149 13 88     84 78 90 79 54 0
Maled 61 76 100     93 96 95 93 27 22
Mali 7 220 59       31 66 30 32 28 22
Malta 154 11 101    91 NA 92 NA 89 0
Moroc 64 74 54      44 65 95 100 53 2
Mauret 15 183 52    38 74 50 28 53 21
Maurit 123 23 91    83 98 90 79 41 1
Mex 102 32 95       90 83 84 69 74 0
Mold 102 32 101     99 55 99 94 57 1
Mong 67 71 87       83 40 90 55 61 27
Mosam 9 214 40      40 63 60 61 35 81
Burma 25 150 88      83 60 87 79 26 2
Namib 60 77 95      76 57 71 75 37 6
Nepal 42 116 34     28 63 48 11 11 10
Nic 73 57 103       66 61 86 96 63 40
Niger 1 320 33      14 48 33 31 19 14
Nigeria 14 191 70   57 50 32 36 41 1
Oman 139 18 65      59 82 100 98 78 1
Pak 33 136 48       38 74 77 54 35 1
Pan 133 20 99       91 93 93 24 56 1
PapNG 44 112 78     72 28 57 50 16 7
Par 100 34 97       92 60 81 69 53 2
Peru 72 58 87       89 67 66 51 71 1
Phil 93 38 99       95 84 67 47 55 1
Pol 147 14 99       99 NA 95 NA 64 NA
Port 164 7 95       90 NA 95 NA 36 NA
Ruand 19 170 74     61 79 98 43 6 63
Rum 117 25 98       99 NA 97 NA 56 NA
Russ 117 25 99      99 NA 97 NA 76 NA
Samb 13 202 83      78 27 81 48 43 56
SaoTP 57 80 58      57 82 61 49 44 174
