"Year","fixed_acidity","volatile_acidity","citric_acid","residual_sugar","chlorides","free_sulfur_dioxide","total_sulfur_dioxide","density","pH","sulphates","alcohol","quality","colour","ROLE","alpha"
"2001","7","0.27","0.36","20.7","0.045","45","170","1.001","3","0.45","8.8","6","WHITE","TRAIN","0.58329706545919"
"2005","6.3","0.3","0.34","1.6","0.049","14","132","0.994","3.3","0.49","9.5","6","WHITE","TRAIN","0.99362537264823"
"2001","8.1","0.28","0.4","6.9","0.05","30","97","0.9951","3.26","0.44","10.1","6","WHITE","TRAIN","0.58788767317309"
"2004","7.2","0.23","0.32","8.5","0.058","47","186","0.9956","3.19","0.4","9.9","6","WHITE","TRAIN","0.85746885393746"
"2003","7.2","0.23","0.32","8.5","0.058","47","186","0.9956","3.19","0.4","9.9","6","WHITE","TRAIN","0.82468885439448"
"2002","8.1","0.28","0.4","6.9","0.05","30","97","0.9951","3.26","0.44","10.1","6","WHITE","TEST","0.28056678408756"
"2001","6.2","0.32","0.16","7","0.045","30","136","0.9949","3.18","0.47","9.6","6","WHITE","TRAIN","0.64739687787368"
"2001","7","0.27","0.36","20.7","0.045","45","170","1.001","3","0.45","8.8","6","WHITE","VALIDATE","0.38191921985708"
"2001","6.3","0.3","0.34","1.6","0.049","14","132","0.994","3.3","0.49","9.5","6","WHITE","VALIDATE","0.44895715708844"
"2004","8.1","0.22","0.43","1.5","0.044","28","129","0.9938","3.22","0.45","11","6","WHITE","TRAIN","0.87578467349521"
"2000","8.1","0.27","0.41","1.45","0.033","11","63","0.9908","2.99","0.56","12","5","WHITE","TRAIN","0.51838357606902"
"2003","8.6","0.23","0.4","4.2","0.035","17","109","0.9947","3.14","0.53","9.7","5","WHITE","TRAIN","0.84267279063351"
"2002","7.9","0.18","0.37","1.2","0.04","16","75","0.992","3.18","0.63","10.8","5","WHITE","TEST","0.27838226500898"
"2004","6.6","0.16","0.4","1.5","0.044","48","143","0.9912","3.54","0.52","12.4","7","WHITE","TRAIN","0.93354463228024"
"2003","8.3","0.42","0.62","19.25","0.04","41","172","1.0002","2.98","0.67","9.7","5","WHITE","TEST","0.18739204131998"
"2001","6.6","0.17","0.38","1.5","0.032","28","112","0.9914","3.25","0.55","11.4","7","WHITE","VALIDATE","0.36875834478996"
"2004","6.3","0.48","0.04","1.1","0.046","30","99","0.9928","3.24","0.36","9.6","6","WHITE","TEST","0.10106994607485"
"2002","6.2","0.66","0.48","1.2","0.029","29","75","0.9892","3.33","0.39","12.8","8","WHITE","TRAIN","0.74119253852404"
"2003","7.4","0.34","0.42","1.1","0.033","17","171","0.9917","3.12","0.53","11.3","6","WHITE","TEST","0.1506826847326"
"2003","6.5","0.31","0.14","7.5","0.044","34","133","0.9955","3.22","0.5","9.5","5","WHITE","TRAIN","0.84062087233178"
"2003","6.2","0.66","0.48","1.2","0.029","29","75","0.9892","3.33","0.39","12.8","8","WHITE","TRAIN","0.7504290647339"
"2005","6.4","0.31","0.38","2.9","0.038","19","102","0.9912","3.17","0.35","11","7","WHITE","TRAIN","0.9937211794313"
"2004","6.8","0.26","0.42","1.7","0.049","41","122","0.993","3.47","0.48","10.5","8","WHITE","TEST","0.09353581746108"
"2002","7.6","0.67","0.14","1.5","0.074","25","168","0.9937","3.05","0.51","9.3","5","WHITE","TRAIN","0.73840778623707"
"2001","6.6","0.27","0.41","1.3","0.052","16","142","0.9951","3.42","0.47","10","6","WHITE","TRAIN","0.62229844531975"
"2002","7","0.25","0.32","9","0.046","56","245","0.9955","3.25","0.5","10.4","6","WHITE","TRAIN","0.70002279710024"
"2001","6.9","0.24","0.35","1","0.052","35","146","0.993","3.45","0.44","10","6","WHITE","TRAIN","0.58677453151904"
"2001","7","0.28","0.39","8.7","0.051","32","141","0.9961","3.38","0.53","10.5","6","WHITE","VALIDATE","0.4122355680447"
"2004","7.4","0.27","0.48","1.1","0.047","17","132","0.9914","3.19","0.49","11.6","6","WHITE","TRAIN","0.94242974231019"
"2005","7.2","0.32","0.36","2","0.033","37","114","0.9906","3.1","0.71","12.3","7","WHITE","TEST","0.01410396164283"
"2003","8.5","0.24","0.39","10.4","0.044","20","142","0.9974","3.2","0.53","10","6","WHITE","TEST","0.1979883883614"
"2002","8.3","0.14","0.34","1.1","0.042","7","47","0.9934","3.47","0.4","10.2","6","WHITE","TRAIN","0.74963069264777"
"2003","7.4","0.25","0.36","2.05","0.05","31","100","0.992","3.19","0.44","10.8","6","WHITE","TRAIN","0.78104461333714"
"2001","6.2","0.12","0.34","1.5","0.045","43","117","0.9939","3.42","0.51","9","6","WHITE","TRAIN","0.57073457585647"
"2000","5.8","0.27","0.2","14.95","0.044","22","179","0.9962","3.37","0.37","10.2","5","WHITE","VALIDATE","0.47714476124383"
"2005","7.3","0.28","0.43","1.7","0.08","21","123","0.9905","3.19","0.42","12.8","5","WHITE","TRAIN","0.97281495155766"
"2005","6.5","0.39","0.23","5.4","0.051","25","149","0.9934","3.24","0.35","10","5","WHITE","TRAIN","0.98626642837189"
"2003","7","0.33","0.32","1.2","0.053","38","138","0.9906","3.13","0.28","11.2","6","WHITE","TRAIN","0.84238469391129"
