No.,x1,x2,x3,x4,x5,x6,x7,x8,y1,y2
1,3,3,4,4,4,4,4,3,3,5
2,3,1,2,4,3,3,2,2,4,3
3,1,1,1,1,5,3,1,1,5,4
4,4,4,4,4,4,4,4,4,3,3
5,4,1,3,5,3,2,5,3,3,5
6,4,4,4,4,4,3,4,4,3,2
7,5,4,5,5,5,5,5,5,1,1
8,3,4,4,5,4,3,4,4,3,4
9,4,4,4,4,4,4,4,5,4,4
10,3,3,4,4,2,2,3,3,5,5
11,3,3,4,5,5,3,3,4,5,5
12,4,4,4,5,4,4,5,4,4,5
13,5,4,5,5,5,5,5,5,4,4
14,3,3,4,3,3,2,2,3,2,4
15,4,4,4,5,4,3,4,4,5,5
16,2,2,3,3,3,2,4,3,3,4
17,4,4,4,4,3,2,3,4,4,5
18,4,1,3,4,3,1,1,1,5,5
19,4,4,4,5,3,5,4,4,5,5
20,4,3,4,4,4,3,5,5,3,5
21,4,4,4,5,4,4,4,4,2,5
22,3,3,3,3,3,3,3,3,4,5
23,3,3,2,4,3,3,2,4,5,5
24,4,3,3,3,3,3,3,3,3,3
25,5,3,5,4,4,2,5,5,3,3
26,4,3,4,4,4,4,4,4,5,4
27,4,4,5,4,4,4,5,4,2,5
28,4,3,5,4,5,4,4,4,5,5
29,4,4,4,4,4,4,4,4,3,4
30,3,4,4,4,3,2,3,4,3,4
31,3,2,3,5,5,5,5,5,4,3
32,3,3,4,4,4,1,4,5,5,5
33,4,3,4,4,3,4,3,4,1,3
34,5,3,5,5,5,3,5,5,4,4
35,5,5,4,4,4,4,5,5,1,3
36,3,2,3,3,3,3,3,3,3,4
37,4,3,4,3,5,5,5,5,4,4
38,4,3,4,4,4,4,4,5,4,4
39,5,5,5,5,2,1,3,5,5,5
40,5,5,4,5,4,4,4,4,5,5
41,5,3,4,5,3,3,3,3,5,5
42,1,2,3,5,3,3,3,3,5,5
43,1,1,1,1,1,1,1,1,3,5
44,5,3,5,5,4,4,4,4,4,4
45,4,4,5,5,4,5,4,4,4,4
46,3,3,4,3,3,3,3,3,5,4
47,5,4,5,4,3,3,3,4,1,1
48,5,4,5,5,5,5,5,5,2,2
49,4,4,4,4,4,4,3,3,3,4
50,3,3,3,5,2,2,4,4,3,3
51,5,4,5,5,5,5,5,5,3,4
52,4,4,4,4,4,4,4,4,4,4
53,5,5,5,5,5,5,5,5,4,4
54,4,4,4,4,4,4,4,4,3,4
55,3,5,4,5,4,5,4,5,2,4
56,4,4,4,4,4,4,4,4,3,5
57,3,3,3,4,1,1,1,3,3,5
58,4,3,4,4,4,4,4,5,4,5
59,5,5,5,5,5,5,5,5,5,5
60,5,4,4,5,4,3,4,5,2,4
61,4,3,4,4,3,2,3,3,5,5
62,4,4,4,4,5,2,4,4,5,5
63,5,4,5,5,4,3,3,2,3,4
64,3,3,4,3,3,3,3,3,3,3
65,3,3,4,5,3,3,3,3,5,5
66,2,1,4,1,5,5,2,3,4,5
67,4,3,5,4,3,2,3,3,2,2
68,4,4,5,5,3,2,3,4,3,5
69,4,4,4,4,4,3,4,4,5,5
70,5,3,3,3,5,5,3,4,5,5
71,3,2,3,2,3,2,3,3,5,4
72,5,5,4,4,3,5,3,3,1,3
73,4,4,4,4,2,2,4,4,3,4
74,4,4,4,5,4,4,4,4,5,5
75,4,3,3,3,3,4,4,4,5,3
76,4,4,5,3,2,2,3,2,4,4
77,4,3,4,4,4,5,4,4,3,5
78,4,5,4,5,4,4,4,5,4,4
79,5,5,5,5,5,5,5,5,4,4
80,3,3,3,5,2,2,4,4,4,3
81,5,4,5,5,5,5,5,5,4,4
82,4,5,5,4,5,4,4,5,3,5
83,4,5,5,5,4,5,4,4,5,5
84,4,4,4,4,4,1,4,4,2,3
85,4,4,5,4,5,5,3,2,5,5
