選択商品,価格A,価格B,価格C,価格PB,チラシA,チラシB,チラシC,チラシD
A,238,228,238,178,0,1,0,0
A,158,228,178,158,0,0,0,0
A,178,238,238,178,1,0,0,0
B,228,158,228,178,0,1,0,0
A,178,218,228,178,0,0,0,0
A,198,218,228,178,1,0,0,0
A,198,198,238,178,1,0,0,0
A,178,218,238,178,0,0,0,0
PB,238,228,238,158,0,0,0,0
B,198,208,228,178,0,0,0,0
A,198,228,238,158,0,1,0,0
B,238,228,238,178,0,1,0,0
A,198,228,238,158,0,0,0,0
A,158,228,238,178,0,0,0,0
PB,178,228,238,158,0,0,0,0
B,238,238,238,178,0,0,0,0
PB,228,218,178,178,0,0,0,0
B,198,158,238,158,0,0,0,0
B,198,208,228,178,0,0,0,0
PB,228,228,238,158,0,0,0,0
B,238,228,178,158,0,1,0,0
A,178,238,238,158,0,0,0,0
PB,238,238,238,178,0,0,0,0
A,198,228,238,158,0,0,1,0
B,238,208,228,178,0,0,0,0
A,198,218,228,178,0,0,0,0
B,238,228,238,158,0,0,0,0
B,238,198,238,178,0,0,0,1
A,228,158,228,178,0,0,0,0
A,198,208,228,178,1,0,0,0
A,178,238,238,178,0,0,0,0
B,238,238,238,178,0,1,0,0
B,198,158,238,178,0,0,0,0
A,178,238,238,178,0,0,0,0
A,178,228,238,158,0,0,0,0
C,198,218,228,178,0,0,0,0
PB,178,218,238,178,0,0,0,0
B,238,238,238,178,0,0,0,0
A,198,228,238,158,0,0,0,0
A,238,228,238,178,0,0,0,0
A,238,228,178,158,1,0,0,0
PB,198,208,238,178,0,0,0,0
PB,238,228,238,158,0,0,0,0
A,178,228,238,178,0,0,0,0
B,238,208,228,178,0,0,0,0
A,228,228,238,158,0,0,0,0
B,228,158,238,158,0,0,0,0
A,198,218,228,178,0,0,0,0
A,178,228,238,158,1,0,1,0
PB,238,228,178,158,0,0,0,0
A,238,228,238,158,0,1,0,0
PB,238,228,238,158,0,0,0,0
A,178,228,238,158,1,0,0,0
PB,228,228,238,158,0,0,0,0
PB,238,238,238,178,0,0,0,0
A,228,228,238,158,1,0,0,0
B,238,208,238,178,0,0,0,0
B,198,218,238,178,0,0,0,0
PB,228,228,238,158,0,0,0,0
A,198,218,228,178,0,0,0,0
PB,238,238,238,158,0,0,0,0
B,198,238,238,178,0,0,0,0
A,228,228,238,158,0,0,0,0
A,198,238,238,178,0,0,0,0
A,178,238,238,158,0,0,0,0
B,238,228,238,158,0,0,0,0
PB,228,228,238,178,0,0,0,0
PB,198,238,238,178,0,0,1,0
A,178,228,238,178,0,0,0,0
A,178,228,238,158,0,0,0,0
B,238,218,238,178,0,0,0,0
A,198,228,238,178,0,0,0,0
B,228,158,228,158,0,0,0,0
A,198,218,228,178,0,0,0,1
