"ID","性別","部署","年代","協調性","自己主張","技能","知識","ストレス","総合","昨年総合"
1,"M","A部","中堅",70,45,65,71,53,251,248
2,"F","B部","熟練",45,62,51,72,64,227,211
3,"M","A部","中堅",54,70,55,70,61,249,242
4,"M","A部","熟練",51,63,53,65,60,232,240
5,"F","A部","若手",56,52,44,68,56,217,177
6,"M","A部","熟練",51,64,48,73,52,236,216
7,"F","B部","若手",64,65,58,72,45,256,262
8,"M","A部","若手",47,77,54,59,68,237,215
9,"M","A部","若手",62,76,74,82,55,294,314
10,"M","A部","中堅",50,77,53,74,66,254,234
11,"F","B部","熟練",62,60,52,64,45,235,218
12,"F","B部","中堅",66,84,79,79,58,305,300
13,"M","B部","熟練",43,60,47,57,57,207,202
14,"F","B部","若手",54,63,50,66,56,230,225
15,"F","A部","若手",54,77,35,66,51,229,237
16,"M","A部","若手",47,74,48,66,57,235,246
17,"M","B部","中堅",51,68,48,64,59,231,195
18,"M","A部","若手",34,57,36,42,57,169,188
19,"F","B部","熟練",34,36,25,42,52,134,161
20,"F","B部","中堅",67,74,82,74,55,294,279
21,"M","B部","若手",58,70,31,62,60,221,183
22,"M","B部","若手",40,28,36,53,49,157,124
23,"M","A部","中堅",55,70,47,52,55,224,186
24,"M","B部","若手",69,54,55,66,52,244,250
25,"M","A部","若手",76,54,62,74,41,266,279
26,"F","A部","若手",47,55,53,58,56,210,239
27,"M","B部","熟練",45,38,42,62,55,187,193
28,"M","A部","中堅",35,39,23,56,59,153,171
29,"F","B部","熟練",65,70,55,65,57,252,241
30,"F","B部","熟練",53,56,46,63,54,215,195
31,"M","B部","中堅",61,75,54,64,54,254,259
32,"M","A部","中堅",58,66,60,65,55,249,256
33,"F","A部","若手",59,46,58,67,54,227,186
34,"F","A部","若手",39,43,51,64,60,194,213
35,"F","A部","若手",45,63,40,71,51,216,204
36,"M","A部","若手",53,44,30,68,48,195,193
37,"M","B部","中堅",45,63,47,53,57,208,188
38,"M","B部","熟練",48,55,41,54,54,198,211
39,"M","A部","中堅",38,32,39,55,54,164,157
40,"F","A部","若手",64,53,44,73,51,231,203
41,"M","A部","若手",57,70,57,72,54,256,262
42,"M","B部","中堅",48,46,43,58,45,195,162
43,"F","A部","熟練",65,47,49,63,47,221,217
44,"F","B部","熟練",51,60,43,70,55,221,221
45,"F","B部","熟練",39,52,41,65,49,194,248
46,"F","A部","若手",63,52,45,66,52,223,233
47,"M","A部","熟練",46,53,39,69,51,207,182
48,"M","A部","中堅",61,68,52,70,55,251,259
49,"F","B部","熟練",44,48,54,56,59,199,197
50,"M","A部","熟練",64,66,60,66,47,256,260
51,"M","B部","中堅",50,53,46,65,55,214,182
52,"F","A部","若手",47,50,48,50,60,192,226
53,"M","A部","若手",62,76,60,70,55,268,279
54,"F","A部","若手",58,59,47,64,51,225,217
55,"F","A部","若手",58,41,54,67,52,217,176
56,"F","B部","熟練",62,57,50,61,49,227,235
