"ID","性別","部活","進路","意欲","プレ得点","国語","社会","数学","理科","英語","ポスト得点"
1,"F","無所属","文系",54,269,59,62,58,55,53,287
2,"F","文化系","文系",25,162,49,53,62,53,55,272
3,"M","文化系","文系",25,123,43,43,37,32,37,192
4,"F","無所属","文系",48,176,63,49,54,40,52,258
5,"M","体育系","文系",41,172,55,56,40,58,44,253
6,"M","体育系","理系",36,140,40,34,37,32,42,185
7,"F","文化系","理系",47,198,36,56,61,37,51,241
8,"M","無所属","文系",51,233,73,69,74,40,64,320
9,"M","無所属","文系",59,219,52,64,62,51,64,293
10,"F","文化系","文系",48,175,53,55,61,52,61,282
11,"M","体育系","理系",36,157,26,34,62,43,39,204
12,"F","体育系","理系",62,230,39,44,61,50,50,244
13,"M","文化系","文系",34,178,48,46,53,44,53,244
14,"M","文化系","文系",51,279,60,41,51,47,60,259
15,"M","文化系","文系",59,153,63,56,68,49,49,285
16,"F","体育系","文系",32,94,48,35,38,29,30,180
17,"F","文化系","文系",54,186,51,41,59,40,49,240
18,"F","文化系","理系",60,263,73,75,71,59,73,351
19,"F","無所属","理系",43,186,40,41,53,44,54,232
20,"F","文化系","理系",68,216,54,47,67,57,58,283
21,"F","文化系","文系",72,252,60,57,74,65,52,308
22,"F","体育系","文系",38,188,45,62,64,37,67,275
23,"M","体育系","文系",56,254,58,64,67,58,60,307
24,"F","体育系","文系",49,164,57,65,62,48,64,296
25,"F","体育系","文系",44,173,59,54,54,61,63,291
26,"M","体育系","理系",64,238,64,69,73,69,60,335
27,"M","体育系","文系",31,64,46,35,53,38,53,225
28,"M","無所属","理系",45,195,35,49,63,54,53,254
29,"F","文化系","理系",53,172,58,60,72,66,54,310
30,"F","体育系","理系",39,126,35,30,49,41,52,207
31,"F","体育系","理系",16,108,63,49,48,43,39,242
32,"M","文化系","理系",50,211,58,43,50,60,66,277
33,"M","無所属","文系",62,181,53,46,40,41,42,222
34,"F","文化系","文系",51,206,47,52,43,30,52,224
35,"F","体育系","文系",28,151,45,44,47,43,46,225
36,"M","体育系","文系",43,167,48,47,37,48,52,232
37,"M","体育系","文系",41,78,34,43,53,52,56,238
38,"M","体育系","文系",68,251,44,54,59,53,55,265
39,"F","文化系","文系",53,185,61,51,62,50,49,273
40,"M","体育系","文系",58,196,55,60,61,49,53,278
41,"M","文化系","理系",42,142,61,54,64,62,50,291
42,"F","体育系","文系",41,194,67,65,41,42,57,272
43,"M","体育系","文系",54,235,56,65,72,60,68,321
44,"M","文化系","理系",33,125,24,41,36,26,37,164
45,"F","文化系","理系",33,177,34,55,33,39,46,207
46,"F","文化系","理系",60,233,70,52,63,61,68,314
47,"F","文化系","理系",38,204,63,47,61,59,47,277
48,"M","体育系","文系",53,236,68,56,57,49,52,282
49,"M","体育系","文系",44,204,44,61,37,36,49,227
50,"M","文化系","理系",32,146,56,49,56,50,54,265
51,"M","体育系","理系",42,138,64,44,46,49,46,249
52,"M","体育系","理系",39,149,54,49,48,54,59,264
53,"F","文化系","理系",56,176,53,56,56,39,61,265
54,"F","体育系","文系",40,154,35,31,50,38,47,201
55,"F","体育系","文系",33,164,68,61,46,42,55,272
56,"F","体育系","理系",37,95,48,24,44,38,40,194
57,"F","体育系","理系",76,245,66,54,72,74,65,331
58,"F","文化系","文系",49,181,49,40,54,43,51,237
59,"M","体育系","文系",56,251,48,54,52,47,57,258
60,"M","体育系","文系",45,184,66,54,50,41,39,250
61,"F","体育系","理系",46,230,47,57,48,40,53,245
62,"F","体育系","文系",46,202,59,56,62,52,56,285
63,"F","体育系","文系",40,243,48,51,68,56,53,276
64,"M","体育系","文系",57,173,66,54,65,67,52,304
65,"M","文化系","理系",73,263,63,62,61,65,58,309
66,"M","無所属","文系",22,74,63,59,42,34,51,249
67,"M","体育系","理系",54,156,41,34,60,50,60,245
68,"F","体育系","文系",47,175,51,60,46,44,59,260
69,"M","体育系","理系",35,184,40,42,44,45,51,222
70,"M","体育系","文系",29,73,32,48,31,19,41,171
71,"M","文化系","理系",49,157,52,57,64,62,46,281
72,"F","体育系","理系",53,241,69,78,78,69,72,366
73,"F","体育系","理系",31,149,39,38,43,49,49,218
74,"F","体育系","文系",69,219,65,63,56,54,54,292
75,"F","体育系","理系",64,223,59,71,63,44,54,291
76,"F","文化系","文系",50,146,46,53,39,27,54,219
77,"F","体育系","文系",38,218,58,55,58,44,63,278
78,"F","体育系","文系",66,277,73,71,60,53,59,316
79,"F","文化系","文系",50,200,56,59,44,45,49,253
80,"M","体育系","文系",47,191,46,58,50,53,62,269
81,"F","文化系","理系",36,152,49,60,44,53,56,262
82,"M","文化系","理系",45,187,38,53,53,52,48,244
83,"M","文化系","理系",43,199,55,57,56,57,53,278
84,"F","体育系","文系",30,136,45,58,50,33,46,232
85,"M","文化系","文系",58,241,58,59,53,52,47,269
86,"F","体育系","理系",55,128,54,42,48,42,66,252
87,"M","体育系","理系",22,78,46,27,44,46,52,215
88,"F","文化系","理系",52,140,63,30,55,49,45,242
89,"M","体育系","理系",40,190,60,47,62,57,49,275
90,"F","体育系","理系",31,144,43,45,48,34,40,210
91,"F","無所属","文系",37,94,34,41,39,49,55,218
92,"M","無所属","文系",52,156,56,49,41,48,41,235
93,"F","体育系","理系",56,203,50,45,54,56,43,248
94,"M","体育系","文系",63,153,62,63,57,41,72,295
95,"M","体育系","文系",47,109,46,38,45,31,39,199
96,"M","無所属","文系",67,294,55,51,62,57,64,289
97,"F","体育系","文系",23,141,37,30,26,31,41,165
98,"M","文化系","文系",25,162,36,41,38,40,37,192
99,"F","体育系","文系",34,193,57,53,51,52,62,275
100,"M","体育系","文系",40,186,63,62,60,60,63,308
101,"F","体育系","理系",58,153,55,56,66,62,54,293
102,"M","体育系","理系",32,139,54,36,56,49,56,251
103,"M","体育系","理系",70,234,71,46,55,55,43,270
104,"M","体育系","文系",60,228,54,67,58,39,61,279
105,"F","無所属","文系",43,167,54,75,56,54,66,305
106,"F","体育系","文系",50,180,55,49,56,56,46,262
107,"F","文化系","文系",58,247,66,58,61,51,61,297
108,"M","無所属","文系",56,264,63,68,69,64,75,339
109,"M","無所属","文系",54,187,54,59,64,46,56,279
110,"F","文化系","理系",49,143,43,41,43,37,60,224
111,"M","体育系","文系",63,140,74,63,42,48,62,289
112,"M","体育系","理系",50,186,30,47,53,46,60,236
113,"M","体育系","理系",65,243,72,66,65,69,61,333
114,"F","文化系","理系",45,201,44,44,65,55,55,263
115,"F","文化系","理系",48,229,50,50,45,42,52,239
116,"M","無所属","文系",48,187,58,50,51,39,50,248
117,"M","体育系","文系",42,168,57,60,44,45,50,256
118,"M","無所属","理系",44,208,52,54,64,70,47,287
119,"M","体育系","文系",37,170,56,63,61,53,69,302
120,"F","体育系","文系",51,204,70,64,58,50,66,308
121,"F","体育系","文系",53,218,48,49,49,53,57,256
122,"M","無所属","理系",49,181,59,60,55,64,67,305
123,"F","体育系","理系",62,168,52,67,54,60,47,280
124,"F","体育系","文系",29,151,63,51,51,54,56,275
125,"F","文化系","理系",46,148,36,42,39,27,34,178
126,"M","文化系","文系",59,240,74,58,56,52,50,290
127,"F","無所属","理系",27,186,60,39,50,50,53,252
128,"M","文化系","理系",34,226,57,52,53,50,45,257
129,"F","体育系","理系",48,223,79,65,54,47,60,305
130,"F","文化系","文系",51,161,54,56,57,46,50,263
131,"M","文化系","文系",46,138,35,41,45,29,48,198
132,"F","体育系","文系",48,240,47,43,49,59,41,239
133,"M","体育系","文系",38,223,51,51,58,46,53,259
134,"F","文化系","理系",52,198,54,54,71,46,54,279
135,"F","文化系","理系",67,284,80,62,75,69,69,355
136,"M","体育系","理系",39,214,38,42,41,45,44,210
137,"F","体育系","文系",65,221,61,62,72,65,68,328
138,"M","文化系","理系",30,141,43,44,50,47,44,228
139,"M","体育系","文系",11,107,37,29,34,33,44,177
140,"M","体育系","文系",71,236,70,71,60,58,69,328
141,"M","体育系","文系",64,150,50,53,53,33,39,228
142,"M","体育系","文系",54,209,58,48,54,56,59,275
143,"M","体育系","文系",47,196,62,59,83,70,57,331
144,"M","体育系","理系",70,228,55,66,76,63,70,330
145,"F","体育系","理系",72,264,62,67,78,62,64,333
146,"M","体育系","文系",51,223,63,54,61,54,52,284
147,"M","無所属","理系",48,119,69,58,63,72,64,326
148,"M","文化系","文系",48,230,57,51,39,34,50,231
149,"F","文化系","文系",44,205,29,29,38,26,47,169
150,"M","体育系","理系",70,186,59,59,80,63,56,317
151,"M","体育系","文系",43,143,50,39,47,43,47,226
152,"F","体育系","理系",36,195,40,37,52,44,55,228
153,"F","体育系","理系",41,160,53,46,48,46,55,248
154,"M","体育系","文系",52,219,67,62,65,59,52,305
155,"M","体育系","理系",70,209,51,58,49,52,57,267
156,"F","文化系","理系",38,151,40,55,69,56,53,273
157,"F","文化系","文系",41,146,45,49,40,47,56,237
158,"M","体育系","理系",47,190,56,59,60,50,53,278
159,"M","体育系","理系",54,179,40,36,44,52,45,217
160,"M","体育系","文系",73,257,58,61,54,48,59,280
161,"F","無所属","文系",37,152,49,48,42,38,36,213
162,"F","体育系","文系",52,239,78,68,48,55,59,308
163,"F","体育系","理系",62,223,66,63,66,60,63,318
164,"F","体育系","文系",24,143,25,19,21,19,34,118
165,"M","体育系","理系",54,154,46,62,60,48,65,281
166,"F","体育系","文系",61,146,58,42,48,49,52,249
167,"F","文化系","理系",34,172,35,45,50,57,45,232
168,"M","体育系","理系",63,205,48,48,62,62,64,284
169,"F","文化系","理系",41,141,47,43,57,38,55,240
170,"M","体育系","理系",26,156,46,47,50,51,51,245
171,"M","体育系","理系",65,162,59,50,54,53,54,270
172,"F","体育系","理系",46,173,42,44,55,63,54,258
173,"F","体育系","文系",45,117,38,51,65,52,57,263
174,"F","体育系","文系",29,81,29,25,40,32,42,168
175,"M","無所属","文系",52,217,71,62,55,57,47,292
176,"M","体育系","文系",48,129,51,62,65,66,68,312
177,"M","無所属","文系",35,174,48,48,61,50,53,260
178,"M","文化系","文系",29,192,52,45,45,48,59,249
179,"M","無所属","理系",62,200,50,42,50,47,55,244
180,"F","無所属","文系",60,224,61,52,61,51,59,284
181,"F","体育系","文系",72,247,73,67,55,47,69,311
182,"M","体育系","理系",38,181,37,38,43,47,39,204
183,"F","文化系","理系",64,267,54,53,57,55,59,278
184,"F","文化系","文系",51,177,62,57,59,65,57,300
185,"F","文化系","文系",48,116,61,60,51,44,58,274
186,"F","文化系","理系",56,190,48,50,65,50,58,271
