"顧客ID","店舗","購買日","購買時間","商品カテゴリ","購買金額"
"ID00001","C",20130320,17.39,"C1",406
"ID00002","B",20130307,17.86,"C30",197
"ID00002","B",20130315,14.65,"C7",223
"ID00003","B",20130304,14.27,"C9",287
"ID00004","C",20130304,16.93,"C17",390
"ID00004","C",20130312,16.09,"C11",255
"ID00005","B",20130314,15.82,"C22",355
"ID00007","B",20130317,13.03,"C21",306
"ID00007","B",20130318,17.05,"C20",329
"ID00007","B",20130325,17.2,"C2",148
"ID00008","C",20130320,16.7,"C6",522
"ID00009","A",20130328,14.93,"C23",350
"ID00010","C",20130301,16.62,"C25",335
"ID00010","A",20130315,13.66,"C21",421
"ID00010","A",20130323,15.54,"C25",232
"ID00011","B",20130301,15,"C20",395
"ID00012","B",20130308,17.42,"C17",267
"ID00012","B",20130312,16.33,"C19",340
"ID00013","A",20130311,17.95,"C14",303
"ID00014","A",20130320,14.45,"C29",368
"ID00015","C",20130325,16.03,"C14",245
"ID00016","C",20130305,16.87,"C27",320
"ID00016","C",20130310,12.25,"C29",260
"ID00016","C",20130310,14.46,"C6",318
"ID00017","B",20130312,14.56,"C8",289
"ID00018","B",20130309,16.86,"C27",238
"ID00018","C",20130310,15.57,"C2",295
"ID00018","C",20130319,17.29,"C16",333
"ID00019","C",20130307,16.75,"C30",333
"ID00019","B",20130310,14.93,"C30",403
"ID00019","C",20130311,16.41,"C16",168
"ID00019","A",20130325,14.72,"C14",259
"ID00019","B",20130325,15.81,"C18",348
"ID00020","C",20130323,16.24,"C24",237
"ID00020","C",20130326,17.26,"C28",332
"ID00020","C",20130327,17.57,"C10",370
"ID00021","C",20130304,16.87,"C27",322
"ID00021","B",20130306,16.8,"C10",250
"ID00022","C",20130314,17.63,"C19",376
"ID00023","C",20130308,15.22,"C15",180
"ID00023","C",20130322,14.5,"C17",376
"ID00023","A",20130326,15.16,"C14",189
"ID00025","A",20130308,17.25,"C24",206
"ID00025","B",20130330,16.44,"C24",187
"ID00026","C",20130307,12.3,"C24",306
"ID00026","C",20130315,16.44,"C8",269
"ID00027","A",20130326,15.33,"C22",305
"ID00028","C",20130315,16.56,"C25",415
"ID00028","B",20130321,14.39,"C3",313
"ID00028","C",20130327,15.65,"C1",284
"ID00029","C",20130310,15.28,"C6",480
"ID00029","C",20130311,15.68,"C29",378
"ID00029","C",20130312,15.22,"C8",301
"ID00029","C",20130312,16.26,"C14",328
"ID00029","B",20130318,13.89,"C30",302
"ID00029","A",20130318,16.57,"C7",288
"ID00029","C",20130331,16.8,"C27",310
"ID00030","B",20130312,13.72,"C6",145
"ID00031","C",20130305,18.3,"C11",276
"ID00031","B",20130310,17.17,"C26",336
"ID00032","C",20130301,16.94,"C20",359
"ID00032","B",20130308,15.39,"C1",379
"ID00032","B",20130329,15.96,"C17",238
"ID00033","C",20130305,14.04,"C11",383
"ID00034","C",20130329,14.82,"C10",486
"ID00035","A",20130310,17.14,"C19",391
"ID00035","C",20130327,19.11,"C15",314
"ID00035","A",20130331,14.82,"C12",118
