"å⁄ãqID","ìXï‹","çwîÉì˙","çwîÉéûä‘","è§ïiÉJÉeÉSÉä","çwîÉã‡äz"
"ID00001","C",20130811,17.27,"C23",254
"ID00001","C",20130825,15.58,"C12",451
"ID00001","C",20130830,17.23,"C22",196
"ID00002","C",20130816,17.33,"C24",475
"ID00002","A",20130819,16.87,"C6",408
"ID00002","C",20130819,16.96,"C13",323
"ID00002","B",20130829,16.07,"C22",311
"ID00003","B",20130801,15.22,"C29",309
"ID00003","C",20130809,16.1,"C29",388
"ID00003","B",20130814,15.16,"C11",268
"ID00004","C",20130820,14.49,"C3",329
"ID00005","C",20130827,13.74,"C11",389
"ID00006","C",20130806,18.16,"C28",238
"ID00006","B",20130807,16.21,"C27",348
"ID00007","C",20130811,12.29,"C3",231
"ID00007","C",20130816,16.12,"C30",332
"ID00008","B",20130807,15.3,"C18",352
"ID00008","B",20130807,17.81,"C22",161
"ID00008","C",20130812,17.52,"C20",270
"ID00008","C",20130828,16.57,"C18",500
"ID00011","C",20130810,16.12,"C24",412
"ID00011","C",20130814,15.24,"C30",369
"ID00011","C",20130819,14.38,"C30",262
"ID00012","C",20130820,15.69,"C21",303
"ID00013","C",20130803,17.96,"C18",386
"ID00013","C",20130811,17.88,"C22",264
"ID00013","C",20130819,15.12,"C24",304
"ID00014","C",20130806,15.89,"C13",277
"ID00014","B",20130821,15.19,"C4",309
"ID00014","C",20130823,15.67,"C2",295
"ID00014","C",20130827,15.8,"C12",340
"ID00015","C",20130803,14.95,"C4",283
"ID00016","B",20130821,17.23,"C9",326
"ID00016","C",20130825,16.55,"C30",305
"ID00016","B",20130828,17.34,"C6",269
"ID00017","C",20130817,14.94,"C10",331
"ID00017","B",20130819,12.51,"C20",403
"ID00017","C",20130827,18.21,"C28",375
"ID00018","B",20130804,18.74,"C11",235
"ID00018","B",20130811,16.7,"C8",161
"ID00018","A",20130817,17.98,"C8",352
"ID00019","A",20130802,16.2,"C11",280
"ID00019","A",20130819,16.93,"C20",428
"ID00019","C",20130822,15.62,"C12",248
"ID00020","C",20130801,15.58,"C28",345
"ID00020","A",20130806,17.66,"C1",358
"ID00022","C",20130802,15.41,"C16",423
"ID00022","C",20130803,15.84,"C5",251
"ID00022","C",20130827,15.2,"C22",376
"ID00023","C",20130803,17.73,"C28",304
"ID00023","B",20130805,16.5,"C19",159
"ID00023","A",20130809,15,"C9",274
"ID00023","C",20130819,15.42,"C23",232
"ID00023","C",20130826,15.88,"C17",319
"ID00023","B",20130829,16.8,"C19",376
"ID00023","C",20130830,14.02,"C19",251
"ID00024","C",20130805,14.91,"C5",264
"ID00024","B",20130809,20.18,"C7",372
"ID00024","C",20130813,16.26,"C10",317
"ID00025","A",20130804,17.59,"C30",479
"ID00025","C",20130820,16.39,"C24",183
"ID00026","A",20130802,16,"C6",123
"ID00026","C",20130803,16.79,"C21",267
"ID00026","B",20130823,15.07,"C30",279
"ID00026","B",20130823,15.6,"C3",185
"ID00027","C",20130815,15.86,"C25",274
"ID00027","B",20130825,14.54,"C23",382
"ID00027","C",20130827,13.55,"C11",262
"ID00028","C",20130820,14.58,"C25",244
"ID00028","C",20130830,17.59,"C11",196
"ID00029","A",20130805,18.09,"C25",273
"ID00029","A",20130806,14.25,"C17",343
"ID00029","C",20130825,12.41,"C19",325
"ID00030","A",20130805,16.36,"C17",296
"ID00030","B",20130815,16.2,"C10",462
"ID00030","B",20130815,17.54,"C19",251
"ID00031","C",20130805,16.62,"C25",57
"ID00031","B",20130806,17.97,"C18",311
"ID00032","B",20130824,14.35,"C28",380
"ID00032","B",20130831,16.12,"C17",327
"ID00033","C",20130804,18.3,"C25",321
"ID00033","C",20130826,16,"C1",201
"ID00034","A",20130829,16.61,"C4",250
"ID00035","C",20130808,15.7,"C28",490
"ID00035","B",20130821,16.97,"C20",362
"ID00036","C",20130815,15.44,"C7",407
"ID00036","B",20130816,15.51,"C21",317
"ID00036","C",20130826,16.88,"C2",228
