年俸,打数,安打,打点,本塁打,四球,死球,三振,打率
5600,405,106,52,11,19,6,80,0.262
24400,374,94,63,18,50,4,89,0.251
16700,501,112,90,26,46,5,153,0.224
3200,297,74,51,14,32,6,63,0.249
12200,181,33,27,9,23,1,53,0.182
10600,286,62,55,19,32,1,91,0.217
10800,505,114,97,32,43,9,129,0.226
15700,521,148,75,25,44,2,82,0.284
19200,529,138,73,17,73,6,134,0.261
4100,181,51,18,0,11,2,24,0.282
23200,526,130,73,16,25,2,66,0.247
9700,513,146,62,8,59,5,77,0.285
4500,256,60,32,7,22,5,37,0.234
22000,347,80,49,15,64,8,84,0.231
5800,516,121,56,11,49,6,68,0.234
3000,108,26,15,0,11,0,10,0.241
5000,251,67,30,1,30,1,53,0.267
2000,155,35,14,2,12,0,31,0.226
17100,230,54,30,6,21,2,65,0.235
1400,152,36,16,4,12,7,25,0.237
2300,255,57,29,4,19,7,64,0.224
4500,188,43,15,0,9,2,22,0.229
3600,163,25,15,1,12,0,15,0.153
3400,296,74,15,2,17,4,38,0.25
8400,427,124,54,6,48,1,52,0.29
7400,538,147,66,13,56,0,132,0.273
8600,540,134,65,19,94,1,143,0.248
1800,128,23,7,0,12,0,23,0.18
7100,384,104,37,6,41,1,59,0.271
5200,335,89,13,0,16,2,44,0.266
8200,568,139,33,8,31,2,92,0.245
5600,156,32,18,3,17,5,36,0.205
2400,119,21,12,1,10,1,26,0.176
2600,152,36,15,0,14,1,25,0.237
3200,145,28,12,1,10,1,35,0.193
12000,450,143,62,8,60,2,59,0.318
2700,168,34,6,1,10,0,43,0.202
7300,318,95,38,1,31,1,19,0.299
19300,546,147,43,10,72,5,88,0.269
3300,159,24,8,2,12,1,34,0.151
8300,426,99,45,9,13,5,48,0.232
2200,186,38,17,5,8,2,64,0.204
5000,194,52,17,4,17,1,26,0.268
9300,231,54,14,0,21,0,31,0.234
1800,193,45,15,2,17,1,30,0.233
3800,174,28,18,1,15,0,31,0.161
1200,167,37,13,1,13,0,43,0.222
9600,458,102,46,7,36,0,83,0.223
19300,392,108,40,1,18,9,35,0.276
3900,277,74,18,1,24,2,78,0.267
2800,142,39,14,2,14,0,14,0.275
4100,173,39,17,2,20,0,41,0.225
9500,101,8,8,0,9,0,37,0.079
3000,108,25,7,1,13,0,18,0.231
