生徒,学級,学業的自己概念,テスト得点
1,1,18,53
2,1,10,41
3,1,16,71
4,1,10,49
5,1,14,53
6,1,30,61
7,1,20,55
8,1,22,55
9,1,15,32
10,1,20,67
11,1,16,50
12,1,19,50
13,1,26,55
14,1,28,45
15,1,14,52
16,1,23,58
17,1,15,62
18,1,20,54
19,1,20,70
20,1,30,50
21,1,17,45
22,1,21,58
23,1,20,62
24,1,22,50
25,1,19,50
26,1,15,49
27,1,8,33
28,1,20,65
29,1,18,50
30,1,24,63
31,1,16,51
32,1,9,31
33,1,20,70
34,1,17,50
35,1,22,61
36,1,19,53
37,1,21,63
38,1,17,43
39,1,22,68
40,1,21,61
41,2,17,51
42,2,19,50
43,2,20,57
44,2,19,49
45,2,25,48
46,2,19,57
47,2,20,30
48,2,19,50
49,2,22,55
50,2,18,48
51,2,19,50
52,2,17,40
53,2,10,27
54,2,22,69
55,2,18,55
56,2,23,51
57,2,17,55
58,2,20,45
59,2,6,50
60,2,21,44
61,2,16,57
62,2,17,52
63,2,16,60
64,2,14,50
65,2,18,55
66,2,22,48
67,2,28,70
68,2,22,55
69,2,20,60
70,2,23,52
71,2,16,46
72,2,23,75
73,2,20,50
74,2,14,63
75,2,22,54
76,2,19,52
77,2,21,62
78,2,17,42
79,2,23,93
80,2,22,73
81,3,15,39
82,3,27,65
83,3,13,50
84,3,19,50
85,3,18,61
86,3,25,58
87,3,20,50
88,3,21,50
89,3,25,67
90,3,17,41
91,3,18,48
92,3,18,50
93,3,23,55
94,3,20,61
95,3,12,40
96,3,18,55
97,3,17,45
98,3,8,45
99,3,22,55
100,3,18,60
101,3,8,33
102,3,21,53
103,3,23,65
104,3,26,58
105,3,26,60
106,3,16,50
107,3,12,40
108,3,17,50
109,3,21,45
110,3,18,50
111,3,17,52
112,3,11,38
113,3,17,51
114,3,20,47
115,3,15,40
116,3,18,51
117,3,20,61
118,3,16,41
119,3,26,68
120,3,15,59
121,4,14,39
122,4,14,56
123,4,14,45
124,4,30,65
125,4,13,45
126,4,17,50
127,4,14,45
128,4,11,49
129,4,16,55
130,4,17,50
131,4,18,62
132,4,17,45
133,4,7,50
134,4,7,42
135,4,8,48
136,4,18,65
137,4,18,49
138,4,21,50
139,4,18,40
140,4,18,49
141,4,18,48
142,4,21,40
143,4,21,43
144,4,17,50
145,4,25,64
146,4,22,62
147,4,21,62
148,4,12,44
149,4,16,50
150,4,17,48
151,4,17,65
152,4,20,59
153,4,13,40
154,4,17,51
155,4,16,46
156,4,17,51
157,4,19,61
158,4,15,41
159,4,8,48
160,4,10,70
161,5,9,50
162,5,10,62
163,5,15,55
164,5,21,58
165,5,10,26
166,5,9,49
167,5,6,40
