授業回,価値,興味,学生,期待
1,4,7,1,9
2,5,7,1,9
3,4,6,1,9
4,5,6,1,9
5,6,7,1,9
6,6,7,1,9
7,4,5,1,9
8,3,3,1,9
9,3,4,1,9
10,5,5,1,9
11,6,6,1,9
12,6,5,1,9
13,6,7,1,9
14,4,5,1,9
15,6,7,1,9
1,5,5,2,8
2,6,7,2,8
3,6,6,2,8
4,6,6,2,8
5,6,7,2,8
6,6,5,2,8
7,4,3,2,8
8,3,3,2,8
9,5,4,2,8
10,6,4,2,8
11,6,5,2,8
12,6,4,2,8
13,4,6,2,8
14,5,7,2,8
15,5,7,2,8
1,6,7,3,6
2,6,6,3,6
3,4,5,3,6
4,5,5,3,6
5,6,6,3,6
6,6,7,3,6
7,6,7,3,6
8,3,3,3,6
9,6,6,3,6
10,4,7,3,6
11,5,6,3,6
12,6,7,3,6
13,6,6,3,6
14,4,4,3,6
15,6,7,3,6
1,9,10,4,15
2,8,10,4,15
3,7,9,4,15
4,9,8,4,15
5,9,10,4,15
6,9,9,4,15
7,10,10,4,15
8,9,6,4,15
9,7,10,4,15
10,5,10,4,15
11,10,9,4,15
12,5,6,4,15
13,7,12,4,15
14,9,9,4,15
15,7,12,4,15
1,9,8,5,13
2,10,9,5,13
3,5,7,5,13
4,6,9,5,13
5,9,9,5,13
6,7,10,5,13
7,6,6,5,13
8,7,5,5,13
9,5,6,5,13
10,6,5,5,13
11,7,9,5,13
12,8,10,5,13
13,8,10,5,13
14,8,8,5,13
15,5,10,5,13
1,6,8,6,11
2,7,8,6,11
3,10,8,6,11
4,6,8,6,11
5,6,10,6,11
6,8,9,6,11
7,7,6,6,11
8,4,7,6,11
9,5,8,6,11
10,5,5,6,11
11,6,8,6,11
12,7,9,6,11
13,7,6,6,11
14,4,8,6,11
15,7,9,6,11
1,5,6,7,9
2,5,6,7,9
3,5,6,7,9
4,5,6,7,9
5,5,6,7,9
6,5,6,7,9
7,5,6,7,9
8,5,6,7,9
9,5,6,7,9
10,5,6,7,9
11,5,6,7,9
12,5,6,7,9
13,5,6,7,9
14,5,6,7,9
15,5,6,7,9
1,4,6,8,8
2,4,6,8,8
3,4,5,8,8
4,5,5,8,8
5,5,6,8,8
6,4,6,8,8
7,5,5,8,8
8,4,5,8,8
9,4,4,8,8
10,4,3,8,8
11,4,3,8,8
12,5,5,8,8
13,5,6,8,8
14,5,5,8,8
15,5,6,8,8
1,8,11,9,11
2,7,6,9,11
3,8,9,9,11
4,9,8,9,11
5,8,8,9,11
6,7,9,9,11
7,5,9,9,11
8,7,6,9,11
9,6,7,9,11
10,7,10,9,11
11,7,8,9,11
12,7,9,9,11
13,8,9,9,11
14,6,7,9,11
15,8,7,9,11
1,10,9,10,12
2,9,11,10,12
3,6,12,10,12
4,9,10,10,12
5,8,15,10,12
6,9,10,10,12
7,11,15,10,12
8,6,13,10,12
9,10,6,10,12
10,8,9,10,12
11,10,13,10,12
12,8,8,10,12
13,11,15,10,12
14,12,14,10,12
