困難度,有用性,興味,学習行動,成績
7,11,11,24,49
3,12,6,42,38
5,9,16,48,67
3,6,15,59,66
6,12,19,45,54
3,12,12,60,62
6,7,12,60,58
4,12,8,50,33
6,7,10,35,45
3,11,9,43,62
7,11,8,33,48
6,12,18,38,31
5,10,8,44,48
5,9,12,48,33
6,12,16,44,31
4,10,19,60,35
5,6,12,54,59
3,12,8,56,67
5,9,15,50,68
4,7,13,54,46
7,12,10,54,48
7,11,18,37,54
5,12,10,46,48
6,8,18,53,44
6,10,12,43,62
3,12,18,55,66
4,5,8,48,38
9,10,8,42,61
7,8,8,53,68
6,7,14,58,33
3,12,10,33,50
4,12,20,58,56
8,6,12,47,48
3,12,14,43,70
9,10,9,41,25
8,5,7,33,49
3,8,16,58,84
8,11,15,44,73
3,12,9,35,29
3,8,16,56,61
3,9,19,50,68
10,5,9,45,56
7,9,13,39,68
4,7,20,50,49
9,11,14,43,38
6,12,18,53,59
9,3,10,29,43
4,7,20,60,88
5,10,7,59,70
4,9,18,45,59
8,11,19,55,25
3,10,12,57,35
3,12,19,60,48
4,9,13,34,57
4,10,17,42,46
6,9,8,53,43
3,12,8,41,54
3,9,20,44,49
8,9,15,58,80
4,9,13,56,70
9,8,17,42,36
4,9,12,48,57
3,4,16,59,31
7,9,13,42,40
8,3,8,35,21
3,12,12,49,59
10,5,8,49,49
4,11,10,43,46
4,10,16,49,73
6,12,14,49,66
7,9,9,45,64
3,11,12,60,54
7,11,14,38,38
4,12,13,59,44
11,5,12,18,16
9,8,11,33,59
6,8,15,41,52
9,7,14,38,36
11,12,7,60,43
5,12,13,46,40
9,9,12,60,49
7,8,10,59,56
6,6,16,54,40
5,7,13,55,44
8,6,15,46,49
3,12,20,57,38
6,8,8,26,33
5,12,13,46,52
3,11,11,56,61
5,12,12,45,49
6,7,18,58,36
12,3,8,51,77
6,6,12,58,37
7,9,12,57,31
3,10,14,51,49
8,9,12,51,36
3,12,9,43,56
4,10,11,40,64
4,11,17,20,20
7,7,13,53,35
6,6,12,48,44
3,3,9,37,56
4,12,16,58,57
5,9,15,50,76
9,3,13,48,49
6,6,12,59,49
5,11,9,35,46
4,10,13,45,71
3,11,14,54,72
3,11,16,54,61
11,3,6,40,36
8,3,12,43,52
7,7,12,60,59
3,12,16,58,72
5,10,18,39,46
8,7,15,57,29
4,12,10,42,36
11,6,9,26,49
7,10,8,57,62
6,8,8,44,57
3,12,7,42,64
7,8,16,56,46
3,9,15,52,48
4,12,12,51,41
4,10,8,56,40
6,6,12,38,44
9,8,9,42,29
4,9,16,50,64
8,7,13,57,66
4,6,7,32,40
3,12,17,52,59
3,12,10,37,48
3,10,14,57,43
3,11,18,60,56
3,12,16,58,56
6,12,12,43,40
10,9,12,51,64
8,6,17,38,36
3,7,15,53,70
7,9,13,50,49
5,11,16,59,75
6,7,16,55,40
6,8,16,57,54
8,8,9,12,35
6,6,12,44,40
5,11,14,59,52
3,12,13,55,52
6,10,20,55,64
4,10,15,52,51
9,10,12,52,56
5,12,12,33,46
5,12,16,39,43
5,9,15,51,59
9,8,10,56,51
7,8,15,57,66
4,11,8,60,43
8,5,19,34,36
5,9,8,58,77
4,12,12,60,46
3,8,10,49,41
7,8,14,47,84
6,8,12,44,57
3,12,13,38,43
9,6,13,57,68
10,12,11,47,36
3,10,8,41,68
6,6,16,60,68
6,9,9,37,43
3,9,16,58,51
6,7,10,51,38
8,6,17,50,66
7,11,11,44,68
5,11,14,46,41
5,9,15,48,40
4,5,12,54,57
7,5,13,53,56
6,9,20,54,52
4,8,12,45,60
8,8,14,15,27
10,6,8,40,56
4,10,7,49,59
8,5,13,46,62
3,12,14,53,51
8,6,10,54,43
6,9,18,58,46
5,10,7,36,35
3,12,10,39,33
3,7,14,56,51
3,12,17,43,57
7,6,12,42,69
9,12,19,36,35
3,12,12,51,75
3,11,14,56,56
8,8,10,34,51
3,12,7,41,41
4,12,14,49,54
4,12,18,38,62
8,8,7,49,23
8,6,20,59,54
6,9,8,51,52
6,9,14,55,43
6,4,14,30,31
8,5,12,42,23
3,11,18,40,52
10,11,12,45,29
5,10,12,34,48
5,8,8,37,38
5,10,15,57,75
6,12,5,28,48
9,11,15,44,38
5,9,8,33,29
6,12,14,39,36
3,8,12,45,49
5,8,13,55,46
9,7,13,50,33
3,11,12,60,52
