空き巣,不在時間,会話,築年数,セキュリティ,飼い犬
あり,2.92,1,21,加入,なし
なし,1.19,1,18,非加入,なし
あり,5.2,1,6,非加入,なし
あり,6.06,1,17,非加入,なし
あり,5.24,1,24,加入,あり
あり,2.3,1,9,加入,なし
あり,2.65,0,5,加入,なし
あり,4.99,1,2,非加入,なし
なし,3.29,2,17,非加入,なし
あり,5.51,1,23,非加入,あり
なし,4.1,1,22,加入,なし
あり,0.41,1,7,非加入,なし
あり,2.76,1,24,加入,あり
あり,4,1,19,非加入,なし
あり,4.04,1,16,非加入,なし
なし,4.19,1,22,非加入,なし
あり,5.4,2,23,非加入,あり
あり,5.78,0,8,加入,なし
なし,0,2,10,加入,なし
なし,4.78,0,24,加入,なし
あり,4.35,1,20,加入,なし
あり,3.5,1,14,加入,あり
あり,3.68,1,17,非加入,なし
あり,7.5,1,14,非加入,あり
なし,4.97,1,6,加入,あり
あり,5.49,0,14,非加入,なし
なし,5.73,2,4,非加入,なし
なし,3.74,1,1,非加入,なし
なし,2.74,2,17,加入,なし
なし,6.48,1,10,非加入,あり
あり,7.4,1,1,加入,なし
なし,3.07,2,3,加入,なし
あり,5.61,0,12,非加入,なし
なし,1.53,1,14,非加入,なし
あり,7.38,0,8,非加入,あり
なし,4.62,1,3,非加入,なし
あり,4.18,1,1,非加入,なし
あり,4.18,0,14,非加入,なし
なし,2.03,1,9,非加入,なし
なし,3.92,1,21,非加入,なし
なし,2.88,1,12,非加入,なし
なし,0.59,1,2,加入,なし
なし,4.89,2,2,非加入,なし
なし,0,2,3,非加入,なし
なし,4.2,1,14,加入,あり
あり,3.83,0,6,加入,なし
なし,2.33,1,10,非加入,なし
なし,3.71,1,0,非加入,なし
なし,6.23,0,1,加入,なし
あり,6.4,2,8,加入,なし
なし,4.08,2,25,加入,なし
あり,5.52,1,14,加入,なし
なし,3.04,1,20,加入,なし
なし,3.12,1,17,非加入,あり
あり,4.8,1,1,非加入,なし
あり,8.58,1,17,非加入,なし
あり,4.91,1,18,加入,あり
なし,1.71,0,7,加入,なし
あり,1.18,1,19,加入,なし
なし,1.21,1,3,加入,なし
なし,6.46,1,8,非加入,なし
なし,3.12,1,8,非加入,なし
なし,4.73,1,13,加入,あり
あり,3.61,1,13,加入,なし
あり,3.9,1,10,非加入,なし
なし,0,1,24,加入,なし
なし,4.58,2,18,加入,なし
あり,5.7,0,3,加入,なし
なし,2.63,2,8,非加入,なし
なし,2.47,1,22,加入,なし
あり,5.69,1,7,非加入,なし
あり,4.37,1,6,非加入,なし
あり,4.68,0,13,非加入,なし
あり,5.08,2,22,非加入,なし
あり,0.88,1,17,非加入,なし
あり,4.12,1,3,非加入,なし
なし,3.95,1,19,加入,なし
あり,1.37,1,23,加入,なし
なし,0,1,13,加入,なし
なし,2.78,1,16,加入,なし
なし,3.62,1,15,非加入,なし
なし,3.02,1,20,加入,なし
あり,4.47,0,7,非加入,あり
なし,1.09,1,21,加入,なし
あり,5.58,0,16,非加入,あり
あり,7.09,2,23,非加入,なし
なし,0.45,2,22,加入,なし
あり,7.84,0,4,非加入,なし
なし,5.24,1,25,加入,なし
なし,5.76,1,13,非加入,なし
なし,3.46,2,20,加入,なし
あり,6.21,2,17,非加入,なし
なし,1.03,0,0,非加入,なし
なし,1.04,1,1,非加入,なし
なし,5.74,2,4,非加入,なし
なし,4.8,2,21,非加入,なし
なし,1.47,2,21,非加入,あり
なし,3.36,1,13,加入,なし
あり,2.38,1,5,非加入,なし
あり,5.24,0,21,加入,なし
なし,4.25,1,1,加入,なし
あり,8.94,1,22,加入,なし
なし,1.57,1,14,非加入,なし
なし,5.03,2,10,加入,なし
なし,2.52,2,6,非加入,なし
なし,0,1,22,非加入,なし
あり,2.38,2,18,非加入,なし
あり,5.11,1,1,加入,なし
あり,1.39,1,8,非加入,なし
あり,6.47,0,9,非加入,なし
なし,4.39,1,9,加入,なし
なし,4.78,1,19,非加入,なし
なし,1.95,1,14,非加入,なし
なし,1.23,0,15,非加入,なし
あり,3.12,2,3,加入,なし
あり,3.48,1,6,加入,なし
なし,3.82,2,10,非加入,あり
なし,3.57,1,25,加入,なし
あり,4,1,23,非加入,なし
なし,4.22,1,4,加入,あり
あり,3.54,1,18,非加入,なし
