,食物繊維,カリウム,ベータカロテン,ビタミンK,葉酸,ビタミンC
青ピーマン,2.3,190,400,20,26,76
赤たまねぎ,1.7,150,0,0,23,7
赤ピーマン,1.6,210,940,7,68,170
アスパラガス,1.8,270,370,43,190,15
アロエ,0.4,43,1,0,4,1
うど,1.4,220,0,2,19,4
えだまめ,5,590,240,30,320,27
オクラ,5,260,670,71,110,11
かいわれだいこん,1.9,99,1900,200,96,47
かぶ,1.5,280,0,0,48,19
カリフラワー,2.9,410,18,17,94,81
黄ピーマン,1.3,200,160,3,54,150
キャベツ,1.8,200,49,78,78,41
きゅうり,1.1,200,330,34,25,14
ごぼう,5.7,320,1,0,68,3
こまつな,1.9,500,3100,210,110,39
さやいんげん,2.4,260,520,60,50,8
さやえんどう,3,200,560,47,73,60
ししとう,3.6,340,530,51,33,57
しそ,7.3,500,11000,690,110,26
しゅんぎく,3.2,460,4500,250,190,19
しょうが,2.1,270,4,0,8,2
スイートコーン,3,290,22,1,95,8
ズッキーニ,1.3,320,310,35,36,20
西洋かぼちゃ,3.5,450,3900,25,42,43
セロリ,1.5,410,44,10,29,7
そらまめ,2.6,440,240,18,120,23
だいこん,4,400,3900,270,140,53
たかな,2.5,300,2300,120,180,69
たけのこ,2.8,520,11,2,63,10
たまねぎ,1.6,150,1,0,16,8
チンゲンサイ,1.2,260,2000,84,66,24
とうがらし,10.3,760,6600,27,41,120
トマト,1,210,540,4,22,15
なす,2.2,220,100,10,32,4
にがうり,2.6,260,160,41,72,76
にら,2.7,510,3500,180,100,19
にんじん,2.8,300,6900,17,21,6
にんにく,6.2,510,2,0,93,12
根深ねぎ,2.5,200,82,8,72,14
のざわな,2,390,1200,100,110,41
はくさい,1.3,220,92,59,61,19
バジル,4,420,6300,440,69,16
パセリ,6.8,1000,7400,850,220,120
ふき,1.3,330,49,6,12,2
ふきのとう,6.4,740,390,92,160,14
ブロッコリー,4.4,360,800,160,210,120
ほうれんそう,2.8,690,4200,270,210,35
みずな,3,480,1300,120,140,55
ミニトマト,1.4,290,960,7,35,32
みょうが,2.1,210,27,20,25,2
めキャベツ,5.5,610,710,150,240,160
モロヘイヤ,5.9,530,10000,640,250,65
らっきょう,20.7,230,0,1,29,23
りょくとうもやし,1.3,69,3,3,41,8
ルッコラ,2.6,480,3600,210,170,66
レタス,1.1,200,240,29,73,5
レッドキャベツ,2.8,310,36,29,58,68
れんこん,2,440,3,0,14,48
わらび,3.6,370,210,17,130,11
