都市,年,月,日,季節,天気,気温,風速,降水量
札幌,2012,1,1,冬,曇,-0.1,2.4,1.5
札幌,2012,1,2,冬,雪,-0.7,2.4,2.5
札幌,2012,1,3,冬,雪,-3.5,6.6,5.5
札幌,2012,1,4,冬,晴,-3.4,4.8,3.5
札幌,2012,1,5,冬,雪,-0.6,6.2,11.5
札幌,2012,1,6,冬,曇,-0.3,1.9,11
札幌,2012,1,7,冬,薄曇,-1.8,2.6,0
札幌,2012,1,8,冬,雪,-5.5,1.4,0
札幌,2012,1,9,冬,晴,-2.8,2.7,2.5
札幌,2012,1,10,冬,晴,-4.7,2.5,8
札幌,2012,1,11,冬,薄曇,-7.6,5.6,2
札幌,2012,1,12,冬,晴,-6.9,2.9,3.5
札幌,2012,1,13,冬,雪,-6.2,2.9,0
札幌,2012,1,14,冬,晴,-8,4.9,0.5
札幌,2012,1,15,冬,雪,-6.1,4.9,0
札幌,2012,1,16,冬,晴,-5.5,3.3,1
札幌,2012,1,17,冬,晴,-5,1.8,0
札幌,2012,1,18,冬,晴,-3.6,1.8,0
札幌,2012,1,19,冬,晴,-4.2,1.1,0
札幌,2012,1,20,冬,晴,-5.8,2,0
札幌,2012,1,21,冬,雪,-4.7,3.2,0
札幌,2012,1,22,冬,雪,0.9,4.7,0.5
札幌,2012,1,23,冬,雪,-2.4,5.3,6
札幌,2012,1,24,冬,晴,-5.7,3.4,1.5
札幌,2012,1,25,冬,晴,-7,2,0
札幌,2012,1,26,冬,曇,-7.6,2.8,0
札幌,2012,1,27,冬,晴,-7.9,2.8,1.5
札幌,2012,1,28,冬,雪,-6.6,4.9,3
札幌,2012,1,29,冬,曇,-4.4,2.4,4.5
札幌,2012,1,30,冬,薄曇,-5.6,1.6,0
札幌,2012,1,31,冬,薄曇,-5.4,2.4,1.5
札幌,2012,2,1,冬,曇,-7.6,2.3,0
札幌,2012,2,2,冬,曇,-7.8,2.5,3.5
札幌,2012,2,3,冬,晴,-6.6,2.6,2
札幌,2012,2,4,冬,雪,-6.3,2.5,3.5
札幌,2012,2,5,冬,雪,-3,2.8,0
札幌,2012,2,6,冬,雪,0.7,3.2,0
札幌,2012,2,7,冬,雪,0.3,2.6,3
札幌,2012,2,8,冬,快晴,-4.7,4.3,0
札幌,2012,2,9,冬,雪,-5.6,3.2,0
札幌,2012,2,10,冬,雪,-7.4,4.2,0.5
札幌,2012,2,11,冬,雪,-7.2,3.6,2
札幌,2012,2,12,冬,雪,-7.6,5.6,2
札幌,2012,2,13,冬,晴,-2.7,3.6,0.5
札幌,2012,2,14,冬,晴,0.4,1.9,0
札幌,2012,2,15,冬,雪,-3.9,4.7,3
札幌,2012,2,16,冬,雪,-5.4,4.5,2
札幌,2012,2,17,冬,晴,-6.8,2.1,0
札幌,2012,2,18,冬,雪,-8.3,1.6,3.5
札幌,2012,2,19,冬,曇,-6.5,1.3,2
札幌,2012,2,20,冬,晴,-2.9,2.5,0.5
札幌,2012,2,21,冬,雪,-4.4,5.9,1.5
札幌,2012,2,22,冬,曇,-2.2,2.3,0
札幌,2012,2,23,冬,薄曇,-0.3,3.6,11
札幌,2012,2,24,冬,雪,-2.8,3.6,10.5
札幌,2012,2,25,冬,雪,-7,2.2,2.5
札幌,2012,2,26,冬,雪,-4.3,4,3
札幌,2012,2,27,冬,雪,-4.6,4.7,0.5
札幌,2012,2,28,冬,晴,-4,2.4,0
札幌,2012,2,29,冬,晴,0.8,3.1,0
札幌,2012,3,1,春,曇,2.5,2.8,0
札幌,2012,3,2,春,薄曇,-0.6,4.5,0
札幌,2012,3,3,春,晴,-4,3.6,3.5
札幌,2012,3,4,春,雪,-4.5,3.3,2.5
札幌,2012,3,5,春,薄曇,-4.7,1.7,2
札幌,2012,3,6,春,曇,1.6,1.9,5
札幌,2012,3,7,春,曇,3.7,4.2,0.5
札幌,2012,3,8,春,雪,0.3,2.7,1
札幌,2012,3,9,春,薄曇,0,2.2,0
札幌,2012,3,10,春,快晴,-0.6,1.6,0
札幌,2012,3,11,春,晴,-1.1,3.7,0
札幌,2012,3,12,春,曇,-1.4,2.3,0
札幌,2012,3,13,春,雪,-2,3.1,0.5
札幌,2012,3,14,春,曇,-1.1,3.5,0
札幌,2012,3,15,春,雪,0.5,5.2,0
札幌,2012,3,16,春,晴,1.4,2.9,0
札幌,2012,3,17,春,雨,2.9,6,0
札幌,2012,3,18,春,雪,-1,5,4.5
札幌,2012,3,19,春,雪,-4.4,4.6,3
札幌,2012,3,20,春,雪,-3.9,3,2
札幌,2012,3,21,春,曇,-0.8,3.3,0
札幌,2012,3,22,春,雨,1.9,3,1
札幌,2012,3,23,春,曇,2.3,3.4,1
札幌,2012,3,24,春,雪,-0.5,1.9,8
札幌,2012,3,25,春,雪,-1.5,2.6,2.5
札幌,2012,3,26,春,晴,-1,3,0.5
札幌,2012,3,27,春,晴,0.1,3,3
札幌,2012,3,28,春,快晴,1.6,2.8,0
札幌,2012,3,29,春,晴,5.6,3.1,0
札幌,2012,3,30,春,薄曇,9.5,6.5,0
札幌,2012,3,31,春,雪,1.8,5,4
札幌,2012,4,1,春,晴,0.1,5.4,0.5
札幌,2012,4,2,春,雪,-0.5,2.8,0
札幌,2012,4,3,春,雪,0.8,3.7,13
札幌,2012,4,4,春,雪,1.3,7.3,11.5
札幌,2012,4,5,春,晴,1.8,4.4,0
札幌,2012,4,6,春,雪,-0.1,2.6,1
札幌,2012,4,7,春,雪,-0.9,2.3,4
札幌,2012,4,8,春,曇,1.9,2.5,1
札幌,2012,4,9,春,薄曇,4.7,5.8,1.5
札幌,2012,4,10,春,晴,7.2,2.7,0
札幌,2012,4,11,春,雨,7.7,6.1,0.5
札幌,2012,4,12,春,快晴,8.3,4.5,0
札幌,2012,4,13,春,曇,6.4,5.2,0
札幌,2012,4,14,春,快晴,6.7,2.2,0
札幌,2012,4,15,春,快晴,5,2.7,0
札幌,2012,4,16,春,薄曇,5.9,6,0
札幌,2012,4,17,春,曇,6.6,3.2,0.5
札幌,2012,4,18,春,霧雨,7.1,1.3,0
札幌,2012,4,19,春,曇,9.2,2.1,0
札幌,2012,4,20,春,晴,8.5,2.3,0
札幌,2012,4,21,春,晴,10.1,2.6,0
札幌,2012,4,22,春,薄曇,9.1,9.5,0
札幌,2012,4,23,春,曇,10.5,6.8,0
札幌,2012,4,24,春,曇,11.4,2.8,0
札幌,2012,4,25,春,晴,12.9,2.8,0
札幌,2012,4,26,春,曇,12.1,10.6,1
札幌,2012,4,27,春,晴,12.4,3.5,0
札幌,2012,4,28,春,快晴,14,3.7,0
札幌,2012,4,29,春,雨,14.5,4.8,0
札幌,2012,4,30,春,快晴,16.6,3.7,0
札幌,2012,5,1,春,薄曇,18,4.3,0
札幌,2012,5,2,春,晴,17.1,5.4,0
札幌,2012,5,3,春,曇,15,8,8
札幌,2012,5,4,春,雨,13.5,1.7,45.5
札幌,2012,5,5,春,雨,12.6,2.8,7.5
札幌,2012,5,6,春,曇,12.7,3.8,9
札幌,2012,5,7,春,曇,11.8,3.7,3
札幌,2012,5,8,春,薄曇,13.3,2.3,0
札幌,2012,5,9,春,晴,11.9,3.3,0
札幌,2012,5,10,春,晴,10.8,3.9,0
札幌,2012,5,11,春,曇,8.8,4.4,0
札幌,2012,5,12,春,曇,6.7,7.9,2
札幌,2012,5,13,春,晴,9.9,6.3,0
札幌,2012,5,14,春,晴,12,2.6,0
