店舗,明るさ,広さ,整然さ,清潔さ,滞在時間
店舗1,1.7,2.02,1.69,1.88,15.98
店舗2,3.46,3.51,1.96,3.98,57.97
店舗3,2.15,1.27,1.42,2.08,15.37
店舗4,3.74,3.67,3.58,3.66,44.7
店舗5,4.09,4.4,4.02,3.45,50.01
店舗6,4.22,3.32,3.76,3.81,44.96
店舗7,4.39,3.46,4.42,4.1,34.3
店舗8,1.19,1.46,1.14,0.98,19.83
店舗9,4.05,3.6,3.71,4.07,40.4
店舗10,2.94,3.34,3.31,0.71,30.44
店舗11,1.47,1.85,1.48,2.17,25.57
店舗12,2.96,3.21,3.42,0.94,27.77
店舗13,3.67,3.17,2.26,3.91,65.08
店舗14,3.79,3.63,3.65,3.51,37.56
店舗15,3.55,3.01,2.37,4.1,60.92
店舗16,3.82,3.8,3.85,4.13,36.41
店舗17,1.78,1.69,1.56,1.83,32.72
店舗18,1.24,1.46,1.59,1.61,30.34
店舗19,1.57,1.38,1.68,2.14,15.73
店舗20,4.08,3.79,3.87,3.55,54.28
店舗21,3.63,3.04,2.62,4.17,65.72
店舗22,3.05,3.99,3.93,3.52,52.92
店舗23,1.04,1.53,1.62,1.42,13.4
店舗24,3.52,3.03,1.67,3.22,59.87
店舗25,1.61,1.94,1.87,1.55,22.46
店舗26,4.07,3.91,3.65,3.64,49.66
店舗27,3.66,4.04,4.07,3.47,36.98
店舗28,3.87,3.21,3.67,3.49,39.68
店舗29,2.87,2.9,3.5,0.87,25.54
店舗30,1.64,2,1.62,1.62,18.85
店舗31,1.95,1.55,1.69,1.88,23.59
店舗32,4.03,3.65,3.64,3.63,53.23
店舗33,3.98,3.61,3.86,3.62,43.61
店舗34,3.05,3.15,3.69,1.77,27.98
店舗35,3.54,4.1,2.32,3.8,55.54
店舗36,2.34,2.01,1.44,1.85,23.16
店舗37,4.15,4.05,4.01,3.66,38.74
店舗38,3.6,4.03,1.99,4.23,63.3
店舗39,1.68,1.73,1.79,1.94,28.47
店舗40,3,2.92,3.54,1.37,27.94
店舗41,3.92,3.67,2.23,4.02,74.95
店舗42,4.08,3.15,2.33,3.7,74.61
店舗43,4.13,3.36,3.59,4.02,44.57
店舗44,4.16,4.21,4.06,3.52,49.36
店舗45,1.53,1.69,1.79,1.64,14.79
店舗46,3.56,3.8,1.55,3.3,66.72
店舗47,1.81,1.16,1.31,1.14,22.54
店舗48,1.53,1.51,1.86,2.07,23
店舗49,4.09,3.61,1.88,4.38,58.37
店舗50,4.11,3.97,3.65,3.76,46.39
店舗51,4.25,3.29,1.95,3.92,61.85
店舗52,3.38,4.14,4.2,4.33,34.24
店舗53,3.69,3.92,2.31,4.13,65
店舗54,3.16,3.31,3.66,1.13,25.58
店舗55,2.09,1.46,1.72,1.79,16.32
店舗56,1.36,1.69,1.25,2.14,25.83
店舗57,1.45,1.7,1.68,1.04,32.02
店舗58,3.76,3.48,4.06,3.95,36.24
店舗59,1.23,1.32,1.23,1.47,15.25
店舗60,3.69,3.41,3.95,3.46,46.63
店舗61,4.03,3.39,4.09,3.77,39.5
店舗62,4.06,3.87,4,3.53,43.06
店舗63,4.24,3.63,3.67,3.96,46.37
店舗64,4.08,3.8,3.83,3.77,51.57
店舗65,3.36,3.65,3.92,4.03,59.18
店舗66,3.23,2.79,3.36,1.6,31.05
店舗67,3.81,3.88,2.17,3.95,66.88
店舗68,0.84,1.51,1.1,1.57,33.7
店舗69,1.67,1.55,1.77,1.14,27.55
店舗70,1.48,1.23,1.52,1.92,24.9
店舗71,4.28,4.13,3.39,2.9,45.78
店舗72,1.73,1.67,1.61,2.13,32.29
店舗73,0.93,2.03,1.84,1.37,23.09
店舗74,2.73,2.61,3.01,1.46,29.86
店舗75,2.93,3.22,3.14,0.74,27.16
店舗76,3.75,3.42,2.46,4.18,63.55
店舗77,3.32,2.57,3.46,1.6,25.12
店舗78,0.92,1.17,1.94,1.77,27.02
店舗79,4.57,3.45,3.98,3.79,45.4
店舗80,1.7,1.51,1.62,1.54,27.96
店舗81,1.31,1.63,2.28,1.36,10.69
店舗82,3.76,3.2,3.84,3.6,52.11
店舗83,2.91,3.21,2.77,1.08,28.6
店舗84,3.78,3.83,2.1,4,66.26
店舗85,1.19,1.68,1.67,1.38,24.04
店舗86,3.7,3.55,2.05,3.4,61.94
店舗87,4.02,4.22,4.01,3.22,57.06
店舗88,1.56,1.39,1.45,2.03,28.17
店舗89,1.88,1.34,1.73,1.3,24.97
店舗90,3.1,3.58,3.21,1.38,31.47
店舗91,3.21,3.28,2.99,1.3,28.58
店舗92,1.59,1.44,2.3,1.81,32.54
店舗93,2.67,3.46,2.91,1.25,27.22
店舗94,0.98,1.42,2.24,2.4,24.03
店舗95,1.66,1.56,1.47,2.06,19.09
店舗96,1.67,1.47,1.62,1.46,20.98
店舗97,1.31,1.72,2.45,2.06,23.73
店舗98,3.32,3.98,1.99,3.92,69.39
店舗99,1.31,1.34,1.32,2.24,22.37
店舗100,1.45,1.55,1.42,1.81,19.28
店舗101,3.26,3.45,2.97,1.02,36.7
店舗102,3.92,4.3,3.78,3.56,42.61
店舗103,1.42,2.01,1.74,1.43,30.1
店舗104,3.82,3.94,2.05,3.77,71.73
店舗105,1.52,1.59,1.33,1.73,25.91
店舗106,3.29,2.95,3.3,3.25,39.38
店舗107,1.15,2.12,1.72,1.6,23.9
店舗108,1.52,1.15,1.76,1.34,33.34
店舗109,2.65,3.18,2.89,1.54,35.31
店舗110,1.65,0.96,0.91,1.85,24.87
店舗111,3.88,3.1,2.82,1.68,27.29
店舗112,1.55,1.42,1.47,1.45,17.32
店舗113,3.94,3.52,1.64,4.32,61.37
店舗114,0.93,1.25,1.56,1.28,33.68
店舗115,3.66,2.82,3.4,1.19,26.14
店舗116,1.46,1.84,1.54,1.78,23.16
店舗117,4.23,3.76,2.02,3.93,57.36
店舗118,3.87,3.37,3.9,3.76,39.28
店舗119,3.44,3.65,2.03,3.83,57.58
店舗120,4.18,3.72,3.5,4.2,34.93
店舗121,3.95,4.03,1.86,3.76,69.6
店舗122,1.6,1.85,1.99,2.06,20.54
店舗123,4.07,3.51,3.49,3.95,46.72
店舗124,3.53,3.82,4.25,3.84,35.81
店舗125,1.19,1.7,2.18,1.21,33.05
店舗126,3.17,3.5,3.63,1.07,29.11
店舗127,3.43,3.92,1.81,3.56,62.66
店舗128,3.96,4.06,2.19,4.11,64.53
店舗129,1.09,1.54,1.54,1.56,32.46
店舗130,1.16,1.89,2.03,1.82,26.47
店舗131,1.71,1.87,1.16,1.5,29.69
店舗132,1.2,1.17,1.7,2.09,23.21
店舗133,1,1.59,1.96,1.41,25.25
店舗134,4.31,3.56,3.34,3.6,38.76
店舗135,0.67,2,1.6,2.19,21.91
店舗136,4.08,3.67,2.42,3.89,62.39
店舗137,4.12,3.88,1.54,3.44,60.12
店舗138,3.99,3.45,2.07,4.23,71.45
店舗139,4.22,4.17,4,3.52,52.84
店舗140,3.17,3.54,2.86,1.26,27.95
店舗141,3.41,2.99,3.18,1.08,28.9
店舗142,2.77,3.09,2.78,1.71,36.78
店舗143,3.75,3.65,4.24,3.47,39.66
店舗144,1.57,1.62,1.96,1.22,20.22
店舗145,2.36,3.24,3.29,1.25,14.06
店舗146,4.1,3.83,2.5,4.09,57.16
店舗147,4.19,3.36,3.17,3.73,44.62
店舗148,2.71,2.89,3.86,1.03,29.73
店舗149,1.27,1.61,1.48,2.01,21.71
店舗150,4.26,3.6,1.85,3.92,64.64
店舗151,2.64,2.77,3.7,1.15,31.72
店舗152,2.7,3.03,3.31,2.08,35.67
店舗153,1.12,1.52,1.55,1.56,15.23
店舗154,1.54,1.34,1.81,2.31,27.62
店舗155,2.96,3.7,2.94,1.38,25.44
店舗156,1.83,1.51,1.49,1.35,14.32
店舗157,2.78,3.18,3.67,1.15,32.73
店舗158,3.34,3.32,3.65,1.12,33.43
店舗159,3.25,3.23,3.18,1.15,30.27
店舗160,1.48,1.22,1.64,1.49,26.1
