学業1,学業2,学業3,学業4,学業5,友人1,友人2,友人3,友人4,友人5,情緒1,情緒2,情緒3,情緒4,情緒5,暴力1,暴力2,暴力3,暴力4,暴力5,BMI
2,2,2,2,2,3,3,3,4,3,3,3,3,3,3,3,2,2,2,2,19.02
3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,2,3,2,3,19.67
2,3,2,3,2,2,2,2,3,2,5,4,4,4,4,3,4,3,3,3,22
3,3,3,3,2,3,4,4,4,4,2,2,2,3,2,3,3,3,4,3,18.89
3,2,4,4,2,3,3,3,3,2,3,2,2,2,2,3,3,3,3,3,18.74
3,2,3,3,2,3,3,4,3,3,3,3,3,3,3,2,2,3,3,2,20.93
2,1,2,1,2,3,4,4,5,4,4,4,4,4,4,2,2,2,2,2,22.3
3,3,2,3,3,3,3,3,3,4,3,3,3,4,3,2,2,3,3,2,16.38
3,3,2,3,3,3,3,4,2,3,3,2,2,3,3,4,4,4,3,3,18.21
3,3,4,3,3,3,4,4,3,3,3,2,3,2,2,4,4,3,3,3,20.74
3,2,2,3,2,2,2,3,2,3,4,3,3,4,3,4,3,3,3,3,21.09
4,4,3,4,3,2,2,3,2,3,3,3,3,3,3,3,3,2,3,3,21.97
2,3,3,3,2,2,3,3,3,3,3,3,3,3,3,2,3,4,3,3,21.97
3,3,3,3,2,3,4,3,4,3,3,3,2,3,3,4,4,3,4,3,19.98
4,4,4,4,3,2,3,3,3,2,2,2,2,2,2,4,4,3,4,3,20.79
4,4,4,4,5,3,3,4,4,4,3,3,3,3,3,4,4,3,3,3,18.85
3,3,3,3,2,2,3,3,2,3,4,3,4,4,4,3,3,3,3,3,16.99
4,4,3,4,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,21.12
3,3,2,4,2,2,3,3,3,3,4,3,3,3,2,3,3,3,3,2,20.14
2,3,3,3,3,3,3,4,4,3,4,4,4,4,4,2,3,2,2,2,16.61
3,3,3,3,2,3,4,4,4,4,3,3,3,4,4,4,4,3,4,2,22.41
2,2,2,3,2,2,3,3,3,3,4,3,4,3,3,2,3,3,3,4,20.61
3,4,3,3,2,3,3,4,3,4,4,3,3,3,4,4,4,4,4,2,20.4
1,1,2,2,1,1,1,2,3,1,4,4,4,4,4,3,3,3,3,2,19.11
5,4,4,5,4,3,3,4,4,3,3,2,3,2,2,3,3,4,3,3,18.51
3,3,2,3,3,2,3,3,2,3,3,3,3,3,3,3,2,2,2,2,21.55
2,3,3,3,2,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,21.53
3,3,4,4,3,4,3,3,3,4,4,3,3,3,3,3,3,3,3,2,20.66
2,3,2,2,1,2,3,2,2,2,4,3,3,4,3,3,3,3,3,2,24.37
4,3,3,4,4,3,3,3,2,4,3,3,3,3,3,4,4,4,4,2,18.18
3,3,2,3,3,3,3,3,3,3,3,2,2,2,2,3,3,4,3,3,20.71
3,2,2,3,2,2,2,2,3,2,4,3,3,4,4,2,2,2,2,2,18.85
1,2,2,2,2,3,4,4,4,4,3,2,2,2,3,2,2,3,3,2,16.69
2,2,2,3,2,3,3,3,3,3,3,2,2,2,2,4,4,4,4,2,25.66
3,2,2,3,1,3,3,4,3,3,2,2,2,2,2,4,4,3,3,2,21.32
3,3,2,3,2,2,3,3,3,2,3,3,3,3,3,3,3,4,3,3,18.97
2,3,3,3,2,2,2,2,2,2,4,4,4,4,4,3,3,3,3,3,24.13
3,3,2,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,2,19.44
2,2,3,2,2,2,2,3,3,2,4,3,4,4,4,3,2,3,3,2,17.84
3,3,3,3,4,3,3,3,3,2,3,2,3,3,3,4,3,4,3,3,20.48
2,2,3,3,2,3,3,3,3,3,4,3,4,4,4,2,3,2,2,2,21.49
2,2,3,3,3,2,2,3,3,3,3,3,3,3,3,4,5,5,4,3,22.49
2,2,2,2,2,3,3,4,3,3,3,3,3,3,3,2,3,2,2,3,17.58
2,3,3,2,2,3,3,3,3,3,2,2,2,2,2,2,2,2,2,1,18.86
3,2,3,2,2,3,4,4,4,4,3,3,3,3,2,1,2,2,2,2,18.65
2,2,3,3,2,4,3,3,4,3,3,2,2,3,2,3,4,3,5,2,18.11
4,3,4,3,3,2,3,3,4,3,4,3,4,4,3,3,2,3,2,2,22.33
3,3,3,3,3,4,4,4,4,4,2,2,2,2,3,3,3,3,4,3,19.21
4,3,2,2,2,2,2,3,3,2,4,4,4,4,3,3,3,2,3,2,20.3
3,2,2,3,2,4,4,3,4,3,3,3,2,3,2,3,3,2,3,3,19.67
4,4,3,4,4,3,3,4,3,3,3,2,2,3,3,3,4,3,3,2,18.87
3,4,3,3,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,22.69
2,3,3,3,3,3,2,3,3,2,3,3,3,3,3,2,2,3,3,1,22.46
2,2,2,3,3,3,3,4,3,3,3,2,2,3,3,2,3,2,2,1,21.17
3,2,3,3,2,2,2,3,3,3,3,2,3,3,2,3,3,2,3,2,21.61
2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,2,2,3,2,15.46
3,2,2,2,3,3,4,4,4,3,3,2,3,3,4,3,4,3,3,2,18.85
3,3,2,3,2,4,4,4,4,4,2,2,1,2,2,3,3,3,3,2,17.21
3,4,3,3,3,2,3,3,3,3,3,3,4,4,3,3,2,2,4,3,21.17
4,3,3,4,3,3,3,4,3,3,4,3,4,3,3,3,3,2,3,3,18.96
4,4,3,3,3,2,3,3,2,3,3,3,3,3,3,2,2,3,3,2,19.87
4,3,3,4,3,4,4,5,4,4,2,3,3,3,2,4,3,3,4,3,24.63
3,3,4,3,2,3,3,3,3,3,4,3,3,4,3,3,3,2,2,2,18.24
1,3,3,2,2,3,2,3,3,3,4,4,5,4,4,3,2,2,4,3,18.54
4,4,4,4,3,3,3,3,3,3,3,2,2,2,2,4,4,4,5,3,21.36
1,2,2,3,2,3,3,4,4,3,3,3,4,3,4,3,3,3,3,2,19
3,4,3,4,3,4,3,4,4,4,3,2,3,3,3,4,5,4,4,3,22.14
4,3,4,4,4,3,3,4,4,4,2,2,2,2,2,5,5,4,5,4,19.48
2,2,2,4,3,2,2,3,1,3,3,3,2,3,3,3,3,3,5,4,22.82
3,3,2,3,3,4,4,4,4,4,3,2,3,2,3,3,2,2,3,3,20.72
2,2,2,3,3,3,4,3,3,3,3,3,2,3,3,2,2,2,2,1,21.37
2,3,3,3,3,3,3,4,3,3,4,3,4,4,3,4,4,4,4,3,21.75
2,3,2,4,3,2,3,3,3,3,3,2,2,3,3,4,4,3,3,4,18.63
3,3,2,2,2,4,4,5,5,4,3,2,2,3,3,3,3,2,3,3,20.61
5,2,3,3,3,3,3,3,4,3,3,2,2,2,2,3,3,4,2,2,19.35
4,3,3,3,3,4,4,4,3,4,3,2,3,3,3,3,3,4,3,2,20.39
2,3,3,3,2,4,4,5,4,4,2,2,2,2,3,4,4,3,3,2,23.88
4,4,4,4,3,4,5,4,5,4,3,2,3,3,3,3,4,2,3,4,22.86
2,3,2,3,3,3,3,3,4,2,3,3,2,3,3,3,4,3,2,2,21.82
3,2,3,3,2,3,4,4,3,3,3,2,3,3,3,4,4,4,3,3,20.86
2,2,1,2,2,2,2,3,3,2,3,3,3,3,4,2,2,3,3,3,23.85
3,2,3,3,2,3,4,4,4,3,3,2,2,2,2,3,4,3,3,3,20.64
2,3,3,3,3,3,3,4,4,3,3,3,4,3,4,3,4,3,4,3,22.84
4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,21.18
2,3,2,3,2,3,3,3,3,3,3,2,3,3,3,4,4,4,4,3,20.56
3,3,3,4,3,3,3,3,4,3,2,2,3,2,2,3,3,2,3,3,19.49
2,2,2,3,2,3,4,3,4,3,3,3,2,3,2,2,3,3,2,3,20.65
2,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,2,2,3,2,21.03
3,2,2,3,2,3,4,4,3,3,3,3,3,3,2,4,4,3,4,3,16.56
3,2,2,3,2,3,4,4,3,3,3,3,3,3,3,3,3,3,3,2,20.77
2,2,2,1,2,1,2,2,2,3,4,3,4,4,5,2,2,2,3,3,20.08
2,3,3,3,3,3,3,4,3,3,3,3,3,4,3,3,3,2,3,1,17.62
2,2,2,3,3,3,3,4,2,3,3,3,2,3,3,3,3,3,2,3,18.61
3,4,3,4,3,3,3,4,3,4,4,3,4,3,4,3,3,4,3,3,21.34
4,3,3,3,3,3,4,4,4,5,2,2,3,3,2,3,3,3,3,2,20.39
2,3,2,2,3,3,3,4,4,3,3,2,3,3,3,3,3,3,2,2,22.73
3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,2,23.3
4,4,4,4,4,3,4,4,5,4,2,2,2,2,3,3,3,2,3,2,19.2
3,2,2,3,2,2,3,3,3,3,3,3,2,3,3,2,2,2,2,2,21.62
2,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,2,2,17.5
2,2,3,2,2,4,4,4,4,4,4,3,3,4,3,3,3,3,3,3,22.23
4,4,5,4,4,4,5,5,5,5,3,2,3,3,3,4,4,3,3,4,20.66
3,3,3,4,3,3,4,3,4,3,3,2,3,3,3,2,3,3,3,2,20.18
2,2,2,3,2,3,3,4,3,4,3,3,4,4,4,3,2,3,3,3,22.98
1,2,2,3,2,4,4,4,3,4,3,3,3,4,4,3,2,2,3,3,21.24
4,4,5,4,3,4,3,4,3,4,3,3,3,3,3,4,4,3,3,4,23.76
3,3,3,4,3,2,3,4,3,3,3,3,4,3,3,4,4,4,3,3,21.35
3,3,3,3,3,2,2,3,3,3,3,3,3,4,3,4,5,3,4,3,19.1
3,3,3,3,3,3,3,4,4,3,3,2,3,2,3,4,4,4,4,3,18.49
2,2,2,3,1,2,2,3,3,3,3,3,3,3,3,4,3,3,3,3,19.45
3,3,3,3,2,4,4,4,4,4,3,3,2,3,3,4,4,4,4,3,22.27
2,2,2,3,3,2,2,3,3,3,4,3,3,3,3,2,2,2,3,2,19.44
3,3,3,3,2,3,3,3,3,3,4,3,3,4,3,2,2,3,2,2,21.38
4,4,4,4,4,3,2,3,2,3,3,3,3,3,3,4,4,4,5,5,19.65
4,3,3,3,3,4,4,4,4,3,3,2,4,3,3,4,5,3,5,3,21.92
3,4,2,3,3,3,4,4,4,3,3,2,3,3,2,4,4,3,3,3,18.52
2,2,2,2,2,3,4,3,4,3,3,3,2,3,3,3,3,3,3,2,19.84
3,4,3,4,3,3,3,4,4,3,2,2,2,2,2,4,3,4,4,2,17.44
4,3,4,4,3,3,3,3,4,3,3,2,2,3,2,3,3,3,2,2,21.02
4,4,3,4,3,3,3,4,5,4,2,1,2,3,2,3,4,3,4,3,21.94
4,4,3,4,3,3,3,4,3,4,3,3,3,3,3,4,5,4,4,3,21.12
2,2,2,3,2,3,4,4,3,4,3,3,3,3,3,4,3,3,3,3,19.29
4,3,4,4,3,3,4,4,3,3,3,2,2,2,2,4,4,4,3,2,20.68
3,3,3,3,2,4,4,4,4,3,4,3,3,3,3,3,3,3,3,2,20.65
5,4,4,4,4,4,4,5,4,4,3,2,3,2,3,4,3,3,3,3,18.32
2,2,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,19.47
3,3,3,4,3,3,4,4,3,3,3,3,4,3,4,3,3,2,3,3,22.37
3,3,3,3,3,3,2,3,3,3,4,3,3,3,3,4,4,4,3,3,20.07
3,2,2,3,2,3,3,3,3,4,2,2,2,3,2,3,3,4,3,2,17.54
3,2,2,3,3,2,3,4,3,3,4,3,3,3,3,3,2,3,4,3,22.07
2,3,3,3,3,4,5,5,3,5,4,3,4,3,4,3,4,3,4,4,19.52
4,1,3,3,2,2,2,2,1,2,4,3,3,3,3,3,3,3,3,3,21.01
4,4,4,4,4,3,3,3,3,3,4,3,3,3,3,4,4,4,5,3,22.95
3,3,3,3,3,1,2,2,3,2,4,3,4,4,4,3,3,3,3,2,18.52
3,3,2,3,2,3,3,3,4,4,3,2,3,3,4,3,3,3,3,2,23.4
4,3,3,3,3,2,4,4,4,3,4,4,5,3,5,4,4,4,4,4,19.78
2,2,2,3,3,3,3,4,3,4,2,2,3,2,2,3,2,2,3,2,19.61
2,2,2,3,1,3,3,4,4,3,3,2,3,3,3,2,2,2,2,2,21.19
3,1,1,2,2,2,2,4,3,3,3,3,3,3,2,3,4,3,2,3,22.86
4,4,3,4,3,3,3,4,3,3,4,4,4,5,4,4,4,4,3,3,21.05
3,2,2,3,2,2,3,2,2,2,4,4,3,4,4,2,1,2,2,3,16.98
3,2,2,2,2,3,3,4,4,3,3,2,2,2,3,4,4,4,4,3,18.31
2,2,3,3,2,3,4,4,4,3,2,2,2,2,3,3,3,4,3,3,22.71
3,3,2,3,3,3,3,3,4,3,4,3,3,3,3,3,3,2,3,3,21.6
4,3,4,3,3,3,3,3,4,3,2,1,2,1,1,4,4,4,4,2,21.33
3,4,3,4,4,3,4,5,5,4,2,2,2,3,2,4,4,5,4,3,22.98
3,3,3,3,3,3,3,3,3,3,3,2,2,3,2,2,3,3,3,2,16.99
4,4,3,3,3,3,3,4,3,3,3,3,4,4,3,3,3,3,3,3,18.12
5,4,4,4,3,3,3,4,3,2,3,2,3,3,3,4,5,5,4,3,17.77
2,2,2,2,2,2,2,3,3,3,3,2,3,3,2,3,3,3,3,2,20.51
3,3,4,4,3,3,2,3,3,2,4,3,3,3,4,3,3,3,3,3,19.23
3,2,3,3,3,2,3,3,2,3,4,3,3,4,4,3,3,2,2,2,20.77
4,4,4,4,4,3,3,4,4,3,2,2,2,2,3,3,4,4,4,3,20.89
4,4,4,5,4,4,4,4,5,4,2,2,2,2,2,4,4,5,5,3,19.65
4,4,2,3,3,3,4,3,3,3,3,3,3,3,3,3,4,2,5,3,22.61
3,3,3,3,3,3,3,3,4,3,3,3,4,3,4,3,3,4,4,3,18.13
