5,市区町村コード,町丁字コード,地域識別番号,秘匿処理,秘匿先情報,合算地域,都道府県名,市区町村名,大字・町名,字・丁目名,一般世帯総数（住居の種類・住宅の所有の関係）,住宅に住む一般世帯,主世帯,持ち家,公営・都市再生機構・公社の借家,民営の借家,給与住宅,間借り,住宅以外に住む一般世帯,住居の種類「不詳」,一般世帯人員総数（住居の種類・住宅の所有の関係）  ,住宅に住む一般世帯,主世帯,持ち家,公営・都市再生機構・公社の借家,民営の借家,給与住宅,間借り,住宅以外に住む一般世帯,住居の種類「不詳」,1世帯当たり人員総数（住居の種類・住宅の所有の関係）  ,住宅に住む一般世帯,主世帯,持ち家,公営・都市再生機構・公社の借家,民営の借家,給与住宅,間借り,住宅以外に住む一般世帯,住居の種類「不詳」
6,"13101","","1","","","","東京都","千代田区","","",33201,30419,30115,13226,1207,12757,2925,304,2782,-,58048,54140,53608,27013,2474,18556,5565,532,3908,-,1.7483810729,1.7798086722,1.7801095799,2.0424164524,2.0497100249,1.4545739594,1.9025641026,1.7500000000,1.4047447879,-
7,"13101","0010","2","","","","東京都","千代田区","丸の内","",X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
8,"13101","001001","3","秘匿地域","029001","","東京都","千代田区","丸の内","１丁目",X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
9,"13101","001002","3","秘匿地域","029001","","東京都","千代田区","丸の内","２丁目",X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
10,"13101","001003","3","秘匿地域","029001","","東京都","千代田区","丸の内","３丁目",X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
11,"13101","0020","2","","","","東京都","千代田区","大手町","",X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
12,"13101","002001","3","秘匿地域","029001","","東京都","千代田区","大手町","１丁目",X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
13,"13101","002002","3","秘匿地域","029001","","東京都","千代田区","大手町","２丁目",X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
14,"13101","0030","2","","","","東京都","千代田区","内幸町","",X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
15,"13101","003001","3","秘匿地域","004001","","東京都","千代田区","内幸町","１丁目",X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
16,"13101","003002","3","秘匿地域","004001","","東京都","千代田区","内幸町","２丁目",X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
17,"13101","0040","2","","","","東京都","千代田区","有楽町","",18,2,2,1,-,1,-,-,16,-,23,3,3,2,-,1,-,-,20,-,1.2777777778,1.5000000000,1.5000000000,2.0000000000,-,1.0000000000,-,-,1.2500000000,-
18,"13101","004001","3","合算地域あり","","003001;003002;004002;0130","東京都","千代田区","有楽町","１丁目",18,2,2,1,-,1,-,-,16,-,23,3,3,2,-,1,-,-,20,-,1.2777777778,1.5000000000,1.5000000000,2.0000000000,-,1.0000000000,-,-,1.2500000000,-
19,"13101","004002","3","秘匿地域","004001","","東京都","千代田区","有楽町","２丁目",X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
20,"13101","0050","2","","","","東京都","千代田区","霞が関","",X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
21,"13101","005001","3","","","","東京都","千代田区","霞が関","１丁目",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,"13101","005002","3","秘匿地域","006002","","東京都","千代田区","霞が関","２丁目",X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
23,"13101","005003","3","秘匿地域","006002","","東京都","千代田区","霞が関","３丁目",X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
24,"13101","0060","2","","","","東京都","千代田区","永田町","",352,303,301,56,-,186,59,2,49,-,529,480,476,97,-,293,86,4,49,-,1.5028409091,1.5841584158,1.5813953488,1.7321428571,-,1.5752688172,1.4576271186,2.0000000000,1.0000000000,-
25,"13101","006001","3","秘匿地域","006002","","東京都","千代田区","永田町","１丁目",X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
26,"13101","006002","3","合算地域あり","","005002;005003;006001","東京都","千代田区","永田町","２丁目",352,303,301,56,-,186,59,2,49,-,529,480,476,97,-,293,86,4,49,-,1.5028409091,1.5841584158,1.5813953488,1.7321428571,-,1.5752688172,1.4576271186,2.0000000000,1.0000000000,-
27,"13101","0070","2","","","","東京都","千代田区","隼町","",353,138,136,42,-,4,90,2,215,-,471,251,249,83,-,8,158,2,220,-,1.3342776204,1.8188405797,1.8308823529,1.9761904762,-,2.0000000000,1.7555555556,1.0000000000,1.0232558140,-
28,"13101","0080","2","","","","東京都","千代田区","平河町","",988,913,894,460,-,370,64,19,75,-,1765,1667,1647,901,-,628,118,20,98,-,1.7864372470,1.8258488499,1.8422818792,1.9586956522,-,1.6972972973,1.8437500000,1.0526315789,1.3066666667,-
29,"13101","008001","3","","","","東京都","千代田区","平河町","１丁目",476,455,442,265,-,160,17,13,21,-,832,798,785,498,-,260,27,13,34,-,1.7478991597,1.7538461538,1.7760180995,1.8792452830,-,1.6250000000,1.5882352941,1.0000000000,1.6190476190,-
30,"13101","008002","3","","","","東京都","千代田区","平河町","２丁目",512,458,452,195,-,210,47,6,54,-,933,869,862,403,-,368,91,7,64,-,1.8222656250,1.8973799127,1.9070796460,2.0666666667,-,1.7523809524,1.9361702128,1.1666666667,1.1851851852,-
31,"13101","0090","2","","","","東京都","千代田区","麹町","",1250,1118,1102,479,-,506,117,16,132,-,2389,2148,2121,1055,-,841,225,27,241,-,1.9112000000,1.9212880143,1.9246823956,2.2025052192,-,1.6620553360,1.9230769231,1.6875000000,1.8257575758,-
32,"13101","009001","3","","","","東京都","千代田区","麹町","１丁目",360,354,353,165,-,180,8,1,6,-,694,686,685,372,-,295,18,1,8,-,1.9277777778,1.9378531073,1.9405099150,2.2545454545,-,1.6388888889,2.2500000000,1.0000000000,1.3333333333,-
33,"13101","009002","3","","","","東京都","千代田区","麹町","２丁目",329,284,280,101,-,165,14,4,45,-,585,508,504,200,-,285,19,4,77,-,1.7781155015,1.7887323944,1.8000000000,1.9801980198,-,1.7272727273,1.3571428571,1.0000000000,1.7111111111,-
34,"13101","009003","3","","","","東京都","千代田区","麹町","３丁目",170,140,134,41,-,89,4,6,30,-,307,248,239,94,-,136,9,9,59,-,1.8058823529,1.7714285714,1.7835820896,2.2926829268,-,1.5280898876,2.2500000000,1.5000000000,1.9666666667,-
35,"13101","009004","3","","","","東京都","千代田区","麹町","４丁目",284,254,253,132,-,31,90,1,30,-,605,547,545,299,-,69,177,2,58,-,2.1302816901,2.1535433071,2.1541501976,2.2651515152,-,2.2258064516,1.9666666667,2.0000000000,1.9333333333,-
36,"13101","009005","3","","","","東京都","千代田区","麹町","５丁目",75,67,65,25,-,39,1,2,8,-,127,112,109,56,-,51,2,3,15,-,1.6933333333,1.6716417910,1.6769230769,2.2400000000,-,1.3076923077,2.0000000000,1.5000000000,1.8750000000,-
37,"13101","009006","3","","","","東京都","千代田区","麹町","６丁目",32,19,17,15,-,2,-,2,13,-,71,47,39,34,-,5,-,8,24,-,2.2187500000,2.4736842105,2.2941176471,2.2666666667,-,2.5000000000,-,4.0000000000,1.8461538462,-
38,"13101","0100","2","","","","東京都","千代田区","紀尾井町","",188,119,119,16,-,35,68,-,69,-,302,225,225,42,-,94,89,-,77,-,1.6063829787,1.8907563025,1.8907563025,2.6250000000,-,2.6857142857,1.3088235294,-,1.1159420290,-
39,"13101","0110","2","","","","東京都","千代田区","一番町","",1667,1650,1648,1008,58,442,140,2,17,-,3440,3403,3400,2123,107,820,350,3,37,-,2.0635872825,2.0624242424,2.0631067961,2.1061507937,1.8448275862,1.8552036199,2.5000000000,1.5000000000,2.1764705882,-
40,"13101","0120","2","","","","東京都","千代田区","皇居外苑","",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41,"13101","0130","2","秘匿地域","004001","","東京都","千代田区","日比谷公園","",X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
42,"13101","0140","2","","","","東京都","千代田区","千代田","",97,3,3,-,-,-,3,-,94,-,98,3,3,-,-,-,3,-,95,-,1.0103092784,1.0000000000,1.0000000000,-,-,-,1.0000000000,-,1.0106382979,-
43,"13101","0150","2","","","","東京都","千代田区","北の丸公園","",384,252,252,1,-,-,251,-,132,-,726,594,594,1,-,-,593,-,132,-,1.8906250000,2.3571428571,2.3571428571,1.0000000000,-,-,2.3625498008,-,1.0000000000,-
44,"13101","0160","2","","","","東京都","千代田区","九段南","",1644,1583,1535,635,55,529,316,48,61,-,3012,2915,2859,1289,123,705,742,56,97,-,1.8321167883,1.8414403032,1.8625407166,2.0299212598,2.2363636364,1.3327032136,2.3481012658,1.1666666667,1.5901639344,-
45,"13101","016001","3","","","","東京都","千代田区","九段南","１丁目",113,100,99,2,10,-,87,1,13,-,129,113,112,4,17,-,91,1,16,-,1.1415929204,1.1300000000,1.1313131313,2.0000000000,1.7000000000,-,1.0459770115,1.0000000000,1.2307692308,-
46,"13101","016002","3","","","","東京都","千代田区","九段南","２丁目",447,438,435,186,45,187,17,3,9,-,812,795,791,395,106,248,42,4,17,-,1.8165548098,1.8150684932,1.8183908046,2.1236559140,2.3555555556,1.3262032086,2.4705882353,1.3333333333,1.8888888889,-
47,"13101","016003","3","","","","東京都","千代田区","九段南","３丁目",445,419,410,178,-,221,11,9,26,-,705,671,660,351,-,292,17,11,34,-,1.5842696629,1.6014319809,1.6097560976,1.9719101124,-,1.3212669683,1.5454545455,1.2222222222,1.3076923077,-
48,"13101","016004","3","","","","東京都","千代田区","九段南","４丁目",639,626,591,269,-,121,201,35,13,-,1366,1336,1296,539,-,165,592,40,30,-,2.1377151800,2.1341853035,2.1928934010,2.0037174721,-,1.3636363636,2.9452736318,1.1428571429,2.3076923077,-
49,"13101","0170","2","","","","東京都","千代田区","九段北","",1079,1028,1020,393,-,527,100,8,51,-,1849,1779,1769,758,-,772,239,10,70,-,1.7136237257,1.7305447471,1.7343137255,1.9287531807,-,1.4648956357,2.3900000000,1.2500000000,1.3725490196,-
50,"13101","017001","3","","","","東京都","千代田区","九段北","１丁目",606,596,590,226,-,344,20,6,10,-,998,981,975,401,-,534,40,6,17,-,1.6468646865,1.6459731544,1.6525423729,1.7743362832,-,1.5523255814,2.0000000000,1.0000000000,1.7000000000,-
51,"13101","017002","3","","","","東京都","千代田区","九段北","２丁目",121,86,85,77,-,5,3,1,35,-,252,205,204,190,-,11,3,1,47,-,2.0826446281,2.3837209302,2.4000000000,2.4675324675,-,2.2000000000,1.0000000000,1.0000000000,1.3428571429,-
52,"13101","017003","3","","","","東京都","千代田区","九段北","３丁目",36,30,30,18,-,12,-,-,6,-,66,60,60,40,-,20,-,-,6,-,1.8333333333,2.0000000000,2.0000000000,2.2222222222,-,1.6666666667,-,-,1.0000000000,-
53,"13101","017004","3","","","","東京都","千代田区","九段北","４丁目",316,316,315,72,-,166,77,1,-,-,533,533,530,127,-,207,196,3,-,-,1.6867088608,1.6867088608,1.6825396825,1.7638888889,-,1.2469879518,2.5454545455,3.0000000000,-,-
54,"13101","0180","2","","","","東京都","千代田区","富士見","",2136,2044,2031,1246,50,332,403,13,92,-,4130,4032,4000,2650,91,676,583,32,98,-,1.9335205993,1.9726027397,1.9694731659,2.1268057785,1.8200000000,2.0361445783,1.4466501241,2.4615384615,1.0652173913,-
55,"13101","018001","3","","","","東京都","千代田区","富士見","１丁目",453,448,446,250,29,118,49,2,5,-,949,941,932,528,34,257,113,9,8,-,2.0949227373,2.1004464286,2.0896860987,2.1120000000,1.1724137931,2.1779661017,2.3061224490,4.5000000000,1.6000000000,-
56,"13101","018002","3","","","","東京都","千代田区","富士見","２丁目",1683,1596,1585,996,21,214,354,11,87,-,3181,3091,3068,2122,57,419,470,23,90,-,1.8900772430,1.9367167920,1.9356466877,2.1305220884,2.7142857143,1.9579439252,1.3276836158,2.0909090909,1.0344827586,-
57,"13101","0190","2","","","","東京都","千代田区","飯田橋","",1471,1450,1440,778,181,428,53,10,21,-,2626,2586,2569,1442,431,612,84,17,40,-,1.7851801496,1.7834482759,1.7840277778,1.8534704370,2.3812154696,1.4299065421,1.5849056604,1.7000000000,1.9047619048,-
58,"13101","019001","3","","","","東京都","千代田区","飯田橋","１丁目",136,135,133,110,-,22,1,2,1,-,279,275,271,225,-,43,3,4,4,-,2.0514705882,2.0370370370,2.0375939850,2.0454545455,-,1.9545454545,3.0000000000,2.0000000000,4.0000000000,-
59,"13101","019002","3","","","","東京都","千代田区","飯田橋","２丁目",858,844,842,426,103,277,36,2,14,-,1492,1469,1464,800,220,388,56,5,23,-,1.7389277389,1.7405213270,1.7387173397,1.8779342723,2.1359223301,1.4007220217,1.5555555556,2.5000000000,1.6428571429,-
60,"13101","019003","3","","","","東京都","千代田区","飯田橋","３丁目",191,189,187,85,78,20,4,2,2,-,396,390,386,133,211,37,5,4,6,-,2.0732984293,2.0634920635,2.0641711230,1.5647058824,2.7051282051,1.8500000000,1.2500000000,2.0000000000,3.0000000000,-
