市区町村名,エリア名（通称）,大字・町名,字・丁目名
品川,島津山,東五反田,1
品川,,東五反田,3
品川,池田山,東五反田,4
品川,,東五反田,5
品川,御殿山,北品川,3
品川,,北品川,4
品川,,北品川,5
品川,,北品川,6
品川,,北品川,4
品川,八ツ山,上大崎,3
港,花房山,高輪,3
港,麻布・六本木,南麻布,1
港,,南麻布,2
港,,南麻布,3
港,,南麻布,4
港,,南麻布,5
港,,元麻布,1
港,,元麻布,2
港,,元麻布,3
港,,西麻布,1
港,,西麻布,2
港,,西麻布,3
港,,西麻布,4
港,,麻布十番,1
港,,麻布狸穴町,
港,,麻布永坂町,
港,赤坂,赤坂,7
港,,赤坂,8
港,白金台,白金台,1
港,,白金台,2
港,,白金台,3
港,,白金台,4
港,,白金台,5
港,三田,三田,1
港,,三田,2
港,,三田,3
港,,三田,4
港,,三田,5
港,青山・表参道エリア,南青山,1
港,,南青山,2
港,,南青山,3
港,,南青山,4
港,,南青山,5
港,,南青山,6
港,,南青山,7
文京,六義園・大和郷周辺エリア,本駒込,6
文京,,千駄木,2
文京,,千駄木,3
文京,,西片,1
文京,,西片,2
文京,椿山荘周辺エリア,小日向,1
文京,,小日向,2
文京,,小日向,3
文京,,目白台,1
文京,,目白台,2
文京,,目白台,3
文京,,関口,1
文京,,関口,2
文京,,関口,3
文京,,小石川,1
文京,,小石川,2
文京,,小石川,3
文京,,小石川,4
文京,,小石川,5
文京,,白山,1
文京,,白山,2
文京,,白山,3
文京,,白山,4
文京,,白山,5
新宿,市ヶ谷・神楽坂エリア,神楽坂,6
新宿,,市谷砂土原町,1
新宿,,市谷砂土原町,2
新宿,,市谷砂土原町,3
新宿,,市谷加賀町,2
新宿,,市谷甲良町,
新宿,,市谷薬王寺町,
新宿,,市谷仲之町,
新宿,,若宮町,
新宿,,南町,
新宿,目白エリア,下落合,1
新宿,,下落合,2
新宿,,下落合,3
新宿,,下落合,4
豊島,目白エリア,目白,2
豊島,,目白,3
豊島,,目白,4
豊島,,目白,5
豊島,,西池袋,1
豊島,,西池袋,2
豊島,,西池袋,3
豊島,,西池袋,4
豊島,,西池袋,5
渋谷,松涛,松涛,1
