Year,Code,Prefecture,A1101,A110101,A110102,A1102,A110201,A110202,A1301,A130101,A130102,A1302,A130201,A130202,A1303,A130301,A130302,A4101,A410101,A410102,A4103,A4200,A420001,A420002,A5101,A510101,A510102,A5102,A510201,A510202,A9101,A9201,B4101,B4102,B4103,B4106,B4109,C3301,C3302,C3801,C3802,C3803,C3804,C5401,C5403,E1101,E1301,E1501,E2101,E2401,E2501,E3101,E3401,E3501,E3701,E3702,E4101,E4401,E4501,E4601,E4602,E6101,E6102,E6201,E6202,E6301,E6302,E6501,E650110,E6502,E650210,E7101,E7102,E7201,E7202,F3101,F3102,F3103,F3104,F3105,F3106,G5105,H1800,H1801,H1802,H1803,H2600,H2601,H2602,H2603,I510120,I5102,I5103,J2503,J2505,J250502,J2506,J2526,L3221,L322101,L322102,L322103,L322104,L322105,L322106,L322107,L322108,L322109,L322110
îNìx,ínàÊÉRÅ[Éh,ìsìπï{åß,ëçêlå˚,ëçêlå˚ÅiíjÅj,ëçêlå˚ÅièóÅj,ì˙ñ{êlêlå˚,ì˙ñ{êlêlå˚ÅiíjÅj,ì˙ñ{êlêlå˚ÅièóÅj,15çŒñ¢ñûêlå˚,15çŒñ¢ñûêlå˚ÅiíjÅj,15çŒñ¢ñûêlå˚ÅièóÅj,15Å`64çŒêlå˚,15Å`64çŒêlå˚ÅiíjÅj,15Å`64çŒêlå˚ÅièóÅj,65çŒà»è„êlå˚,65çŒà»è„êlå˚ÅiíjÅj,65çŒà»è„êlå˚ÅièóÅj,èoê∂êî,èoê∂êîÅiíjÅj,èoê∂êîÅièóÅj,çáåvì¡éÍèoê∂ó¶,éÄñSêî,éÄñSêîÅiíjÅj,éÄñSêîÅièóÅj,ì]ì¸é“êîÅiì˙ñ{êlà⁄ìÆé“Åj,ì]ì¸é“êîÅiì˙ñ{êlà⁄ìÆé“ÅjÅiíjÅj,ì]ì¸é“êîÅiì˙ñ{êlà⁄ìÆé“ÅjÅièóÅj,ì]èoé“êîÅiì˙ñ{êlà⁄ìÆé“Åj,ì]èoé“êîÅiì˙ñ{êlà⁄ìÆé“ÅjÅiíjÅj,ì]èoé“êîÅiì˙ñ{êlà⁄ìÆé“ÅjÅièóÅj,ç•à˜åèêî,ó£ç•åèêî,îNïΩãœãCâ∑,ç≈çÇãCâ∑Åiì˙ç≈çÇãCâ∑ÇÃåéïΩãœÇÃç≈çÇílÅj,ç≈í·ãCâ∑Åiì˙ç≈í·ãCâ∑ÇÃåéïΩãœÇÃç≈í·ílÅj,ç~êÖì˙êîÅiîNä‘Åj,ç~êÖó ÅiîNä‘Åj,íÖçHåöízï®êî,íÖçHåöízï®è∞ñ êœ,ó∑äŸâcã∆é{ê›êî,ó∑äŸâcã∆é{ê›ãqé∫êî,ÉzÉeÉãâcã∆é{ê›êî,ÉzÉeÉãâcã∆é{ê›ãqé∫êî,ïWèÄâøäiÅiïΩãœâøäiÅjÅièZëÓínÅj,ïWèÄâøäiÅiïΩãœâøäiÅjÅiè§ã∆ínÅj,ócítâÄêî,ócítâÄã≥àıêî,ócítâÄç›âÄé“êî,è¨äwçZêî,è¨äwçZã≥àıêî,è¨äwçZéôì∂êî,íÜäwçZêî,íÜäwçZã≥àıêî,íÜäwçZê∂ìkêî,íÜäwçZë≤ã∆é“êî,íÜäwçZë≤ã∆é“ÇÃÇ§Çøêiäwé“êî,çÇìôäwçZêî,çÇìôäwçZã≥àıêî,çÇìôäwçZê∂ìkêî,çÇìôäwçZë≤ã∆é“êî,çÇìôäwçZë≤ã∆é“ÇÃÇ§Çøêiäwé“êî,íZä˙ëÂäwêî,ëÂäwêî,íZä˙ëÂäwã≥àıêî,ëÂäwã≥àıêî,íZä˙ëÂäwäwê∂êî,ëÂäwäwê∂êî,íZä˙ëÂäwë≤ã∆é“êî,íZä˙ëÂäwë≤ã∆é“ÇÃÇ§Çøêiäwé“êî,ëÂäwë≤ã∆é“êî,ëÂäwë≤ã∆é“ÇÃÇ§Çøêiäwé“êî,êÍèCäwçZêî,äeéÌäwçZêî,êÍèCäwçZê∂ìkêî,äeéÌäwçZê∂ìkêî,êVãKãÅêEê\çûåèêîÅiàÍî Åj,åéä‘óLå¯ãÅêEé“êîÅiàÍî Åj,åéä‘óLå¯ãÅêlêîÅiàÍî Åj,è[ë´êîÅiàÍî Åj,èAêEåèêîÅiàÍî Åj,åßì‡èAêEåèêîÅiàÍî Åj,àÍî ó∑åîî≠çsåèêî,íÖçHêVê›èZëÓåÀêî,íÖçHêVê›éùâ∆êî,íÖçHêVê›ë›â∆êî,íÖçHêVê›ï™è˜èZëÓêî,íÖçHêVê›èZëÓè∞ñ êœ,íÖçHêVê›éùâ∆è∞ñ êœ,íÖçHêVê›ï™è˜èZëÓè∞ñ êœ,íÖçHêVê›ë›â∆è∞ñ êœ,àÍî ïaâ@êî,àÍî êfó√èäêî,éïâ»êfó√èäêî,ï€àÁèäìôêî,ï€àÁèäìôíËàıêî,ï€àÁèäìôóòópë“ã@éôì∂êî,ï€àÁèäìôç›èäéôêî,ï€àÁèäìôï€àÁémêî,è¡îÔéxèoÅiìÒêlà»è„ÇÃê¢ë—Åj,êHóøîÔÅiìÒêlà»è„ÇÃê¢ë—Åj,èZãèîÔÅiìÒêlà»è„ÇÃê¢ë—Åj,åıîMÅEêÖìπîÔÅiìÒêlà»è„ÇÃê¢ë—Åj,â∆ãÔÅEâ∆éñópïiîÔÅiìÒêlà»è„ÇÃê¢ë—Åj,îÌïûãyÇ—óöï®îÔÅiìÒêlà»è„ÇÃê¢ë—Åj,ï€åíà„ó√îÔÅiìÒêlà»è„ÇÃê¢ë—Åj,åí ÅEí êMîÔÅiìÒêlà»è„ÇÃê¢ë—Åj,ã≥àÁîÔÅiìÒêlà»è„ÇÃê¢ë—Åj,ã≥ó{å‚äyîÔÅiìÒêlà»è„ÇÃê¢ë—Åj,ÇªÇÃëºÇÃè¡îÔéxèoÅiìÒêlà»è„ÇÃê¢ë—Åj
2017,R01000,ñkäCìπ,5320000,2506000,2814000,5292000,2494000,2797000,588000,301000,288000,3099000,1523000,1576000,1632000,683000,950000,34040,17503,16537,1.29,62417,31995,30422,48561,29134,19427,55130,31448,23682,23960,10147,9.1,27.7,-7,146,1158,21430,5480381,2897,108959,702,66817,18800,68800,438,4929,51182,1061,19078,245504,611,11907,131051,44746,43333,283,10484,126799,40859,18570,16,38,294,6745,5112,77841,2375,264,16707,2176,169,52,26928,4119,211045,772601,856866,47555,48178,46307,107166,37062,11466,21052,4134,3014254,1417542,438020,1132127,493,3384,2934,979,77751,65,73231,10393,286698,69640,24217,25633,10550,11222,12242,39559,9837,26797,57003
2016,R01000,ñkäCìπ,5352000,2521000,2830000,5327000,2511000,2816000,600000,306000,294000,3150000,1545000,1605000,1602000,670000,932000,35125,17888,17237,1.29,61906,32072,29834,48544,29032,19512,55418,31974,23444,24636,10476,9.3,28.3,-5.9,152,1360,21294,5286695,2891,107973,673,64875,18300,62800,459,4991,54361,1074,19066,248124,622,12159,134328,45568,44298,284,10598,129006,42484,18897,17,37,292,6726,5150,77556,2444,250,17198,2173,171,54,28512,4181,228449,827073,839594,51494,52194,50088,98811,37515,11312,21810,4018,3080563,1421197,430776,1201056,493,3380,2968,908,73405,94,70119,10202,287325,69445,17071,24438,9533,11106,12431,43681,10751,29305,59564
2015,R01000,ñkäCìπ,5381733,2537089,2844644,5348768,2522980,2825788,608296,310387,297909,3190804,1561879,1628925,1558387,651286,907101,36695,18838,17857,1.31,60667,31391,29276,47584,28603,18981,56446,32734,23712,25465,11211,10,26.4,-4.6,144,1274.5,20268,5008776,2964,108364,679,64189,18000,58900,490,5133,58100,1106,19258,252482,633,12283,135857,45414,44198,286,10691,131682,42836,18561,17,37,306,6715,5272,77760,2471,256,16946,2171,171,54,29996,4500,247779,893513,821367,55940,56428,54309,85840,34329,10904,19539,3608,2864467,1372115,376182,1093954,497,3370,2983,927,74333,182,70802,10805,272124,65912,22201,26068,9253,11984,12381,35895,9302,26930,52197
2014,R01000,ñkäCìπ,5410000,2551000,2859000,5390000,2543000,2847000,621000,316000,304000,3261000,1595000,1666000,1519000,633000,885000,37058,19010,18048,1.27,60018,31333,28685,46554,27741,18813,55496,32085,23411,26018,11003,9.3,27,-7.4,144,1203.5,19936,5002609,3080,109365,689,63674,18100,57700,542,5571,64743,1127,19335,256601,641,12318,137026,45886,44790,290,10909,134616,43567,18448,17,37,309,6681,5434,77917,2608,266,16925,2142,175,56,31388,5039,270617,958243,788728,59225,59954,57662,88179,32225,10604,17809,3586,2762202,1347232,396378,998698,499,3377,2978,852,68980,473,68452,10681,285154,65450,22611,27824,9061,12007,11702,36067,9160,27168,64105
2013,R01000,ñkäCìπ,5438000,2565000,2873000,5419000,2558000,2861000,630000,321000,309000,3332000,1628000,1704000,1469000,612000,857000,38190,19558,18632,1.28,59432,30976,28456,47783,28308,19475,55937,32388,23549,26330,11285,9.2,27.1,-8,161,1347,22963,5690164,3163,111005,681,63650,18100,57200,547,5511,65150,1154,19530,261370,652,12392,138959,47546,46413,292,11030,135859,43503,17923,17,36,328,6581,5400,78805,2456,328,17397,2113,179,56,32590,5038,290823,1048428,773704,65119,65291,63130,94152,34967,13304,17502,3900,3186608,1731039,433195,1000642,505,3396,3003,828,67730,532,66763,10468,279190,63975,26159,26210,9283,10375,11833,38039,8205,26697,58414
2012,R01000,ñkäCìπ,5465000,2580000,2886000,5446000,2572000,2874000,640000,326000,314000,3398000,1658000,1739000,1422000,592000,830000,38686,19750,18936,1.26,58066,30834,27232,49367,28896,20471,56112,32880,23232,26538,11593,9.3,27.2,-7.8,148,1279,21966,5347660,3246,112181,687,63794,18400,58400,558,5418,65725,1176,19603,265023,662,12406,141516,47965,46865,297,11152,139147,45817,18265,18,35,348,6498,5622,79242,2786,395,17196,2150,180,57,32578,4822,312730,1168445,659257,66696,67022,64789,112212,35523,12055,18901,4387,3155047,1574389,478137,1087221,504,3386,3014,813,65412,1075,65350,10132,281574,63444,16668,26077,8369,11414,13248,40937,10137,29009,62271
2011,R01000,ñkäCìπ,5488000,2593000,2896000,5470000,2585000,2884000,650000,331000,318000,3455000,1685000,1770000,1382000,575000,807000,39292,20010,19282,1.25,56970,30295,26675,51998,30258,21740,54480,31800,22680,26518,11847,9.3,27.9,-6.7,146,1253.5,21130,5026401,3301,112812,679,63293,18900,60000,557,5340,65213,1206,19731,269865,671,12534,144409,48845,47656,300,11287,140711,44846,18016,19,35,397,6526,6243,79970,3075,499,17331,2292,180,55,33306,4895,352134,1289538,576079,70199,70463,68442,107425,31573,11775,15891,3750,2911803,1543924,424279,927322,509,3377,2999,805,64525,996,64281,9921,270689,62996,15211,24787,8258,11604,10997,32204,10590,27054,66989
2010,R01000,ñkäCìπ,5506419,2603345,2903074,5482650,2593193,2889457,657312,335353,321959,3482169,1695591,1786578,1358068,567141,790927,40158,20518,19640,1.26,55404,29845,25559,48784,29311,19473,57421,33491,23930,28389,12596,9.8,29.1,-6.3,149,1325,20507,4776843,3392,114877,677,63177,19600,63200,557,5287,64890,1248,19884,274624,677,12565,145609,48701,47649,309,11471,144222,46701,18872,19,36,409,6483,6524,80946,2853,467,17576,2365,185,56,33086,5002,368267,1331804,488408,68305,69536,67677,110197,29922,11540,14465,3599,2773924,1510365,388610,850504,514,3388,3020,793,62914,936,62625,9461,300961,64746,23750,23611,10335,12895,11584,44827,13100,32980,63133
2009,R01000,ñkäCìπ,5524000,2612000,2911000,5506000,2605000,2901000,663000,338000,325000,3510000,1706000,1804000,1334000,555000,779000,40165,20649,19516,1.19,53221,28871,24350,51598,31589,20009,63776,38073,25703,28271,12294,9.4,25.3,-5.6,149,1147,19249,4440968,3456,116163,668,62966,20500,68300,560,5262,66181,1284,19786,278684,684,12587,149060,51359,50201,315,11629,145442,47246,19329,20,36,423,6392,6637,80917,3191,537,17495,2482,182,59,32689,4730,371450,1360753,432438,66661,68276,66377,99940,27616,10342,14466,2492,2524567,1373059,283872,841395,518,3378,3032,799,63166,682,62584,9252,288835,62866,18854,23040,8041,12801,13084,38017,11854,32113,68166
